observation_date;DGS10
2022-10-03;3,67
2022-10-04;3,62
2022-10-05;3,76
2022-10-06;3,83
2022-10-07;3,89
2022-10-10;#N/A
2022-10-11;3,93
2022-10-12;3,91
2022-10-13;3,97
2022-10-14;4,00
2022-10-17;4,02
2022-10-18;4,01
2022-10-19;4,14
2022-10-20;4,24
2022-10-21;4,21
2022-10-24;4,25
2022-10-25;4,10
2022-10-26;4,04
2022-10-27;3,96
2022-10-28;4,02
2022-10-31;4,10
2022-11-01;4,07
2022-11-02;4,10
2022-11-03;4,14
2022-11-04;4,17
2022-11-07;4,22
2022-11-08;4,14
2022-11-09;4,12
2022-11-10;3,82
2022-11-11;#N/A
2022-11-14;3,88
2022-11-15;3,80
2022-11-16;3,67
2022-11-17;3,77
2022-11-18;3,82
2022-11-21;3,83
2022-11-22;3,76
2022-11-23;3,71
2022-11-24;#N/A
2022-11-25;3,68
2022-11-28;3,69
2022-11-29;3,75
2022-11-30;3,68
