Date;Open;High;Low;Close;Volume
2022-11-18 15:00:00;394,71;397,01;394,64;396,06;19778416
2022-11-18 14:00:00;393,88;394,82;393,82;394,7;4807385
2022-11-18 13:00:00;393,83;394,86;393,38;393,89;4629568
2022-11-18 12:00:00;395,12;395,31;393,04;393,84;5014395
2022-11-18 11:00:00;394,59;395,99;394,05;395,14;5455211
2022-11-18 10:00:00;395,82;395,99;394,25;394,58;8119034
2022-11-18 09:00:00;397,74;397,81;395,56;395,79;6914688
2022-11-17 15:00:00;393,13;394,37;391,64;394,24;13698084
2022-11-17 14:00:00;394,22;394,65;392,5;393,15;5487537
2022-11-17 13:00:00;394,26;394,95;393,69;394,21;5286021
2022-11-17 12:00:00;393,14;394,55;392,73;394,26;6410826
2022-11-17 11:00:00;390,54;393,18;390,29;393,14;6609381
2022-11-17 10:00:00;390,33;392,2;390,14;390,56;7948516
2022-11-17 09:00:00;390,46;391,7;390,27;390,37;6201274
2022-11-16 15:00:00;396,15;396,27;394,79;395,46;16527756
2022-11-16 14:00:00;395,26;396,22;394,93;396,18;5434172
2022-11-16 13:00:00;396,69;396,91;395,13;395,3;4104837
2022-11-16 12:00:00;396,52;397,65;395,72;396,71;4376190
2022-11-16 11:00:00;395,5;396,95;395,42;396,5;4690122
2022-11-16 10:00:00;396,32;397,18;395,19;395,53;6911051
2022-11-16 09:00:00;396,78;397,78;395,73;396,35;5617605
2022-11-15 15:00:00;398,68;399,52;397,46;398,47;14047534
2022-11-15 14:00:00;396,48;399,16;394,93;398,71;11806730
2022-11-15 13:00:00;400;400,29;394,49;396,47;15342477
2022-11-15 12:00:00;401,2;401,32;399,41;400;4158847
2022-11-15 11:00:00;400,25;401,57;399,35;401,2;5889278
2022-11-15 10:00:00;401,63;402,17;399,83;400,27;7264276
2022-11-15 09:00:00;401,15;402,31;399,97;401,62;6556570
2022-11-14 15:00:00;398,78;399,49;394,83;395,42;14892442
2022-11-14 14:00:00;400,1;400,18;398,53;398,75;4928203
2022-11-14 13:00:00;398,62;400,17;398,39;400,1;4864372
2022-11-14 12:00:00;397,89;399,23;397,39;398,62;4249245
2022-11-14 11:00:00;398,43;398,62;396,35;397,89;6288678
2022-11-14 10:00:00;397,14;398,97;397,13;398,43;7098030
2022-11-14 09:00:00;396,66;397,8;395,92;397,13;6172774
2022-11-11 15:00:00;399,23;399,35;397,32;398,46;17047740
2022-11-11 14:00:00;398,16;399,34;397,66;399,23;6722022
2022-11-11 13:00:00;396,17;398,32;396,13;398,18;6352824
2022-11-11 12:00:00;395,19;396,63;394,64;396,17;4564150
2022-11-11 11:00:00;396,33;397,11;394,03;395,19;8064195
2022-11-11 10:00:00;395,14;397,55;393,68;396,33;10641821
2022-11-11 09:00:00;395,59;396,16;393,61;395,16;7468318
2022-11-10 15:00:00;392,27;395,04;391,99;394,66;29655676
2022-11-10 14:00:00;391,28;392,35;390,94;392,26;7495456
2022-11-10 13:00:00;389,1;391,54;389,1;391,28;8140692
2022-11-10 12:00:00;391,87;391,88;388,97;389,09;9640872
2022-11-10 11:00:00;390,44;392,04;389,43;391,88;10786982
2022-11-10 10:00:00;389,78;390,69;387,92;390,44;14725825
2022-11-10 09:00:00;388,05;389,83;385,64;389,78;14337175
2022-11-09 15:00:00;374,82;376,19;373,61;374,15;16938758
2022-11-09 14:00:00;376,14;376,84;374,56;374,84;7252680
2022-11-09 13:00:00;378,52;378,79;375,46;376,14;7263644
2022-11-09 12:00:00;379,05;379,3;377,89;378,53;3918568
2022-11-09 11:00:00;378,25;380,23;378,2;379,07;5117065
2022-11-09 10:00:00;378,71;381,14;377,5;378,25;9291319
2022-11-09 09:00:00;379,93;380,09;378,15;378,72;6530978
2022-11-08 15:00:00;380,61;384,05;380,52;381,93;16638947
2022-11-08 14:00:00;380,74;381,34;377,72;380,6;11020372
2022-11-08 13:00:00;384,48;385;380,46;380,75;9048444
2022-11-08 12:00:00;384,54;384,78;383,93;384,47;4566094
2022-11-08 11:00:00;383,11;385,12;382,51;384,54;7970600
2022-11-08 10:00:00;380,38;383,32;380,32;383,06;8972760
2022-11-08 09:00:00;381,11;381,23;379,53;380,39;5116003
2022-11-07 15:00:00;379,34;380,57;379,32;379,81;14098036
2022-11-07 14:00:00;377,92;380;377,92;379,33;7549343
2022-11-07 13:00:00;377;377,98;376,96;377,92;3954666
2022-11-07 12:00:00;376,21;377,37;375,81;377,01;4037882
2022-11-07 11:00:00;377,62;378,15;376,21;376,22;5220769
2022-11-07 10:00:00;376,11;378,39;376,01;377,61;7267421
2022-11-07 09:00:00;377,71;378,34;375,53;376,11;5183170
2022-11-04 15:00:00;373,97;376,47;373,6;376,38;18568764
2022-11-04 14:00:00;370,77;374,2;370;373,96;7688878
2022-11-04 13:00:00;371,29;372,08;370,14;370,76;5693276
2022-11-04 12:00:00;370,98;373,01;370,07;371,28;8704296
2022-11-04 11:00:00;376,83;377,43;370,8;370,97;9216622
2022-11-04 10:00:00;375,11;378,87;374,7;376,8;11010800
2022-11-04 09:00:00;377;377,37;372,23;375,1;8647974
2022-11-03 15:00:00;373,52;373,62;370,92;371,06;12056123
2022-11-03 14:00:00;372,27;373,67;371,87;373,53;5294690
2022-11-03 13:00:00;373,87;374,05;372,25;372,26;4582299
2022-11-03 12:00:00;371,73;374,2;371,4;373,89;5517669
2022-11-03 11:00:00;373,49;373,69;371,02;371,72;8081464
2022-11-03 10:00:00;369,22;373,59;368,79;373,5;12633845
2022-11-03 09:00:00;371,47;372,25;369,04;369,17;8362545
2022-11-02 15:00:00;380,52;383,19;374,76;374,79;31961740
2022-11-02 14:00:00;383,33;388,63;378,96;380,49;34943750
2022-11-02 13:00:00;382,48;383,94;382;383,33;4931049
2022-11-02 12:00:00;382,7;382,89;381,39;382,48;4374305
2022-11-02 11:00:00;382,76;383,1;382,27;382,71;3588200
2022-11-02 10:00:00;382,44;383,12;382,11;382,75;5198149
2022-11-02 09:00:00;383,9;384,06;382,41;382,44;4173243
2022-11-01 15:00:00;385,39;385,8;384,48;384,54;13527636
2022-11-01 14:00:00;385,08;385,55;384,27;385,39;5303630
2022-11-01 13:00:00;384,73;385,45;384,27;385,09;4554927
2022-11-01 12:00:00;384,53;386,02;383,97;384,73;6861108
2022-11-01 11:00:00;384,01;384,82;383,29;384,54;7807397
2022-11-01 10:00:00;388,12;388,4;383,58;384,01;14288966
2022-11-01 09:00:00;390,14;390,39;387,74;388,04;7459033
2022-10-31 15:00:00;386,87;387,45;385,52;386,32;21586230
2022-10-31 14:00:00;387,07;387,72;386,52;386,85;6500433
2022-10-31 13:00:00;386,27;387,59;385,81;387,07;5017640
2022-10-31 12:00:00;387,09;388;385,78;386,25;6017969
2022-10-31 11:00:00;386,12;388,4;386,04;387,08;7919834
2022-10-31 10:00:00;385,48;386,92;385,26;386,12;8156418
2022-10-31 09:00:00;386,44;387,47;385,47;385,47;6776980
2022-10-28 15:00:00;388,86;389,52;388,21;388,92;17054816
2022-10-28 14:00:00;387,52;389,04;387,21;388,85;7098492
2022-10-28 13:00:00;387,16;388,08;387,04;387,52;5701407
2022-10-28 12:00:00;385,76;387,42;385,01;387,15;6789032
2022-10-28 11:00:00;385,72;386,29;384,85;385,77;7643635
2022-10-28 10:00:00;382,57;385,83;380,96;385,72;11751377
2022-10-28 09:00:00;379,87;383,36;379,68;382,52;7844201
