observation_date;VIXCLS
2022-10-03;30,10
2022-10-04;29,07
2022-10-05;28,55
2022-10-06;30,52
2022-10-07;31,36
2022-10-10;32,45
2022-10-11;33,63
2022-10-12;33,57
2022-10-13;31,94
2022-10-14;32,02
2022-10-17;31,37
2022-10-18;30,50
2022-10-19;30,76
2022-10-20;29,98
2022-10-21;29,69
2022-10-24;29,85
2022-10-25;28,46
2022-10-26;27,28
2022-10-27;27,39
2022-10-28;25,75
2022-10-31;25,88
2022-11-01;25,81
2022-11-02;25,86
2022-11-03;25,30
2022-11-04;24,55
2022-11-07;24,35
2022-11-08;25,54
2022-11-09;26,09
2022-11-10;23,53
2022-11-11;22,52
2022-11-14;23,73
2022-11-15;24,54
2022-11-16;24,11
2022-11-17;23,93
2022-11-18;23,12
2022-11-21;22,36
2022-11-22;21,29
2022-11-23;20,35
2022-11-24;20,42
2022-11-25;20,50
2022-11-28;22,21
2022-11-29;21,89
2022-11-30;20,58
