exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
binance-futures,ETHUSDT,1663718459978000,2022-09-21T00:00:00.000000,1320.37,1320.38,24.014000000000003,221.60099999999994,200.378,376.03200000000004
binance-futures,ETHUSDT,1663718519957000,2022-09-21T00:01:00.000000,1316.91,1316.92,34.205,209.46100000000007,275.53200000000004,529.3469999999999
binance-futures,ETHUSDT,1663718579995000,2022-09-21T00:02:00.000000,1321.59,1321.6,234.00900000000001,440.1410000000001,61.714,202.10499999999996
binance-futures,ETHUSDT,1663718639976000,2022-09-21T00:03:00.000000,1324.87,1324.88,211.014,386.737,46.318000000000005,305.599
binance-futures,ETHUSDT,1663718699994000,2022-09-21T00:04:00.000000,1326.34,1326.35,32.760999999999996,162.656,174.22899999999998,335.9119999999999
binance-futures,ETHUSDT,1663718759967000,2022-09-21T00:05:00.000000,1325.48,1325.49,53.522999999999996,226.72299999999996,113.628,289.93199999999996
binance-futures,ETHUSDT,1663718819981000,2022-09-21T00:06:00.000000,1323.66,1323.67,164.41500000000002,393.9930000000001,62.87799999999999,358.58299999999997
binance-futures,ETHUSDT,1663718879993000,2022-09-21T00:07:00.000000,1325.07,1325.08,43.493,242.44899999999998,190.959,348.38599999999997
binance-futures,ETHUSDT,1663718939969000,2022-09-21T00:08:00.000000,1325.6,1325.61,206.336,401.3040000000001,35.82600000000001,566.868
binance-futures,ETHUSDT,1663718999995000,2022-09-21T00:09:00.000000,1326.65,1326.66,275.95400000000006,445.19300000000004,25.682000000000002,224.23400000000004
binance-futures,ETHUSDT,1663719059995000,2022-09-21T00:10:00.000000,1329.91,1329.92,58.078,239.701,235.93200000000002,374.577
binance-futures,ETHUSDT,1663719119938000,2022-09-21T00:11:00.000000,1328.75,1328.76,236.599,358.01900000000006,10.064,195.815
binance-futures,ETHUSDT,1663719179995000,2022-09-21T00:12:00.000000,1329.68,1329.69,169.285,942.1669999999998,47.129999999999995,232.301
binance-futures,ETHUSDT,1663719239982000,2022-09-21T00:13:00.000000,1328.76,1328.77,88.362,399.88699999999994,59.901,288.93500000000006
binance-futures,ETHUSDT,1663719299998000,2022-09-21T00:14:00.000000,1328.65,1328.66,111.479,347.43800000000005,79.96399999999998,294.255
binance-futures,ETHUSDT,1663719359968000,2022-09-21T00:15:00.000000,1327.31,1327.32,124.48,291.55,185.97,332.24800000000005
binance-futures,ETHUSDT,1663719419984000,2022-09-21T00:16:00.000000,1324.86,1324.87,36.958,284.77299999999997,383.67600000000004,573.6880000000001
binance-futures,ETHUSDT,1663719479972000,2022-09-21T00:17:00.000000,1320.51,1320.52,92.985,207.67600000000004,281.336,486.166
binance-futures,ETHUSDT,1663719539983000,2022-09-21T00:18:00.000000,1322.5,1322.51,44.566,187.341,135.42200000000003,329.612
binance-futures,ETHUSDT,1663719599971000,2022-09-21T00:19:00.000000,1328.27,1328.28,75.73099999999998,307.58299999999997,123.94300000000001,369.994
binance-futures,ETHUSDT,1663719659979000,2022-09-21T00:20:00.000000,1328.51,1328.52,65.70299999999999,235.92699999999994,78.53099999999999,400.5539999999999
binance-futures,ETHUSDT,1663719719994000,2022-09-21T00:21:00.000000,1326.05,1326.06,428.54099999999994,542.5329999999999,127.63500000000002,293.60600000000005
binance-futures,ETHUSDT,1663719779980000,2022-09-21T00:22:00.000000,1325.77,1325.78,124.75099999999999,473.11100000000005,32.276999999999994,152.855
binance-futures,ETHUSDT,1663719839995000,2022-09-21T00:23:00.000000,1325.95,1325.96,22.646,143.457,488.89900000000006,663.4880000000002
binance-futures,ETHUSDT,1663719899971000,2022-09-21T00:24:00.000000,1326.41,1326.42,253.174,421.53999999999996,15.065,246.02999999999997
binance-futures,ETHUSDT,1663719959980000,2022-09-21T00:25:00.000000,1327.31,1327.32,42.114999999999995,282.197,142.63,322.4549999999999
binance-futures,ETHUSDT,1663720019979000,2022-09-21T00:26:00.000000,1327.21,1327.22,62.93699999999999,279.562,113.25500000000001,308.936
binance-futures,ETHUSDT,1663720079998000,2022-09-21T00:27:00.000000,1326.95,1326.96,337.734,435.5299999999999,12.751,61.163999999999994
binance-futures,ETHUSDT,1663720139970000,2022-09-21T00:28:00.000000,1327.57,1327.58,75.306,339.0449999999999,111.34700000000001,253.318
binance-futures,ETHUSDT,1663720199891000,2022-09-21T00:29:00.000000,1329.2,1329.21,189.45999999999998,478.514,53.422,244.16
binance-futures,ETHUSDT,1663720259993000,2022-09-21T00:30:00.000000,1328.85,1328.86,143.56199999999998,423.678,70.383,326.4220000000001
binance-futures,ETHUSDT,1663720319979000,2022-09-21T00:31:00.000000,1326.62,1326.63,28.362999999999996,128.913,194.96099999999993,381.4859999999999
binance-futures,ETHUSDT,1663720379995000,2022-09-21T00:32:00.000000,1326.83,1326.84,55.644000000000005,370.58200000000005,88.07400000000001,271.85100000000006
binance-futures,ETHUSDT,1663720439964000,2022-09-21T00:33:00.000000,1323.72,1323.73,110.70200000000001,252.299,79.616,242.79600000000002
binance-futures,ETHUSDT,1663720499978000,2022-09-21T00:34:00.000000,1320.07,1320.08,138.40099999999998,503.9419999999999,176.405,300.87300000000005
binance-futures,ETHUSDT,1663720559990000,2022-09-21T00:35:00.000000,1322.52,1322.53,40.464,143.71500000000003,147.463,471.3069999999999
binance-futures,ETHUSDT,1663720619977000,2022-09-21T00:36:00.000000,1323.27,1323.28,66.88300000000001,292.33299999999997,139.203,311.1689999999999
binance-futures,ETHUSDT,1663720679981000,2022-09-21T00:37:00.000000,1320.67,1320.68,154.72500000000002,419.42599999999993,85.735,246.94099999999995
binance-futures,ETHUSDT,1663720739971000,2022-09-21T00:38:00.000000,1323.41,1323.42,150.471,392.0540000000001,89.649,240.65899999999993
binance-futures,ETHUSDT,1663720799994000,2022-09-21T00:39:00.000000,1324.46,1324.47,48.427,294.86,141.17499999999998,331.182
binance-futures,ETHUSDT,1663720859999000,2022-09-21T00:40:00.000000,1324.2,1324.21,161.33100000000002,685.7890000000001,39.583999999999996,165.594
binance-futures,ETHUSDT,1663720919980000,2022-09-21T00:41:00.000000,1323.9,1323.91,209.762,352.82,25.973,198.44
binance-futures,ETHUSDT,1663720979978000,2022-09-21T00:42:00.000000,1324.0,1324.01,59.196999999999996,245.803,70.793,343.14000000000004
binance-futures,ETHUSDT,1663721039999000,2022-09-21T00:43:00.000000,1324.0,1324.01,96.42400000000004,270.972,54.543,254.59899999999996
binance-futures,ETHUSDT,1663721099972000,2022-09-21T00:44:00.000000,1327.08,1327.09,80.92099999999999,227.06299999999996,53.56700000000001,401.10800000000006
binance-futures,ETHUSDT,1663721159997000,2022-09-21T00:45:00.000000,1328.0,1328.01,151.645,270.22700000000003,101.699,328.71100000000007
binance-futures,ETHUSDT,1663721219995000,2022-09-21T00:46:00.000000,1327.9,1327.91,132.66899999999998,231.468,39.466,200.39600000000004
binance-futures,ETHUSDT,1663721279978000,2022-09-21T00:47:00.000000,1328.89,1328.9,242.637,396.77399999999983,47.221999999999994,232.28900000000002
binance-futures,ETHUSDT,1663721339980000,2022-09-21T00:48:00.000000,1328.0,1328.01,53.50999999999999,260.80699999999996,114.741,270.82699999999994
binance-futures,ETHUSDT,1663721399979000,2022-09-21T00:49:00.000000,1328.12,1328.13,91.735,275.449,33.322,262.29
binance-futures,ETHUSDT,1663721459975000,2022-09-21T00:50:00.000000,1329.17,1329.18,90.121,321.3289999999999,160.98399999999998,296.6389999999999
binance-futures,ETHUSDT,1663721519969000,2022-09-21T00:51:00.000000,1328.77,1328.78,29.137999999999998,246.32799999999997,156.058,412.7069999999999
binance-futures,ETHUSDT,1663721579992000,2022-09-21T00:52:00.000000,1329.38,1329.39,61.72699999999999,250.29899999999998,56.322,215.86700000000002
binance-futures,ETHUSDT,1663721639969000,2022-09-21T00:53:00.000000,1333.08,1333.09,33.096,135.77100000000002,275.91700000000003,414.573
binance-futures,ETHUSDT,1663721699975000,2022-09-21T00:54:00.000000,1333.73,1333.74,29.006999999999998,207.807,255.975,452.821
binance-futures,ETHUSDT,1663721759998000,2022-09-21T00:55:00.000000,1333.28,1333.29,162.34699999999998,333.98699999999997,38.961,179.211
binance-futures,ETHUSDT,1663721819974000,2022-09-21T00:56:00.000000,1333.28,1333.29,179.49499999999998,812.511,33.498000000000005,212.37199999999999
binance-futures,ETHUSDT,1663721879976000,2022-09-21T00:57:00.000000,1334.12,1334.13,115.64000000000001,375.48800000000017,75.82000000000001,214.49500000000003
binance-futures,ETHUSDT,1663721939986000,2022-09-21T00:58:00.000000,1333.86,1333.87,167.685,377.03000000000003,48.756,272.472
binance-futures,ETHUSDT,1663721999981000,2022-09-21T00:59:00.000000,1333.64,1333.65,128.04600000000002,325.762,91.125,284.46
binance-futures,ETHUSDT,1663722059997000,2022-09-21T01:00:00.000000,1332.83,1332.84,31.719,265.063,213.506,411.16299999999995
