exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
binance,BTCUSDT,1663718459999000,2022-09-21T00:00:00.000000,18866.8,18867.64,1.88192,2.9260200000000003,2.7127499999999998,4.22605
binance,BTCUSDT,1663718519927000,2022-09-21T00:01:00.000000,18836.03,18837.01,2.26767,3.8387899999999995,3.7317999999999993,4.318319999999998
binance,BTCUSDT,1663718579953000,2022-09-21T00:02:00.000000,18872.49,18872.89,2.16343,6.307540000000001,2.51521,4.476310000000001
binance,BTCUSDT,1663718639980000,2022-09-21T00:03:00.000000,18909.4,18910.33,2.5686899999999997,5.817850000000001,0.8199799999999999,2.4861400000000002
binance,BTCUSDT,1663718699907000,2022-09-21T00:04:00.000000,18923.96,18924.45,3.2144899999999996,4.352780000000001,1.54756,4.6815299999999995
binance,BTCUSDT,1663718759934000,2022-09-21T00:05:00.000000,18909.16,18910.35,3.4411,6.09476,2.41086,5.3247800000000005
binance,BTCUSDT,1663718819962000,2022-09-21T00:06:00.000000,18895.74,18895.91,4.397100000000001,5.111570000000001,1.6931699999999998,5.648139999999999
binance,BTCUSDT,1663718879992000,2022-09-21T00:07:00.000000,18906.92,18907.91,3.28893,6.0329299999999995,1.7581900000000001,5.136350000000001
binance,BTCUSDT,1663718939920000,2022-09-21T00:08:00.000000,18909.15,18909.16,0.68069,4.30177,1.6431799999999999,4.9804200000000005
binance,BTCUSDT,1663718999951000,2022-09-21T00:09:00.000000,18917.32,18917.52,2.2907200000000003,5.655340000000001,0.9162799999999999,3.0627199999999997
binance,BTCUSDT,1663719059977000,2022-09-21T00:10:00.000000,18945.36,18946.38,2.9578699999999998,3.66524,3.4458,4.155600000000001
binance,BTCUSDT,1663719119905000,2022-09-21T00:11:00.000000,18933.26,18933.34,1.1739600000000001,4.575379999999999,1.28647,4.749639999999999
binance,BTCUSDT,1663719179933000,2022-09-21T00:12:00.000000,18949.54,18949.93,2.7516100000000003,4.92237,3.02008,5.549509999999999
binance,BTCUSDT,1663719239963000,2022-09-21T00:13:00.000000,18943.03,18944.09,2.4770000000000003,4.299050000000001,3.6232599999999993,4.588109999999999
binance,BTCUSDT,1663719299992000,2022-09-21T00:14:00.000000,18949.57,18950.84,1.62804,4.678469999999999,4.154070000000001,4.80842
binance,BTCUSDT,1663719359920000,2022-09-21T00:15:00.000000,18935.76,18936.29,3.9347200000000004,5.485150000000002,3.6468499999999997,4.97316
binance,BTCUSDT,1663719419948000,2022-09-21T00:16:00.000000,18902.67,18903.71,2.1006400000000003,4.48589,3.2240800000000003,4.27651
binance,BTCUSDT,1663719479974000,2022-09-21T00:17:00.000000,18868.1,18869.65,0.45862,2.6897,0.46193,1.2023800000000002
binance,BTCUSDT,1663719539901000,2022-09-21T00:18:00.000000,18895.36,18896.12,1.65448,2.5686199999999992,0.90818,3.396159999999999
binance,BTCUSDT,1663719599928000,2022-09-21T00:19:00.000000,18938.09,18938.62,1.1913799999999999,3.254509999999999,1.39258,7.638669999999999
binance,BTCUSDT,1663719659954000,2022-09-21T00:20:00.000000,18945.41,18946.46,1.30051,4.522799999999999,1.1697799999999998,4.6733899999999995
binance,BTCUSDT,1663719719981000,2022-09-21T00:21:00.000000,18920.0,18920.78,1.0523299999999998,1.4169299999999996,0.43413,8.18742
binance,BTCUSDT,1663719779910000,2022-09-21T00:22:00.000000,18913.63,18914.87,0.7610399999999999,8.461640000000001,5.36885,5.594590000000002
binance,BTCUSDT,1663719839940000,2022-09-21T00:23:00.000000,18913.87,18914.98,1.42869,2.3213999999999997,1.9838199999999997,4.260169999999999
binance,BTCUSDT,1663719899970000,2022-09-21T00:24:00.000000,18919.98,18920.84,0.47734999999999994,3.680489999999999,0.66632,1.8395099999999998
binance,BTCUSDT,1663719959900000,2022-09-21T00:25:00.000000,18920.67,18921.1,0.15885,3.97569,1.9011999999999998,5.21885
binance,BTCUSDT,1663720019930000,2022-09-21T00:26:00.000000,18923.9,18924.37,3.36884,4.87113,2.8599199999999994,5.936379999999999
binance,BTCUSDT,1663720079960000,2022-09-21T00:27:00.000000,18926.73,18927.93,2.8887100000000006,6.130660000000001,2.96099,9.42485
binance,BTCUSDT,1663720139990000,2022-09-21T00:28:00.000000,18928.3,18929.33,3.8260300000000003,4.64698,1.13492,3.5950199999999994
binance,BTCUSDT,1663720199920000,2022-09-21T00:29:00.000000,18937.59,18938.68,0.8014300000000001,3.6503699999999992,4.10705,5.89726
binance,BTCUSDT,1663720259951000,2022-09-21T00:30:00.000000,18933.81,18934.16,1.01703,2.0141799999999996,5.2688299999999995,8.222319999999998
binance,BTCUSDT,1663720319979000,2022-09-21T00:31:00.000000,18908.39,18909.43,2.1495100000000003,5.34701,1.1510799999999999,4.191869999999999
binance,BTCUSDT,1663720379909000,2022-09-21T00:32:00.000000,18908.22,18908.65,0.57868,1.3787600000000002,3.2471999999999994,7.445789999999999
binance,BTCUSDT,1663720439937000,2022-09-21T00:33:00.000000,18882.66,18883.62,2.24101,3.929,3.41017,4.37111
binance,BTCUSDT,1663720499963000,2022-09-21T00:34:00.000000,18857.06,18857.37,0.61023,5.2348799999999995,2.6467400000000003,5.5959200000000004
binance,BTCUSDT,1663720559988000,2022-09-21T00:35:00.000000,18881.63,18882.42,0.21642000000000003,1.42793,1.17177,3.2306600000000003
binance,BTCUSDT,1663720619917000,2022-09-21T00:36:00.000000,18890.75,18891.53,2.6664200000000005,3.7859399999999996,1.9947200000000003,4.5011600000000005
binance,BTCUSDT,1663720679946000,2022-09-21T00:37:00.000000,18871.95,18872.79,2.90118,4.67265,0.51781,3.7813000000000003
binance,BTCUSDT,1663720739974000,2022-09-21T00:38:00.000000,18895.34,18896.16,1.7615699999999999,3.6042599999999996,1.4591999999999998,4.319360000000001
binance,BTCUSDT,1663720799901000,2022-09-21T00:39:00.000000,18900.61,18901.54,3.90029,4.6730100000000006,3.55979,6.412979999999999
binance,BTCUSDT,1663720859930000,2022-09-21T00:40:00.000000,18899.24,18899.35,1.3093299999999997,3.0236299999999994,2.67203,5.167239999999999
binance,BTCUSDT,1663720919958000,2022-09-21T00:41:00.000000,18895.18,18896.2,1.99043,3.7816499999999986,2.7570099999999997,5.577499999999999
binance,BTCUSDT,1663720979988000,2022-09-21T00:42:00.000000,18889.19,18890.1,1.31391,3.76647,3.8992799999999996,6.957300000000001
binance,BTCUSDT,1663721039919000,2022-09-21T00:43:00.000000,18889.99,18890.59,0.6219999999999999,6.493,2.5378399999999997,4.98204
binance,BTCUSDT,1663721099947000,2022-09-21T00:44:00.000000,18915.19,18915.49,2.49627,4.756200000000001,3.45647,3.53813
binance,BTCUSDT,1663721159974000,2022-09-21T00:45:00.000000,18922.0,18922.65,1.5123799999999998,4.53708,4.08425,6.334700000000001
binance,BTCUSDT,1663721219903000,2022-09-21T00:46:00.000000,18922.08,18922.38,1.9586699999999997,10.489639999999998,1.5308,3.482990000000001
binance,BTCUSDT,1663721279934000,2022-09-21T00:47:00.000000,18924.91,18925.62,0.72181,4.172839999999998,0.49164,1.9192
binance,BTCUSDT,1663721339964000,2022-09-21T00:48:00.000000,18919.83,18920.27,2.22066,3.74253,2.35732,4.84099
binance,BTCUSDT,1663721399993000,2022-09-21T00:49:00.000000,18917.36,18917.72,2.19139,2.4343299999999997,1.73171,2.41166
binance,BTCUSDT,1663721459921000,2022-09-21T00:50:00.000000,18923.26,18923.63,2.2129,5.08393,5.664840000000001,7.039260000000002
binance,BTCUSDT,1663721519951000,2022-09-21T00:51:00.000000,18918.85,18919.55,2.0121599999999997,4.1171299999999995,2.0495200000000007,4.729190000000001
binance,BTCUSDT,1663721579981000,2022-09-21T00:52:00.000000,18922.56,18923.34,1.56964,3.78933,3.35691,4.39439
binance,BTCUSDT,1663721639908000,2022-09-21T00:53:00.000000,18941.46,18942.54,1.41751,5.45245,0.92649,3.1725800000000004
binance,BTCUSDT,1663721699938000,2022-09-21T00:54:00.000000,18947.32,18948.49,1.5746,3.3159699999999988,2.1234999999999995,52.17689
binance,BTCUSDT,1663721759968000,2022-09-21T00:55:00.000000,18948.85,18949.34,1.56831,3.728179999999999,21.522009999999998,22.422529999999995
binance,BTCUSDT,1663721819998000,2022-09-21T00:56:00.000000,18940.49,18940.9,0.7464500000000001,2.0421300000000002,2.83005,4.76882
binance,BTCUSDT,1663721879927000,2022-09-21T00:57:00.000000,18940.26,18941.34,2.69472,3.952729999999999,2.2556599999999998,5.037020000000001
binance,BTCUSDT,1663721939957000,2022-09-21T00:58:00.000000,18933.51,18934.62,0.6694299999999999,4.17642,1.3578200000000002,4.857679999999999
binance,BTCUSDT,1663721999987000,2022-09-21T00:59:00.000000,18932.58,18933.51,2.44887,5.30265,1.6488300000000002,3.724630000000001
binance,BTCUSDT,1663722059916000,2022-09-21T01:00:00.000000,18928.77,18928.78,2.0957500000000002,4.79948,1.47687,3.7388999999999997
binance,BTCUSDT,1663722119947000,2022-09-21T01:01:00.000000,18936.15,18937.08,1.6110399999999998,4.74568,2.7717,5.839429999999999
binance,BTCUSDT,1663722179978000,2022-09-21T01:02:00.000000,18934.86,18935.72,5.02024,6.689490000000002,0.54635,3.78636
binance,BTCUSDT,1663722239909000,2022-09-21T01:03:00.000000,18939.47,18939.91,2.15526,4.22451,1.6249299999999998,3.13467
binance,BTCUSDT,1663722299940000,2022-09-21T01:04:00.000000,18941.38,18941.58,1.7203500000000003,4.0192499999999995,0.8015600000000002,2.7701199999999995
binance,BTCUSDT,1663722359970000,2022-09-21T01:05:00.000000,18944.46,18944.61,2.86383,5.1714899999999995,0.9952400000000001,3.78929
binance,BTCUSDT,1663722419900000,2022-09-21T01:06:00.000000,18954.68,18954.94,2.47013,4.162330000000001,1.76656,4.05054
binance,BTCUSDT,1663722479930000,2022-09-21T01:07:00.000000,18939.8,18940.15,1.6063199999999997,3.5092699999999994,3.29004,4.62104
binance,BTCUSDT,1663722539959000,2022-09-21T01:08:00.000000,18960.56,18961.96,3.6218,4.838829999999998,0.9863900000000001,3.8983699999999994
binance,BTCUSDT,1663722599989000,2022-09-21T01:09:00.000000,18956.5,18957.54,3.09137,6.106760000000001,0.46928000000000003,4.14515
binance,BTCUSDT,1663722659917000,2022-09-21T01:10:00.000000,18945.71,18946.37,0.36488000000000004,3.9080799999999996,1.11652,2.4076299999999997
binance,BTCUSDT,1663722719949000,2022-09-21T01:11:00.000000,18942.83,18943.29,1.25609,3.9914499999999995,0.66601,4.447540000000001
binance,BTCUSDT,1663722779980000,2022-09-21T01:12:00.000000,18938.58,18939.39,0.787,4.9901100000000005,2.7284,5.17233
binance,BTCUSDT,1663722839912000,2022-09-21T01:13:00.000000,18942.84,18943.25,1.37714,4.04542,2.4291599999999995,5.617309999999999
binance,BTCUSDT,1663722899943000,2022-09-21T01:14:00.000000,18946.71,18946.99,1.3167099999999998,5.2471999999999985,1.23196,4.160729999999999
binance,BTCUSDT,1663722959974000,2022-09-21T01:15:00.000000,18951.07,18952.09,2.52192,10.685919999999998,2.40045,5.941109999999998
binance,BTCUSDT,1663723019905000,2022-09-21T01:16:00.000000,18945.18,18946.19,1.8664999999999998,4.76727,0.22291999999999995,4.042470000000001
binance,BTCUSDT,1663723079936000,2022-09-21T01:17:00.000000,18950.95,18951.38,1.69197,4.77405,1.6223699999999999,4.3279
binance,BTCUSDT,1663723139968000,2022-09-21T01:18:00.000000,18950.18,18951.18,3.75402,4.375689999999999,1.27285,4.46604
binance,BTCUSDT,1663723199900000,2022-09-21T01:19:00.000000,18949.27,18950.56,4.30141,4.906459999999999,2.7035,7.265149999999999
binance,BTCUSDT,1663723259931000,2022-09-21T01:20:00.000000,18931.99,18932.65,3.5809999999999995,5.1757,2.7103099999999998,5.5606599999999995
binance,BTCUSDT,1663723319961000,2022-09-21T01:21:00.000000,18925.77,18926.61,3.48424,4.6847400000000015,2.51256,6.65783
binance,BTCUSDT,1663723379992000,2022-09-21T01:22:00.000000,18918.43,18919.04,1.6519,4.26248,1.3239100000000001,2.1463300000000003
binance,BTCUSDT,1663723439922000,2022-09-21T01:23:00.000000,18913.66,18913.82,1.35295,4.22328,1.38086,4.45146
binance,BTCUSDT,1663723499953000,2022-09-21T01:24:00.000000,18924.91,18925.32,1.89332,5.50154,2.17504,4.754650000000001
binance,BTCUSDT,1663723559985000,2022-09-21T01:25:00.000000,18918.89,18919.56,1.9173399999999998,4.0159699999999985,3.50545,5.29449
binance,BTCUSDT,1663723619915000,2022-09-21T01:26:00.000000,18911.54,18911.58,1.2190400000000001,4.316359999999999,2.1245700000000003,5.719250000000001
binance,BTCUSDT,1663723679945000,2022-09-21T01:27:00.000000,18902.34,18903.03,1.6093300000000001,4.01166,2.3434599999999994,5.145459999999999
binance,BTCUSDT,1663723739973000,2022-09-21T01:28:00.000000,18890.25,18890.88,1.97385,4.015960000000001,2.54616,5.423930000000001
binance,BTCUSDT,1663723799903000,2022-09-21T01:29:00.000000,18897.89,18898.32,0.6803,5.07362,0.51671,3.21519
binance,BTCUSDT,1663723859933000,2022-09-21T01:30:00.000000,18904.69,18905.19,1.3790400000000003,2.63074,2.16152,4.65891
binance,BTCUSDT,1663723919965000,2022-09-21T01:31:00.000000,18905.17,18905.81,4.38435,6.565040000000001,1.7150699999999999,3.9259399999999993
binance,BTCUSDT,1663723979996000,2022-09-21T01:32:00.000000,18903.41,18904.12,0.97709,4.93877,1.11946,2.32913
binance,BTCUSDT,1663724039925000,2022-09-21T01:33:00.000000,18891.21,18891.81,1.5197300000000002,3.4591800000000013,2.79171,5.194130000000001
binance,BTCUSDT,1663724099956000,2022-09-21T01:34:00.000000,18901.0,18901.89,3.4314199999999992,5.53053,0.5099600000000001,3.3245999999999993
binance,BTCUSDT,1663724159987000,2022-09-21T01:35:00.000000,18907.78,18908.53,2.26701,5.72113,0.14194,2.706409999999999
binance,BTCUSDT,1663724219919000,2022-09-21T01:36:00.000000,18916.25,18916.33,1.2030699999999999,6.088499999999999,1.39559,3.090779999999999
binance,BTCUSDT,1663724279950000,2022-09-21T01:37:00.000000,18917.73,18918.29,0.7821,3.245059999999999,1.2720900000000002,4.707129999999999
binance,BTCUSDT,1663724339981000,2022-09-21T01:38:00.000000,18925.89,18926.3,1.3940600000000003,4.027430000000001,0.63217,3.67041
binance,BTCUSDT,1663724399912000,2022-09-21T01:39:00.000000,18934.16,18934.17,1.11613,5.01348,3.16576,4.53066
binance,BTCUSDT,1663724459942000,2022-09-21T01:40:00.000000,18923.93,18924.66,2.78385,5.14897,2.0497099999999997,5.04027
binance,BTCUSDT,1663724519974000,2022-09-21T01:41:00.000000,18925.4,18926.65,2.74432,4.7192799999999995,2.09363,2.9940399999999996
binance,BTCUSDT,1663724579904000,2022-09-21T01:42:00.000000,18933.69,18933.81,3.14872,3.8198999999999996,0.7616099999999999,4.1603
binance,BTCUSDT,1663724639936000,2022-09-21T01:43:00.000000,18935.4,18936.3,1.55289,4.38949,3.67613,6.49217
binance,BTCUSDT,1663724699967000,2022-09-21T01:44:00.000000,18942.58,18943.33,3.16355,4.70526,1.4327299999999998,4.644219999999999
binance,BTCUSDT,1663724759997000,2022-09-21T01:45:00.000000,18952.84,18953.22,0.6799400000000001,4.00308,1.70096,5.7518400000000005
binance,BTCUSDT,1663724819929000,2022-09-21T01:46:00.000000,18944.74,18945.44,2.88685,4.1726600000000005,1.9594200000000002,4.92924
binance,BTCUSDT,1663724879962000,2022-09-21T01:47:00.000000,18945.25,18945.78,1.21466,2.6953899999999993,1.4634399999999999,4.89063
binance,BTCUSDT,1663724939994000,2022-09-21T01:48:00.000000,18935.74,18936.57,1.88346,3.0893499999999996,1.01997,4.47695
binance,BTCUSDT,1663724999925000,2022-09-21T01:49:00.000000,18930.07,18930.53,0.9498099999999999,4.36741,1.3006900000000001,4.08336
binance,BTCUSDT,1663725059954000,2022-09-21T01:50:00.000000,18903.43,18903.93,1.7329799999999995,3.66234,2.9411600000000004,4.78967
binance,BTCUSDT,1663725119984000,2022-09-21T01:51:00.000000,18886.75,18887.22,1.5146299999999997,3.5880199999999998,3.7991600000000005,5.409819999999999
binance,BTCUSDT,1663725179915000,2022-09-21T01:52:00.000000,18904.69,18905.05,0.87933,2.7698500000000004,1.0209199999999998,3.2762199999999995
binance,BTCUSDT,1663725239946000,2022-09-21T01:53:00.000000,18903.88,18904.67,1.21127,5.513330000000001,1.4390800000000001,2.78417
binance,BTCUSDT,1663725299979000,2022-09-21T01:54:00.000000,18896.53,18897.08,1.07499,7.5363299999999995,1.1053000000000002,5.137810000000001
binance,BTCUSDT,1663725359910000,2022-09-21T01:55:00.000000,18890.94,18891.37,0.031010000000000003,2.1498300000000006,1.2647599999999999,5.0481
binance,BTCUSDT,1663725419941000,2022-09-21T01:56:00.000000,18875.0,18875.88,2.1867599999999996,6.72921,3.43338,5.08925
binance,BTCUSDT,1663725479972000,2022-09-21T01:57:00.000000,18892.47,18893.15,3.32271,4.420679999999999,1.61936,4.57721
binance,BTCUSDT,1663725539904000,2022-09-21T01:58:00.000000,18887.82,18888.25,1.4585199999999998,2.0123399999999996,4.36324,5.453949999999998
binance,BTCUSDT,1663725599937000,2022-09-21T01:59:00.000000,18885.82,18886.62,3.3010000000000006,3.4741200000000014,1.9005699999999999,4.00351
binance,BTCUSDT,1663725659968000,2022-09-21T02:00:00.000000,18896.24,18897.03,3.02205,4.510079999999999,0.9370999999999999,2.82047
binance,BTCUSDT,1663725719999000,2022-09-21T02:01:00.000000,18908.95,18909.4,1.6426899999999998,4.07293,1.3441299999999998,4.581180000000001
binance,BTCUSDT,1663725779931000,2022-09-21T02:02:00.000000,18901.28,18901.29,1.0610199999999999,29.591369999999994,1.1023300000000003,4.10177
binance,BTCUSDT,1663725839963000,2022-09-21T02:03:00.000000,18898.11,18898.33,1.30855,6.71171,2.38492,4.29529
binance,BTCUSDT,1663725899995000,2022-09-21T02:04:00.000000,18898.76,18899.49,2.07814,4.56736,0.83065,3.0607
binance,BTCUSDT,1663725959924000,2022-09-21T02:05:00.000000,18931.07,18931.71,0.8063500000000001,5.167929999999999,1.1151,3.8477299999999994
binance,BTCUSDT,1663726019951000,2022-09-21T02:06:00.000000,18968.39,18970.76,1.8472500000000003,6.10953,1.93678,3.7624099999999996
binance,BTCUSDT,1663726079973000,2022-09-21T02:07:00.000000,18990.57,18992.06,0.25602,1.67389,0.57353,1.5071299999999996
binance,BTCUSDT,1663726139902000,2022-09-21T02:08:00.000000,18986.5,18986.94,1.6065499999999997,3.62924,2.3381000000000003,5.873419999999999
