exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
gate-io,BTC_USDT,1663718459624957,2022-09-21T00:00:00.000000,18865.1,18869.63,0.6276,5.416652000000001,0.9636999999999999,6.7063999999999995
gate-io,BTC_USDT,1663718519521048,2022-09-21T00:01:00.000000,18836.79,18838.83,0.9293999999999998,4.946206199999999,1.1671,6.4105
gate-io,BTC_USDT,1663718579650602,2022-09-21T00:02:00.000000,18867.06,18870.26,0.8436999999999999,9.264199999999999,1.0558,5.2668
gate-io,BTC_USDT,1663718639502280,2022-09-21T00:03:00.000000,18908.38,18909.34,3.3125999999999998,9.6613,0.39880000000000004,1.6568000000000003
gate-io,BTC_USDT,1663718699626263,2022-09-21T00:04:00.000000,18925.47,18925.98,0.5347,7.121,2.2609,8.422
gate-io,BTC_USDT,1663718759625970,2022-09-21T00:05:00.000000,18910.56,18912.72,1.0656005999999998,7.403500600000001,0.5751,8.883099999999999
gate-io,BTC_USDT,1663718819650529,2022-09-21T00:06:00.000000,18893.89,18897.6,0.9732000000000001,7.1151,0.5312000000000001,8.9832
gate-io,BTC_USDT,1663718879495364,2022-09-21T00:07:00.000000,18907.54,18910.33,0.6716,7.049099999999999,1.2395,6.9942
gate-io,BTC_USDT,1663718939506288,2022-09-21T00:08:00.000000,18911.1,18911.52,0.8132999999999999,5.302500000000001,2.2574,10.737800000000002
gate-io,BTC_USDT,1663718999537327,2022-09-21T00:09:00.000000,18915.76,18918.5,1.3663999999999998,7.9915,1.4226,8.9835
gate-io,BTC_USDT,1663719059650861,2022-09-21T00:10:00.000000,18946.16,18952.72,1.2169999999999999,7.233499999999999,0.6791999999999999,3.8996999999999997
gate-io,BTC_USDT,1663719119496568,2022-09-21T00:11:00.000000,18931.42,18934.76,0.7385000000000002,6.4405,1.0225000000000002,7.524300000000001
gate-io,BTC_USDT,1663719179497764,2022-09-21T00:12:00.000000,18950.19,18953.29,0.8793,5.6667000000000005,0.9798000000000001,3.5595000000000008
gate-io,BTC_USDT,1663719239503165,2022-09-21T00:13:00.000000,18942.36,18945.75,1.4464000000000001,6.5529,1.246,6.923900000000001
gate-io,BTC_USDT,1663719299624703,2022-09-21T00:14:00.000000,18948.92,18951.07,1.057,7.5638,0.7164000000000001,5.588799999999999
gate-io,BTC_USDT,1663719359500885,2022-09-21T00:15:00.000000,18936.61,18937.1,0.9064,7.9267,1.0438,7.9349
gate-io,BTC_USDT,1663719419624380,2022-09-21T00:16:00.000000,18901.9,18902.41,0.5385,5.3804,0.9353999999999999,7.302599999999999
gate-io,BTC_USDT,1663719479495893,2022-09-21T00:17:00.000000,18869.72,18871.83,0.7839999999999999,2.9288,0.6433,6.395490000000001
gate-io,BTC_USDT,1663719539626681,2022-09-21T00:18:00.000000,18895.81,18898.28,0.7676000000000001,2.9099000000000004,0.8025999999999999,7.0298
gate-io,BTC_USDT,1663719599676511,2022-09-21T00:19:00.000000,18935.98,18941.06,1.0546,6.024100000000001,1.5462,6.9381999999999975
gate-io,BTC_USDT,1663719659496580,2022-09-21T00:20:00.000000,18942.13,18946.51,0.9148000000000001,6.1333,1.3336999999999999,3.692600000000001
gate-io,BTC_USDT,1663719719629151,2022-09-21T00:21:00.000000,18920.97,18921.21,1.3185999999999998,8.0074,0.5815,3.5284999999999997
