exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
gate-io,ETH_USDT,1663718459985934,2022-09-21T00:00:00.000000,1321.3,1321.31,18.3109,99.03929999999998,13.696000000000002,112.04619999999998
gate-io,ETH_USDT,1663718519968814,2022-09-21T00:01:00.000000,1317.89,1317.9,35.29260000000001,114.95379999999999,42.9126,71.0725
gate-io,ETH_USDT,1663718579987401,2022-09-21T00:02:00.000000,1322.12,1322.14,7.564999999999999,88.97699999999999,19.092,114.07220000000002
gate-io,ETH_USDT,1663718639459796,2022-09-21T00:03:00.000000,1325.21,1325.22,34.4066,109.67179999999998,15.960099999999999,114.18150000000001
gate-io,ETH_USDT,1663718699993901,2022-09-21T00:04:00.000000,1326.8,1326.81,20.2892,153.7772,14.137300000000002,86.78410000000001
gate-io,ETH_USDT,1663718759957705,2022-09-21T00:05:00.000000,1326.2,1326.21,4.846499999999999,88.42479999999999,9.3902,83.1157
gate-io,ETH_USDT,1663718819522777,2022-09-21T00:06:00.000000,1324.17,1324.33,18.489,145.57649999999998,7.0402000000000005,66.747
gate-io,ETH_USDT,1663718879969252,2022-09-21T00:07:00.000000,1325.68,1325.7,5.53,102.86919999999999,8.5237,89.5195
gate-io,ETH_USDT,1663718939971098,2022-09-21T00:08:00.000000,1326.14,1326.15,10.597399999999999,71.99570000000001,4.0776,114.32429999999998
gate-io,ETH_USDT,1663718999479501,2022-09-21T00:09:00.000000,1327.49,1327.5,15.7825,110.6498,3.7788999999999993,94.52029999999999
gate-io,ETH_USDT,1663719059495535,2022-09-21T00:10:00.000000,1330.61,1330.62,5.061799999999999,62.506400000000006,35.5291,76.92349999999999
gate-io,ETH_USDT,1663719119974552,2022-09-21T00:11:00.000000,1329.47,1329.48,8.515400000000001,54.52309999999999,6.686299999999999,83.4998
gate-io,ETH_USDT,1663719179959402,2022-09-21T00:12:00.000000,1330.55,1330.56,41.422200000000004,126.39529999999999,14.324200000000001,81.8394
gate-io,ETH_USDT,1663719239958604,2022-09-21T00:13:00.000000,1329.5,1329.51,14.961200000000002,108.03110000000002,12.6078,81.9578
gate-io,ETH_USDT,1663719299966316,2022-09-21T00:14:00.000000,1329.38,1329.45,9.2272,98.07860000000001,8.481100000000001,125.2306
gate-io,ETH_USDT,1663719359957258,2022-09-21T00:15:00.000000,1328.13,1328.14,16.5017,112.0589,10.837200000000001,85.4326
gate-io,ETH_USDT,1663719419962807,2022-09-21T00:16:00.000000,1325.76,1325.77,5.023899999999999,89.0447,65.40769999999999,144.58499999999995
gate-io,ETH_USDT,1663719479983287,2022-09-21T00:17:00.000000,1321.53,1321.54,4.588399999999999,94.13780000000001,12.0154,83.64770000000001
gate-io,ETH_USDT,1663719539961170,2022-09-21T00:18:00.000000,1323.44,1323.45,7.5828,85.26390000000002,12.0698,130.59539999999998
gate-io,ETH_USDT,1663719599981944,2022-09-21T00:19:00.000000,1328.7,1328.71,12.240400000000001,65.3034,4.7379999999999995,106.5671
gate-io,ETH_USDT,1663719659973783,2022-09-21T00:20:00.000000,1328.97,1328.98,28.637800000000002,158.6966,11.1418,84.405
gate-io,ETH_USDT,1663719719961757,2022-09-21T00:21:00.000000,1326.76,1326.77,19.6345,111.9271,12.056799999999999,75.3074
gate-io,ETH_USDT,1663719778972539,2022-09-21T00:22:00.000000,1326.44,1326.63,8.0128,87.79489999999998,13.594800000000001,78.90750000000003
gate-io,ETH_USDT,1663719839962042,2022-09-21T00:23:00.000000,1326.57,1326.58,7.882099999999999,117.14250000000001,41.7748,124.45189999999998
gate-io,ETH_USDT,1663719899951603,2022-09-21T00:24:00.000000,1327.21,1327.28,40.38190000000001,141.74210000000002,9.562899999999999,122.01930000000002
gate-io,ETH_USDT,1663719959951627,2022-09-21T00:25:00.000000,1328.03,1328.04,7.637,112.0905,14.003000000000002,125.5996
gate-io,ETH_USDT,1663720019967026,2022-09-21T00:26:00.000000,1327.81,1327.82,47.15989999999999,130.8597,14.471199999999998,85.48189999999998
gate-io,ETH_USDT,1663720079969187,2022-09-21T00:27:00.000000,1327.72,1327.73,11.372100000000001,95.0431,7.7989999999999995,93.0639
gate-io,ETH_USDT,1663720139963542,2022-09-21T00:28:00.000000,1328.34,1328.35,6.0137,110.17189999999998,15.952199999999998,120.68990000000001
gate-io,ETH_USDT,1663720199458482,2022-09-21T00:29:00.000000,1329.82,1329.83,7.2452,107.72810000000001,6.0052,98.83
gate-io,ETH_USDT,1663720259951134,2022-09-21T00:30:00.000000,1329.38,1329.39,7.957899999999999,92.45289999999999,7.8232,93.64959999999999
gate-io,ETH_USDT,1663720319962412,2022-09-21T00:31:00.000000,1327.37,1327.38,5.3102,91.12030000000001,9.9574,92.23249999999999
