,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance-futures,ETHUSDT,1663718459978000,2022-09-21T00:00:00.000000,1320.37,1320.38,24.014000000000003,221.60099999999997,200.378,376.032
1,binance-futures,ETHUSDT,1663718519957000,2022-09-21T00:01:00.000000,1316.91,1316.92,34.205,209.46100000000007,275.53200000000004,529.3469999999999
2,binance-futures,ETHUSDT,1663718579995000,2022-09-21T00:02:00.000000,1321.59,1321.6,234.009,440.1410000000001,61.714,202.105
3,binance-futures,ETHUSDT,1663718639976000,2022-09-21T00:03:00.000000,1324.87,1324.88,211.014,386.737,46.318000000000005,305.599
4,binance-futures,ETHUSDT,1663718699994000,2022-09-21T00:04:00.000000,1326.34,1326.35,32.761,162.656,174.22899999999998,335.9119999999999
5,binance-futures,ETHUSDT,1663718759967000,2022-09-21T00:05:00.000000,1325.48,1325.49,53.523,226.723,113.628,289.932
6,binance-futures,ETHUSDT,1663718819981000,2022-09-21T00:06:00.000000,1323.66,1323.67,164.41500000000002,393.9930000000001,62.87799999999999,358.583
7,binance-futures,ETHUSDT,1663718879993000,2022-09-21T00:07:00.000000,1325.07,1325.08,43.493,242.449,190.959,348.386
8,binance-futures,ETHUSDT,1663718939969000,2022-09-21T00:08:00.000000,1325.6,1325.61,206.336,401.3040000000001,35.82600000000001,566.868
9,binance-futures,ETHUSDT,1663718999995000,2022-09-21T00:09:00.000000,1326.65,1326.66,275.95400000000006,445.193,25.682,224.23400000000004
10,binance-futures,ETHUSDT,1663719059995000,2022-09-21T00:10:00.000000,1329.91,1329.92,58.078,239.701,235.932,374.577
11,binance-futures,ETHUSDT,1663719119938000,2022-09-21T00:11:00.000000,1328.75,1328.76,236.599,358.01900000000006,10.064,195.815
12,binance-futures,ETHUSDT,1663719179995000,2022-09-21T00:12:00.000000,1329.68,1329.69,169.285,942.1669999999998,47.13,232.301
13,binance-futures,ETHUSDT,1663719239982000,2022-09-21T00:13:00.000000,1328.76,1328.77,88.362,399.887,59.901,288.93500000000006
14,binance-futures,ETHUSDT,1663719299998000,2022-09-21T00:14:00.000000,1328.65,1328.66,111.479,347.43800000000005,79.96399999999998,294.255
15,binance-futures,ETHUSDT,1663719359968000,2022-09-21T00:15:00.000000,1327.31,1327.32,124.48,291.55,185.97,332.24800000000005
16,binance-futures,ETHUSDT,1663719419984000,2022-09-21T00:16:00.000000,1324.86,1324.87,36.958,284.773,383.676,573.6880000000001
17,binance-futures,ETHUSDT,1663719479972000,2022-09-21T00:17:00.000000,1320.51,1320.52,92.985,207.67600000000004,281.336,486.166
18,binance-futures,ETHUSDT,1663719539983000,2022-09-21T00:18:00.000000,1322.5,1322.51,44.566,187.341,135.42200000000005,329.612
19,binance-futures,ETHUSDT,1663719599971000,2022-09-21T00:19:00.000000,1328.27,1328.28,75.73099999999998,307.583,123.943,369.994
20,binance-futures,ETHUSDT,1663719659979000,2022-09-21T00:20:00.000000,1328.51,1328.52,65.70299999999999,235.92699999999996,78.53099999999999,400.5539999999999
21,binance-futures,ETHUSDT,1663719719994000,2022-09-21T00:21:00.000000,1326.05,1326.06,428.541,542.5329999999999,127.63500000000002,293.60600000000005
22,binance-futures,ETHUSDT,1663719779980000,2022-09-21T00:22:00.000000,1325.77,1325.78,124.751,473.1110000000001,32.276999999999994,152.855
23,binance-futures,ETHUSDT,1663719839995000,2022-09-21T00:23:00.000000,1325.95,1325.96,22.646,143.457,488.89900000000006,663.4880000000002
