,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,gate-io,ETH_USDT,1663718459985934,2022-09-21T00:00:00.000000,1321.3,1321.31,18.3109,99.03929999999998,13.696000000000002,112.04619999999998
1,gate-io,ETH_USDT,1663718519968814,2022-09-21T00:01:00.000000,1317.89,1317.9,35.29260000000001,114.9538,42.9126,71.0725
2,gate-io,ETH_USDT,1663718579987401,2022-09-21T00:02:00.000000,1322.12,1322.14,7.564999999999999,88.97699999999999,19.092,114.07220000000002
3,gate-io,ETH_USDT,1663718639459796,2022-09-21T00:03:00.000000,1325.21,1325.22,34.4066,109.67179999999998,15.9601,114.1815
4,gate-io,ETH_USDT,1663718699993901,2022-09-21T00:04:00.000000,1326.8,1326.81,20.2892,153.7772,14.137300000000002,86.78410000000001
5,gate-io,ETH_USDT,1663718759957705,2022-09-21T00:05:00.000000,1326.2,1326.21,4.846499999999999,88.42479999999999,9.3902,83.1157
6,gate-io,ETH_USDT,1663718819522777,2022-09-21T00:06:00.000000,1324.17,1324.33,18.489,145.57649999999998,7.0402000000000005,66.747
7,gate-io,ETH_USDT,1663718879969252,2022-09-21T00:07:00.000000,1325.68,1325.7,5.53,102.8692,8.5237,89.5195
8,gate-io,ETH_USDT,1663718939971098,2022-09-21T00:08:00.000000,1326.14,1326.15,10.5974,71.99570000000001,4.0776,114.32429999999998
9,gate-io,ETH_USDT,1663718999479501,2022-09-21T00:09:00.000000,1327.49,1327.5,15.7825,110.6498,3.7788999999999993,94.5203
10,gate-io,ETH_USDT,1663719059495535,2022-09-21T00:10:00.000000,1330.61,1330.62,5.061799999999999,62.506400000000006,35.5291,76.92349999999999
11,gate-io,ETH_USDT,1663719119974552,2022-09-21T00:11:00.000000,1329.47,1329.48,8.515400000000001,54.52309999999999,6.686299999999999,83.4998
12,gate-io,ETH_USDT,1663719179959402,2022-09-21T00:12:00.000000,1330.55,1330.56,41.4222,126.3953,14.3242,81.8394
13,gate-io,ETH_USDT,1663719239958604,2022-09-21T00:13:00.000000,1329.5,1329.51,14.961200000000002,108.03110000000002,12.6078,81.9578
14,gate-io,ETH_USDT,1663719299966316,2022-09-21T00:14:00.000000,1329.38,1329.45,9.2272,98.0786,8.481100000000001,125.2306
15,gate-io,ETH_USDT,1663719359957258,2022-09-21T00:15:00.000000,1328.13,1328.14,16.5017,112.0589,10.8372,85.4326
16,gate-io,ETH_USDT,1663719419962807,2022-09-21T00:16:00.000000,1325.76,1325.77,5.023899999999999,89.0447,65.40769999999999,144.58499999999995
17,gate-io,ETH_USDT,1663719479983287,2022-09-21T00:17:00.000000,1321.53,1321.54,4.588399999999999,94.1378,12.0154,83.64770000000001
18,gate-io,ETH_USDT,1663719539961170,2022-09-21T00:18:00.000000,1323.44,1323.45,7.5828,85.26390000000002,12.0698,130.59539999999998
19,gate-io,ETH_USDT,1663719599981944,2022-09-21T00:19:00.000000,1328.7,1328.71,12.2404,65.3034,4.738,106.5671
20,gate-io,ETH_USDT,1663719659973783,2022-09-21T00:20:00.000000,1328.97,1328.98,28.6378,158.6966,11.1418,84.405
21,gate-io,ETH_USDT,1663719719961757,2022-09-21T00:21:00.000000,1326.76,1326.77,19.6345,111.9271,12.0568,75.3074
22,gate-io,ETH_USDT,1663719778972539,2022-09-21T00:22:00.000000,1326.44,1326.63,8.0128,87.79489999999998,13.5948,78.90750000000003
23,gate-io,ETH_USDT,1663719839962042,2022-09-21T00:23:00.000000,1326.57,1326.58,7.882099999999999,117.1425,41.7748,124.45189999999998
24,gate-io,ETH_USDT,1663719899951603,2022-09-21T00:24:00.000000,1327.21,1327.28,40.38190000000001,141.74210000000002,9.5629,122.01930000000002
25,gate-io,ETH_USDT,1663719959951627,2022-09-21T00:25:00.000000,1328.03,1328.04,7.637,112.0905,14.003000000000002,125.5996
26,gate-io,ETH_USDT,1663720019967026,2022-09-21T00:26:00.000000,1327.81,1327.82,47.15989999999999,130.8597,14.471199999999998,85.48189999999998
27,gate-io,ETH_USDT,1663720079969187,2022-09-21T00:27:00.000000,1327.72,1327.73,11.3721,95.0431,7.798999999999999,93.0639
28,gate-io,ETH_USDT,1663720139963542,2022-09-21T00:28:00.000000,1328.34,1328.35,6.0137,110.17189999999998,15.952199999999998,120.6899
29,gate-io,ETH_USDT,1663720199458482,2022-09-21T00:29:00.000000,1329.82,1329.83,7.2452,107.7281,6.0052,98.83
30,gate-io,ETH_USDT,1663720259951134,2022-09-21T00:30:00.000000,1329.38,1329.39,7.957899999999999,92.4529,7.8232,93.6496
31,gate-io,ETH_USDT,1663720319962412,2022-09-21T00:31:00.000000,1327.37,1327.38,5.3102,91.1203,9.9574,92.2325
32,gate-io,ETH_USDT,1663720379956930,2022-09-21T00:32:00.000000,1327.52,1327.53,10.0957,122.64759999999995,9.109000000000002,84.51229299999999
33,gate-io,ETH_USDT,1663720439990434,2022-09-21T00:33:00.000000,1324.51,1324.52,39.1086,110.9368,9.5142,60.84110000000001
34,gate-io,ETH_USDT,1663720499966280,2022-09-21T00:34:00.000000,1321.09,1321.1,3.9694,120.0273,16.4483,77.51650000000001
35,gate-io,ETH_USDT,1663720559964859,2022-09-21T00:35:00.000000,1323.29,1323.3,7.8751,94.9781,19.8059,83.8491
36,gate-io,ETH_USDT,1663720619954919,2022-09-21T00:36:00.000000,1323.89,1323.9,15.4733,132.6027,25.925,104.61480000000002
37,gate-io,ETH_USDT,1663720679968386,2022-09-21T00:37:00.000000,1321.35,1321.56,14.0436,121.385,4.9697,66.9996
38,gate-io,ETH_USDT,1663720739965586,2022-09-21T00:38:00.000000,1324.14,1324.15,6.1968000000000005,111.8427,38.96679999999999,153.91039999999998
39,gate-io,ETH_USDT,1663720799976523,2022-09-21T00:39:00.000000,1325.04,1325.17,7.469200000000001,117.912,17.9482,123.64909999999998
40,gate-io,ETH_USDT,1663720859969258,2022-09-21T00:40:00.000000,1324.95,1324.96,18.3658,128.0222,19.0378,124.7957
41,gate-io,ETH_USDT,1663720919484987,2022-09-21T00:41:00.000000,1324.41,1324.46,6.958100000000001,146.4576,10.7559,76.8819
42,gate-io,ETH_USDT,1663720979973789,2022-09-21T00:42:00.000000,1324.75,1324.81,51.102500000000006,158.6389,10.1392,118.4221
43,gate-io,ETH_USDT,1663721039951945,2022-09-21T00:43:00.000000,1324.82,1324.83,11.5196,124.9325,10.7122,86.66940000000001
44,gate-io,ETH_USDT,1663721099964174,2022-09-21T00:44:00.000000,1327.75,1327.76,7.611700000000001,77.97290000000001,5.592799999999999,82.75369999999998
45,gate-io,ETH_USDT,1663721159955162,2022-09-21T00:45:00.000000,1328.6,1328.61,8.5561,107.1642,10.4595,90.7716
46,gate-io,ETH_USDT,1663721219955787,2022-09-21T00:46:00.000000,1328.5,1328.51,10.4608,88.70330000000001,8.2625,76.3903
47,gate-io,ETH_USDT,1663721279968309,2022-09-21T00:47:00.000000,1329.5,1329.52,14.326899999999998,98.0588,6.196699999999999,70.45117
48,gate-io,ETH_USDT,1663721339957350,2022-09-21T00:48:00.000000,1328.55,1328.57,11.5744,127.6531,9.3695,123.7019
49,gate-io,ETH_USDT,1663721399978563,2022-09-21T00:49:00.000000,1328.75,1328.81,8.7212,118.7068,10.3378,108.06
50,gate-io,ETH_USDT,1663721459973550,2022-09-21T00:50:00.000000,1329.81,1329.82,20.6503,84.7418,10.3772,70.25779999999999
51,gate-io,ETH_USDT,1663721519996493,2022-09-21T00:51:00.000000,1329.63,1329.64,11.391,100.6777,41.22749999999999,128.0554
52,gate-io,ETH_USDT,1663721579964735,2022-09-21T00:52:00.000000,1330.06,1330.21,5.1645,106.5276,19.5283,80.57039999999999
53,gate-io,ETH_USDT,1663721639521985,2022-09-21T00:53:00.000000,1333.55,1333.56,12.337,108.84799999999996,6.9167,86.25099999999999
