,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,okex-swap,BTC-USDT-SWAP,1663718459993000,2022-09-21T00:00:00.000000,18870.6,18870.7,304.0,1960.0,1130.0,1887.0
1,okex-swap,BTC-USDT-SWAP,1663718519963000,2022-09-21T00:01:00.000000,18835.3,18835.4,2064.0,3178.0,346.0,2978.0
2,okex-swap,BTC-USDT-SWAP,1663718579993000,2022-09-21T00:02:00.000000,18874.7,18874.8,2044.0,3274.0,921.0,3717.0
3,okex-swap,BTC-USDT-SWAP,1663718639963000,2022-09-21T00:03:00.000000,18910.0,18910.1,764.0,4380.0,188.0,1131.0
4,okex-swap,BTC-USDT-SWAP,1663718699993000,2022-09-21T00:04:00.000000,18926.0,18926.1,302.0,2780.0,2135.0,3027.0
5,okex-swap,BTC-USDT-SWAP,1663718759993000,2022-09-21T00:05:00.000000,18913.7,18913.8,368.0,2110.0,2217.0,3144.0
6,okex-swap,BTC-USDT-SWAP,1663718819993000,2022-09-21T00:06:00.000000,18898.0,18898.1,594.0,1911.0,1301.0,3358.0
7,okex-swap,BTC-USDT-SWAP,1663718879993000,2022-09-21T00:07:00.000000,18911.3,18911.4,366.0,3751.0,1438.0,4745.0
8,okex-swap,BTC-USDT-SWAP,1663718939983000,2022-09-21T00:08:00.000000,18909.3,18909.4,1971.0,2692.0,386.0,2254.0
9,okex-swap,BTC-USDT-SWAP,1663718999993000,2022-09-21T00:09:00.000000,18918.7,18918.8,1135.0,3290.0,470.0,1816.0
10,okex-swap,BTC-USDT-SWAP,1663719059983000,2022-09-21T00:10:00.000000,18946.4,18946.5,842.0,1675.0,873.0,2653.0
11,okex-swap,BTC-USDT-SWAP,1663719119993000,2022-09-21T00:11:00.000000,18931.1,18931.2,3043.0,4537.0,622.0,3089.0
12,okex-swap,BTC-USDT-SWAP,1663719179983000,2022-09-21T00:12:00.000000,18950.7,18950.8,475.0,2832.0,1334.0,3106.0
13,okex-swap,BTC-USDT-SWAP,1663719239933000,2022-09-21T00:13:00.000000,18943.4,18943.5,868.0,2532.0,808.0,2216.0
14,okex-swap,BTC-USDT-SWAP,1663719299993000,2022-09-21T00:14:00.000000,18950.1,18950.2,768.0,2157.0,871.0,2228.0
15,okex-swap,BTC-USDT-SWAP,1663719359993000,2022-09-21T00:15:00.000000,18936.3,18936.4,686.0,2213.0,1452.0,2369.0
16,okex-swap,BTC-USDT-SWAP,1663719419993000,2022-09-21T00:16:00.000000,18903.8,18903.9,1236.0,2342.0,318.0,2155.0
17,okex-swap,BTC-USDT-SWAP,1663719479993000,2022-09-21T00:17:00.000000,18869.9,18870.0,823.0,2377.0,1817.0,2916.0
18,okex-swap,BTC-USDT-SWAP,1663719539993000,2022-09-21T00:18:00.000000,18896.1,18896.2,461.0,1801.0,576.0,2121.0
19,okex-swap,BTC-USDT-SWAP,1663719599993000,2022-09-21T00:19:00.000000,18936.1,18936.2,3174.0,5434.0,642.0,1800.0
20,okex-swap,BTC-USDT-SWAP,1663719659993000,2022-09-21T00:20:00.000000,18943.7,18943.8,1921.0,3303.0,978.0,2590.0
21,okex-swap,BTC-USDT-SWAP,1663719719973000,2022-09-21T00:21:00.000000,18919.7,18919.8,979.0,2130.0,1186.0,2240.0
22,okex-swap,BTC-USDT-SWAP,1663719779953000,2022-09-21T00:22:00.000000,18913.6,18913.7,916.0,3508.0,204.0,1700.0
23,okex-swap,BTC-USDT-SWAP,1663719839993000,2022-09-21T00:23:00.000000,18916.2,18916.3,359.0,1955.0,1374.0,3681.0
