,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,okex-swap,ETH-USDT-SWAP,1663718459993000,2022-09-21T00:00:00.000000,1321.19,1321.2,447.0,2369.0,692.0,2658.0
1,okex-swap,ETH-USDT-SWAP,1663718519993000,2022-09-21T00:01:00.000000,1317.77,1317.78,969.0,3910.0,1246.0,3712.0
2,okex-swap,ETH-USDT-SWAP,1663718579993000,2022-09-21T00:02:00.000000,1322.42,1322.43,1864.0,3616.0,823.0,2323.0
3,okex-swap,ETH-USDT-SWAP,1663718639973000,2022-09-21T00:03:00.000000,1325.52,1325.53,801.0,3857.0,1240.0,6103.0
4,okex-swap,ETH-USDT-SWAP,1663718699993000,2022-09-21T00:04:00.000000,1326.99,1327.0,1315.0,4822.0,2983.0,7104.0
5,okex-swap,ETH-USDT-SWAP,1663718759983000,2022-09-21T00:05:00.000000,1326.22,1326.23,1358.0,3332.0,2041.0,3987.0
6,okex-swap,ETH-USDT-SWAP,1663718819973000,2022-09-21T00:06:00.000000,1324.43,1324.44,1786.0,3867.0,1455.0,5683.0
7,okex-swap,ETH-USDT-SWAP,1663718879993000,2022-09-21T00:07:00.000000,1325.72,1325.73,1915.0,3692.0,1158.0,4869.0
8,okex-swap,ETH-USDT-SWAP,1663718939963000,2022-09-21T00:08:00.000000,1326.29,1326.3,3171.0,5641.0,453.0,2538.0
9,okex-swap,ETH-USDT-SWAP,1663718999963000,2022-09-21T00:09:00.000000,1327.46,1327.47,2816.0,5399.0,1156.0,3932.0
10,okex-swap,ETH-USDT-SWAP,1663719059993000,2022-09-21T00:10:00.000000,1330.69,1330.7,1152.0,2919.0,980.0,3408.0
11,okex-swap,ETH-USDT-SWAP,1663719119993000,2022-09-21T00:11:00.000000,1329.49,1329.5,1125.0,3703.0,464.0,4153.0
12,okex-swap,ETH-USDT-SWAP,1663719179993000,2022-09-21T00:12:00.000000,1330.41,1330.42,1653.0,4159.0,411.0,2822.0
13,okex-swap,ETH-USDT-SWAP,1663719239973000,2022-09-21T00:13:00.000000,1329.58,1329.59,1243.0,3118.0,1417.0,3678.0
14,okex-swap,ETH-USDT-SWAP,1663719299993000,2022-09-21T00:14:00.000000,1329.42,1329.43,1262.0,4239.0,1247.0,3307.0
15,okex-swap,ETH-USDT-SWAP,1663719359993000,2022-09-21T00:15:00.000000,1328.02,1328.03,1794.0,3282.0,1163.0,3441.0
16,okex-swap,ETH-USDT-SWAP,1663719419983000,2022-09-21T00:16:00.000000,1325.51,1325.52,1418.0,2803.0,15500.0,17535.0
17,okex-swap,ETH-USDT-SWAP,1663719479993000,2022-09-21T00:17:00.000000,1321.37,1321.38,1112.0,3956.0,2998.0,5627.0
18,okex-swap,ETH-USDT-SWAP,1663719539993000,2022-09-21T00:18:00.000000,1323.18,1323.19,1431.0,2443.0,804.0,3239.0
19,okex-swap,ETH-USDT-SWAP,1663719599993000,2022-09-21T00:19:00.000000,1328.77,1328.78,1934.0,4076.0,1337.0,3982.0
20,okex-swap,ETH-USDT-SWAP,1663719659993000,2022-09-21T00:20:00.000000,1328.95,1328.96,1320.0,5997.0,1988.0,4048.0
21,okex-swap,ETH-USDT-SWAP,1663719719993000,2022-09-21T00:21:00.000000,1326.59,1326.6,2041.0,3763.0,689.0,3275.0
22,okex-swap,ETH-USDT-SWAP,1663719779993000,2022-09-21T00:22:00.000000,1326.58,1326.59,1768.0,3908.0,966.0,3574.0
23,okex-swap,ETH-USDT-SWAP,1663719839993000,2022-09-21T00:23:00.000000,1326.61,1326.62,1428.0,3910.0,700.0,3628.0
24,okex-swap,ETH-USDT-SWAP,1663719899993000,2022-09-21T00:24:00.000000,1327.14,1327.15,3752.0,7139.0,926.0,3083.0
25,okex-swap,ETH-USDT-SWAP,1663719959983000,2022-09-21T00:25:00.000000,1327.97,1327.98,1058.0,3189.0,831.0,3149.0
26,okex-swap,ETH-USDT-SWAP,1663720019993000,2022-09-21T00:26:00.000000,1327.93,1327.94,813.0,2394.0,1461.0,5135.0
27,okex-swap,ETH-USDT-SWAP,1663720079993000,2022-09-21T00:27:00.000000,1327.76,1327.77,971.0,6550.0,551.0,4147.0
28,okex-swap,ETH-USDT-SWAP,1663720139993000,2022-09-21T00:28:00.000000,1328.38,1328.39,1338.0,2893.0,1853.0,5863.0
29,okex-swap,ETH-USDT-SWAP,1663720199993000,2022-09-21T00:29:00.000000,1329.99,1330.0,918.0,4384.0,2401.0,4097.0
30,okex-swap,ETH-USDT-SWAP,1663720259973000,2022-09-21T00:30:00.000000,1329.52,1329.53,3239.0,6664.0,1187.0,2259.0
31,okex-swap,ETH-USDT-SWAP,1663720319993000,2022-09-21T00:31:00.000000,1327.39,1327.4,1174.0,2618.0,1637.0,3760.0
32,okex-swap,ETH-USDT-SWAP,1663720379993000,2022-09-21T00:32:00.000000,1327.6,1327.61,1485.0,4144.0,929.0,3622.0
33,okex-swap,ETH-USDT-SWAP,1663720439993000,2022-09-21T00:33:00.000000,1324.63,1324.64,1544.0,3915.0,2097.0,3733.0
