exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
okex-swap,BTC-USDT-SWAP,1675209659990000,2023-02-01T00:00:00.000000,23140.1,23140.2,173.0,1795.0,747.0,1522.0
okex-swap,BTC-USDT-SWAP,1675209719990000,2023-02-01T00:01:00.000000,23130.0,23130.1,1335.0,2665.0,1868.0,6715.0
okex-swap,BTC-USDT-SWAP,1675209779990000,2023-02-01T00:02:00.000000,23144.2,23144.3,2416.0,4588.0,532.0,1126.0
okex-swap,BTC-USDT-SWAP,1675209839990000,2023-02-01T00:03:00.000000,23162.2,23162.3,802.0,5146.0,642.0,2043.0
okex-swap,BTC-USDT-SWAP,1675209899990000,2023-02-01T00:04:00.000000,23136.3,23136.4,819.0,2884.0,621.0,2493.0
okex-swap,BTC-USDT-SWAP,1675209959990000,2023-02-01T00:05:00.000000,23091.1,23091.2,789.0,1977.0,1191.0,4685.0
okex-swap,BTC-USDT-SWAP,1675210019990000,2023-02-01T00:06:00.000000,23103.9,23104.0,821.0,3389.0,694.0,1086.0
okex-swap,BTC-USDT-SWAP,1675210079980000,2023-02-01T00:07:00.000000,23089.5,23089.6,914.0,1958.0,1062.0,1667.0
okex-swap,BTC-USDT-SWAP,1675210139990000,2023-02-01T00:08:00.000000,23090.8,23090.9,754.0,3643.0,593.0,1663.0
okex-swap,BTC-USDT-SWAP,1675210199990000,2023-02-01T00:09:00.000000,23070.8,23070.9,1870.0,5991.0,562.0,1930.0
okex-swap,BTC-USDT-SWAP,1675210259990000,2023-02-01T00:10:00.000000,23077.0,23077.1,1852.0,2698.0,1115.0,1816.0
okex-swap,BTC-USDT-SWAP,1675210319990000,2023-02-01T00:11:00.000000,23059.7,23059.8,597.0,1152.0,1027.0,3774.0
okex-swap,BTC-USDT-SWAP,1675210379990000,2023-02-01T00:12:00.000000,23082.5,23082.6,1567.0,3195.0,649.0,1838.0
okex-swap,BTC-USDT-SWAP,1675210439990000,2023-02-01T00:13:00.000000,23086.8,23086.9,162.0,2583.0,1155.0,2825.0
okex-swap,BTC-USDT-SWAP,1675210499990000,2023-02-01T00:14:00.000000,23096.1,23096.2,989.0,2530.0,915.0,1450.0
okex-swap,BTC-USDT-SWAP,1675210559990000,2023-02-01T00:15:00.000000,23076.9,23077.0,827.0,1649.0,504.0,1407.0
okex-swap,BTC-USDT-SWAP,1675210619990000,2023-02-01T00:16:00.000000,23094.1,23094.2,147.0,867.0,2347.0,3045.0
okex-swap,BTC-USDT-SWAP,1675210679990000,2023-02-01T00:17:00.000000,23082.6,23082.7,665.0,4819.0,917.0,1758.0
okex-swap,BTC-USDT-SWAP,1675210739990000,2023-02-01T00:18:00.000000,23087.2,23087.3,435.0,1365.0,1281.0,3056.0
okex-swap,BTC-USDT-SWAP,1675210799998000,2023-02-01T00:19:00.000000,23077.7,23077.8,1660.0,3196.0,910.0,1851.0
okex-swap,BTC-USDT-SWAP,1675210859988000,2023-02-01T00:20:00.000000,23081.6,23081.7,1796.0,3049.0,667.0,1594.0
okex-swap,BTC-USDT-SWAP,1675210919968000,2023-02-01T00:21:00.000000,23087.3,23087.4,1939.0,4315.0,1094.0,12939.0
okex-swap,BTC-USDT-SWAP,1675210979998000,2023-02-01T00:22:00.000000,23088.1,23088.2,1205.0,3604.0,1783.0,13592.0
okex-swap,BTC-USDT-SWAP,1675211039998000,2023-02-01T00:23:00.000000,23085.3,23085.4,456.0,5328.0,1745.0,2856.0
okex-swap,BTC-USDT-SWAP,1675211099998000,2023-02-01T00:24:00.000000,23089.2,23089.3,1039.0,2745.0,5031.0,6676.0
okex-swap,BTC-USDT-SWAP,1675211159998000,2023-02-01T00:25:00.000000,23072.3,23072.4,235.0,1378.0,2240.0,3177.0
okex-swap,BTC-USDT-SWAP,1675211219998000,2023-02-01T00:26:00.000000,23060.0,23060.1,220.0,3621.0,2043.0,4220.0
okex-swap,BTC-USDT-SWAP,1675211279988000,2023-02-01T00:27:00.000000,23057.2,23057.3,1171.0,4695.0,944.0,2428.0
okex-swap,BTC-USDT-SWAP,1675211339988000,2023-02-01T00:28:00.000000,23058.3,23058.4,642.0,2363.0,2372.0,4288.0
okex-swap,BTC-USDT-SWAP,1675211399998000,2023-02-01T00:29:00.000000,23045.1,23045.2,843.0,2304.0,756.0,2138.0
okex-swap,BTC-USDT-SWAP,1675211459998000,2023-02-01T00:30:00.000000,23014.4,23014.5,1284.0,3136.0,847.0,3899.0
okex-swap,BTC-USDT-SWAP,1675211519998000,2023-02-01T00:31:00.000000,23039.8,23039.9,229.0,1020.0,2308.0,3371.0
okex-swap,BTC-USDT-SWAP,1675211579928000,2023-02-01T00:32:00.000000,23042.6,23042.7,1585.0,3126.0,480.0,873.0
okex-swap,BTC-USDT-SWAP,1675211639988000,2023-02-01T00:33:00.000000,23054.0,23054.1,297.0,2403.0,1955.0,2611.0
okex-swap,BTC-USDT-SWAP,1675211699998000,2023-02-01T00:34:00.000000,23054.6,23054.7,682.0,2172.0,1229.0,2558.0
okex-swap,BTC-USDT-SWAP,1675211759998000,2023-02-01T00:35:00.000000,23052.0,23052.1,622.0,3974.0,177.0,1221.0
okex-swap,BTC-USDT-SWAP,1675211819988000,2023-02-01T00:36:00.000000,23060.8,23060.9,550.0,5597.0,1987.0,4187.0
okex-swap,BTC-USDT-SWAP,1675211879998000,2023-02-01T00:37:00.000000,23069.9,23070.0,1341.0,3864.0,319.0,1498.0
okex-swap,BTC-USDT-SWAP,1675211939998000,2023-02-01T00:38:00.000000,23074.1,23074.2,386.0,1722.0,1330.0,2986.0
okex-swap,BTC-USDT-SWAP,1675211999998000,2023-02-01T00:39:00.000000,23070.9,23071.0,2127.0,3509.0,447.0,1347.0
okex-swap,BTC-USDT-SWAP,1675212059968000,2023-02-01T00:40:00.000000,23074.9,23075.0,1746.0,3425.0,1118.0,2687.0
okex-swap,BTC-USDT-SWAP,1675212119998000,2023-02-01T00:41:00.000000,23084.6,23084.7,1552.0,6585.0,589.0,1573.0
okex-swap,BTC-USDT-SWAP,1675212179998000,2023-02-01T00:42:00.000000,23077.9,23078.0,3355.0,4599.0,543.0,1997.0
okex-swap,BTC-USDT-SWAP,1675212239998000,2023-02-01T00:43:00.000000,23086.0,23086.1,1244.0,2707.0,1198.0,2326.0
okex-swap,BTC-USDT-SWAP,1675212299998000,2023-02-01T00:44:00.000000,23081.1,23081.2,1100.0,3174.0,597.0,1931.0
okex-swap,BTC-USDT-SWAP,1675212359998000,2023-02-01T00:45:00.000000,23093.8,23093.9,1929.0,5025.0,237.0,1985.0
okex-swap,BTC-USDT-SWAP,1675212419988000,2023-02-01T00:46:00.000000,23096.5,23096.6,1177.0,3404.0,454.0,1807.0
okex-swap,BTC-USDT-SWAP,1675212479998000,2023-02-01T00:47:00.000000,23100.6,23100.7,1756.0,2956.0,629.0,2456.0
okex-swap,BTC-USDT-SWAP,1675212539998000,2023-02-01T00:48:00.000000,23094.1,23094.2,311.0,807.0,1745.0,2569.0
okex-swap,BTC-USDT-SWAP,1675212599998000,2023-02-01T00:49:00.000000,23102.8,23102.9,1633.0,2799.0,459.0,1609.0
okex-swap,BTC-USDT-SWAP,1675212659988000,2023-02-01T00:50:00.000000,23105.3,23105.4,378.0,6291.0,2084.0,2789.0
okex-swap,BTC-USDT-SWAP,1675212719998000,2023-02-01T00:51:00.000000,23109.4,23109.5,1657.0,3599.0,491.0,1486.0
okex-swap,BTC-USDT-SWAP,1675212779998000,2023-02-01T00:52:00.000000,23115.4,23115.5,1989.0,3438.0,376.0,2105.0
okex-swap,BTC-USDT-SWAP,1675212839998000,2023-02-01T00:53:00.000000,23094.8,23094.9,728.0,2160.0,1147.0,2593.0
okex-swap,BTC-USDT-SWAP,1675212899998000,2023-02-01T00:54:00.000000,23091.5,23091.6,472.0,2077.0,2264.0,3548.0
okex-swap,BTC-USDT-SWAP,1675212959998000,2023-02-01T00:55:00.000000,23096.6,23096.7,572.0,2295.0,1475.0,3355.0
okex-swap,BTC-USDT-SWAP,1675213019998000,2023-02-01T00:56:00.000000,23091.8,23091.9,668.0,4890.0,627.0,1708.0
okex-swap,BTC-USDT-SWAP,1675213079978000,2023-02-01T00:57:00.000000,23087.4,23087.5,656.0,2553.0,1565.0,2383.0
okex-swap,BTC-USDT-SWAP,1675213139998000,2023-02-01T00:58:00.000000,23088.0,23088.1,608.0,3226.0,1837.0,3169.0
okex-swap,BTC-USDT-SWAP,1675213199998000,2023-02-01T00:59:00.000000,23085.4,23085.5,3555.0,5471.0,441.0,2140.0
okex-swap,BTC-USDT-SWAP,1675213259968000,2023-02-01T01:00:00.000000,23090.8,23090.9,70.0,2253.0,2141.0,3600.0
okex-swap,BTC-USDT-SWAP,1675213319998000,2023-02-01T01:01:00.000000,23099.6,23099.7,1733.0,3228.0,285.0,1843.0
okex-swap,BTC-USDT-SWAP,1675213379938000,2023-02-01T01:02:00.000000,23104.4,23104.5,1702.0,2903.0,501.0,1872.0
okex-swap,BTC-USDT-SWAP,1675213439988000,2023-02-01T01:03:00.000000,23104.1,23104.2,275.0,1766.0,6340.0,7225.0
okex-swap,BTC-USDT-SWAP,1675213499998000,2023-02-01T01:04:00.000000,23095.3,23095.4,781.0,5392.0,980.0,1757.0
okex-swap,BTC-USDT-SWAP,1675213559938000,2023-02-01T01:05:00.000000,23103.5,23103.6,862.0,1793.0,4589.0,6599.0
okex-swap,BTC-USDT-SWAP,1675213619998000,2023-02-01T01:06:00.000000,23095.9,23096.0,2544.0,3471.0,236.0,1284.0
okex-swap,BTC-USDT-SWAP,1675213679998000,2023-02-01T01:07:00.000000,23090.9,23091.0,224.0,815.0,3800.0,4910.0
okex-swap,BTC-USDT-SWAP,1675213739998000,2023-02-01T01:08:00.000000,23111.7,23111.8,1255.0,2865.0,631.0,2508.0
okex-swap,BTC-USDT-SWAP,1675213799998000,2023-02-01T01:09:00.000000,23111.6,23111.7,691.0,1658.0,624.0,3271.0
okex-swap,BTC-USDT-SWAP,1675213859998000,2023-02-01T01:10:00.000000,23112.3,23112.4,1482.0,3240.0,942.0,2276.0
okex-swap,BTC-USDT-SWAP,1675213919998000,2023-02-01T01:11:00.000000,23113.7,23113.8,319.0,1662.0,1441.0,2753.0
okex-swap,BTC-USDT-SWAP,1675213979938000,2023-02-01T01:12:00.000000,23109.1,23109.2,133.0,1311.0,3631.0,5090.0
okex-swap,BTC-USDT-SWAP,1675214039998000,2023-02-01T01:13:00.000000,23115.3,23115.4,4954.0,10619.0,3626.0,4925.0
okex-swap,BTC-USDT-SWAP,1675214099998000,2023-02-01T01:14:00.000000,23116.8,23116.9,309.0,3418.0,1556.0,4434.0
okex-swap,BTC-USDT-SWAP,1675214159998000,2023-02-01T01:15:00.000000,23120.1,23120.2,978.0,2632.0,948.0,2562.0
okex-swap,BTC-USDT-SWAP,1675214219998000,2023-02-01T01:16:00.000000,23108.1,23108.2,1296.0,3756.0,426.0,1258.0
okex-swap,BTC-USDT-SWAP,1675214279998000,2023-02-01T01:17:00.000000,23100.9,23101.0,405.0,1289.0,2725.0,4146.0
okex-swap,BTC-USDT-SWAP,1675214339998000,2023-02-01T01:18:00.000000,23094.4,23094.5,617.0,1845.0,1568.0,3392.0
okex-swap,BTC-USDT-SWAP,1675214399994000,2023-02-01T01:19:00.000000,23089.7,23089.8,1412.0,3754.0,674.0,1973.0
okex-swap,BTC-USDT-SWAP,1675214459994000,2023-02-01T01:20:00.000000,23097.4,23097.5,399.0,5017.0,1198.0,2950.0
okex-swap,BTC-USDT-SWAP,1675214519984000,2023-02-01T01:21:00.000000,23084.9,23085.0,336.0,1007.0,1419.0,3038.0
okex-swap,BTC-USDT-SWAP,1675214579994000,2023-02-01T01:22:00.000000,23078.7,23078.8,1573.0,3035.0,567.0,1884.0
okex-swap,BTC-USDT-SWAP,1675214639994000,2023-02-01T01:23:00.000000,23077.9,23078.0,1128.0,2169.0,1038.0,1677.0
okex-swap,BTC-USDT-SWAP,1675214699994000,2023-02-01T01:24:00.000000,23077.6,23077.7,523.0,3030.0,2341.0,3105.0
okex-swap,BTC-USDT-SWAP,1675214759994000,2023-02-01T01:25:00.000000,23077.5,23077.6,899.0,5195.0,1878.0,2549.0
okex-swap,BTC-USDT-SWAP,1675214819994000,2023-02-01T01:26:00.000000,23079.9,23080.0,855.0,5383.0,944.0,2198.0
okex-swap,BTC-USDT-SWAP,1675214879994000,2023-02-01T01:27:00.000000,23066.2,23066.3,1001.0,5560.0,157.0,919.0
okex-swap,BTC-USDT-SWAP,1675214939994000,2023-02-01T01:28:00.000000,23076.3,23076.4,653.0,4290.0,1121.0,2545.0
okex-swap,BTC-USDT-SWAP,1675214999994000,2023-02-01T01:29:00.000000,23064.9,23065.0,842.0,4096.0,1577.0,2562.0
okex-swap,BTC-USDT-SWAP,1675215059994000,2023-02-01T01:30:00.000000,23067.5,23067.6,1464.0,3029.0,413.0,1083.0
okex-swap,BTC-USDT-SWAP,1675215119994000,2023-02-01T01:31:00.000000,23078.1,23078.2,1617.0,3907.0,471.0,2694.0
okex-swap,BTC-USDT-SWAP,1675215179994000,2023-02-01T01:32:00.000000,23087.2,23087.3,667.0,2682.0,1618.0,2598.0
okex-swap,BTC-USDT-SWAP,1675215239994000,2023-02-01T01:33:00.000000,23087.4,23087.5,714.0,6424.0,1641.0,2786.0
okex-swap,BTC-USDT-SWAP,1675215299994000,2023-02-01T01:34:00.000000,23084.9,23085.0,1039.0,3082.0,1243.0,2651.0
okex-swap,BTC-USDT-SWAP,1675215359994000,2023-02-01T01:35:00.000000,23109.2,23109.3,1799.0,2920.0,517.0,1327.0
okex-swap,BTC-USDT-SWAP,1675215419944000,2023-02-01T01:36:00.000000,23118.2,23118.3,1018.0,2499.0,1524.0,3001.0
okex-swap,BTC-USDT-SWAP,1675215479964000,2023-02-01T01:37:00.000000,23127.9,23128.0,1300.0,2664.0,629.0,1221.0
okex-swap,BTC-USDT-SWAP,1675215539994000,2023-02-01T01:38:00.000000,23128.8,23128.9,1053.0,15125.0,368.0,2297.0
okex-swap,BTC-USDT-SWAP,1675215599994000,2023-02-01T01:39:00.000000,23132.5,23132.6,1334.0,3741.0,1049.0,1668.0
okex-swap,BTC-USDT-SWAP,1675215659994000,2023-02-01T01:40:00.000000,23133.0,23133.1,928.0,2357.0,1288.0,2866.0
okex-swap,BTC-USDT-SWAP,1675215719974000,2023-02-01T01:41:00.000000,23145.9,23146.0,1808.0,3466.0,586.0,1775.0
okex-swap,BTC-USDT-SWAP,1675215779994000,2023-02-01T01:42:00.000000,23153.1,23153.2,906.0,3179.0,601.0,1120.0
okex-swap,BTC-USDT-SWAP,1675215839994000,2023-02-01T01:43:00.000000,23152.0,23152.1,26760.0,29136.0,2286.0,3503.0
okex-swap,BTC-USDT-SWAP,1675215899994000,2023-02-01T01:44:00.000000,23161.3,23161.4,1752.0,2740.0,705.0,2722.0
okex-swap,BTC-USDT-SWAP,1675215959974000,2023-02-01T01:45:00.000000,23143.5,23143.6,648.0,1798.0,985.0,2651.0
okex-swap,BTC-USDT-SWAP,1675216019974000,2023-02-01T01:46:00.000000,23162.2,23162.3,348.0,2221.0,2420.0,3835.0
okex-swap,BTC-USDT-SWAP,1675216079994000,2023-02-01T01:47:00.000000,23173.8,23173.9,679.0,28338.0,354.0,1198.0
okex-swap,BTC-USDT-SWAP,1675216139994000,2023-02-01T01:48:00.000000,23174.6,23174.7,841.0,28686.0,7630.0,8380.0
okex-swap,BTC-USDT-SWAP,1675216199994000,2023-02-01T01:49:00.000000,23161.8,23161.9,736.0,8397.0,3323.0,13325.0
okex-swap,BTC-USDT-SWAP,1675216259994000,2023-02-01T01:50:00.000000,23151.8,23151.9,769.0,3119.0,1984.0,2762.0
okex-swap,BTC-USDT-SWAP,1675216319984000,2023-02-01T01:51:00.000000,23149.2,23149.3,720.0,1864.0,1751.0,2603.0
okex-swap,BTC-USDT-SWAP,1675216379984000,2023-02-01T01:52:00.000000,23129.3,23129.4,488.0,1011.0,2459.0,3644.0
okex-swap,BTC-USDT-SWAP,1675216439984000,2023-02-01T01:53:00.000000,23127.2,23127.3,249.0,1546.0,3826.0,5690.0
okex-swap,BTC-USDT-SWAP,1675216499914000,2023-02-01T01:54:00.000000,23130.4,23130.5,585.0,1542.0,2693.0,4161.0
okex-swap,BTC-USDT-SWAP,1675216559994000,2023-02-01T01:55:00.000000,23127.4,23127.5,652.0,1909.0,778.0,4409.0
okex-swap,BTC-USDT-SWAP,1675216619884000,2023-02-01T01:56:00.000000,23133.1,23133.2,387.0,1399.0,2191.0,3149.0
okex-swap,BTC-USDT-SWAP,1675216679994000,2023-02-01T01:57:00.000000,23127.6,23127.7,160.0,1243.0,2095.0,3363.0
okex-swap,BTC-USDT-SWAP,1675216739994000,2023-02-01T01:58:00.000000,23129.4,23129.5,712.0,1561.0,2588.0,4375.0
okex-swap,BTC-USDT-SWAP,1675216799984000,2023-02-01T01:59:00.000000,23131.0,23131.1,309.0,964.0,2318.0,4280.0
okex-swap,BTC-USDT-SWAP,1675216859994000,2023-02-01T02:00:00.000000,23119.1,23119.2,862.0,1799.0,1552.0,4107.0
