exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
okex-swap,ETH-USDT-SWAP,1675209659978000,2023-02-01T00:00:00.000000,1586.14,1586.15,546.0,2937.0,994.0,1568.0
okex-swap,ETH-USDT-SWAP,1675209719998000,2023-02-01T00:01:00.000000,1585.65,1585.66,276.0,4337.0,1536.0,2983.0
okex-swap,ETH-USDT-SWAP,1675209779998000,2023-02-01T00:02:00.000000,1587.88,1587.89,1142.0,3186.0,2975.0,3946.0
okex-swap,ETH-USDT-SWAP,1675209839998000,2023-02-01T00:03:00.000000,1588.74,1588.75,826.0,3357.0,2897.0,4595.0
okex-swap,ETH-USDT-SWAP,1675209899998000,2023-02-01T00:04:00.000000,1586.03,1586.04,1292.0,2211.0,1773.0,3667.0
okex-swap,ETH-USDT-SWAP,1675209959998000,2023-02-01T00:05:00.000000,1582.62,1582.63,479.0,1302.0,1040.0,3061.0
okex-swap,ETH-USDT-SWAP,1675210019998000,2023-02-01T00:06:00.000000,1584.67,1584.68,2235.0,5656.0,350.0,2177.0
okex-swap,ETH-USDT-SWAP,1675210079998000,2023-02-01T00:07:00.000000,1584.26,1584.27,560.0,2613.0,1570.0,5930.0
okex-swap,ETH-USDT-SWAP,1675210139968000,2023-02-01T00:08:00.000000,1583.79,1583.8,1177.0,2545.0,780.0,2108.0
okex-swap,ETH-USDT-SWAP,1675210199998000,2023-02-01T00:09:00.000000,1582.35,1582.36,853.0,2375.0,1798.0,3351.0
okex-swap,ETH-USDT-SWAP,1675210259998000,2023-02-01T00:10:00.000000,1583.36,1583.37,849.0,2897.0,902.0,3465.0
okex-swap,ETH-USDT-SWAP,1675210319998000,2023-02-01T00:11:00.000000,1582.28,1582.29,760.0,2829.0,1746.0,3627.0
okex-swap,ETH-USDT-SWAP,1675210379998000,2023-02-01T00:12:00.000000,1583.92,1583.93,2421.0,3705.0,358.0,1784.0
okex-swap,ETH-USDT-SWAP,1675210439998000,2023-02-01T00:13:00.000000,1583.94,1583.95,2352.0,4414.0,238.0,2217.0
okex-swap,ETH-USDT-SWAP,1675210499988000,2023-02-01T00:14:00.000000,1585.23,1585.24,1360.0,29488.0,1024.0,3571.0
okex-swap,ETH-USDT-SWAP,1675210559998000,2023-02-01T00:15:00.000000,1583.44,1583.45,242.0,1003.0,3784.0,12196.0
okex-swap,ETH-USDT-SWAP,1675210619998000,2023-02-01T00:16:00.000000,1584.82,1584.83,343.0,1742.0,2416.0,8191.0
okex-swap,ETH-USDT-SWAP,1675210679998000,2023-02-01T00:17:00.000000,1583.61,1583.62,901.0,3374.0,1094.0,4362.0
okex-swap,ETH-USDT-SWAP,1675210739998000,2023-02-01T00:18:00.000000,1583.8,1583.81,1756.0,2825.0,1291.0,3161.0
okex-swap,ETH-USDT-SWAP,1675210799998000,2023-02-01T00:19:00.000000,1583.31,1583.32,2000.0,5313.0,855.0,2770.0
okex-swap,ETH-USDT-SWAP,1675210859998000,2023-02-01T00:20:00.000000,1584.16,1584.17,2196.0,3351.0,413.0,2923.0
okex-swap,ETH-USDT-SWAP,1675210919998000,2023-02-01T00:21:00.000000,1584.88,1584.89,708.0,3072.0,1261.0,2451.0
okex-swap,ETH-USDT-SWAP,1675210979998000,2023-02-01T00:22:00.000000,1585.19,1585.2,796.0,2956.0,2208.0,3882.0
okex-swap,ETH-USDT-SWAP,1675211039978000,2023-02-01T00:23:00.000000,1585.54,1585.55,1263.0,2526.0,1580.0,4482.0
