,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance-futures,BTCUSDT,1675209659931000,2023-02-01T00:00:00.000000,23129.9,23130.0,2.477,8.466999999999999,32.120999999999995,38.086
1,binance-futures,BTCUSDT,1675209719969000,2023-02-01T00:01:00.000000,23117.6,23117.7,1.649,9.028,40.778,43.18900000000001
2,binance-futures,BTCUSDT,1675209779978000,2023-02-01T00:02:00.000000,23135.5,23135.6,42.019,47.037000000000006,8.531999999999998,22.417999999999992
3,binance-futures,BTCUSDT,1675209839996000,2023-02-01T00:03:00.000000,23154.0,23154.1,0.47,6.109,41.709,49.682
4,binance-futures,BTCUSDT,1675209899972000,2023-02-01T00:04:00.000000,23126.8,23126.9,7.531,18.866000000000003,12.436,23.511000000000003
5,binance-futures,BTCUSDT,1675209959981000,2023-02-01T00:05:00.000000,23082.3,23082.4,7.411999999999999,26.427000000000003,41.222,56.93
6,binance-futures,BTCUSDT,1675210019994000,2023-02-01T00:06:00.000000,23094.8,23094.9,4.573,10.893999999999998,32.456,48.754000000000005
7,binance-futures,BTCUSDT,1675210079974000,2023-02-01T00:07:00.000000,23081.5,23081.6,5.813999999999999,12.574,17.031000000000002,23.641000000000005
8,binance-futures,BTCUSDT,1675210139976000,2023-02-01T00:08:00.000000,23081.2,23081.3,62.385,78.03499999999998,3.8809999999999993,5.857
9,binance-futures,BTCUSDT,1675210199999000,2023-02-01T00:09:00.000000,23063.2,23063.3,1.4029999999999994,6.558999999999999,17.42,26.654000000000003
10,binance-futures,BTCUSDT,1675210259973000,2023-02-01T00:10:00.000000,23068.5,23068.6,22.529000000000003,24.11800000000001,10.565,23.424000000000003
11,binance-futures,BTCUSDT,1675210319989000,2023-02-01T00:11:00.000000,23051.7,23051.8,2.366,10.424,15.040999999999997,29.196
12,binance-futures,BTCUSDT,1675210379980000,2023-02-01T00:12:00.000000,23074.2,23074.3,20.974,26.838,21.112,25.835
13,binance-futures,BTCUSDT,1675210439970000,2023-02-01T00:13:00.000000,23075.8,23075.9,43.07,51.702000000000005,3.243,7.461
14,binance-futures,BTCUSDT,1675210499980000,2023-02-01T00:14:00.000000,23084.5,23084.6,16.108,21.408000000000005,4.689000000000001,13.864
15,binance-futures,BTCUSDT,1675210559978000,2023-02-01T00:15:00.000000,23067.0,23067.1,17.425000000000004,23.73100000000001,4.890000000000001,18.119000000000003
