,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,gate-io,BTC_USDT,1675209659363000,2023-02-01T00:00:00.000000,23131.9,23132.0,0.2939,0.7789,0.051,0.1447
1,gate-io,BTC_USDT,1675209719679000,2023-02-01T00:01:00.000000,23124.1,23124.2,0.0464,0.3462,0.1807,0.3387
2,gate-io,BTC_USDT,1675209779399000,2023-02-01T00:02:00.000000,23141.6,23141.7,0.0532,0.3762999999999999,0.1326999999999999,0.5216
3,gate-io,BTC_USDT,1675209839530000,2023-02-01T00:03:00.000000,23161.9,23162.0,0.032,2.9334,0.2606,0.4192
4,gate-io,BTC_USDT,1675209899711000,2023-02-01T00:04:00.000000,23133.0,23133.1,0.1212999999999999,2.3726,0.109,3.3352
5,gate-io,BTC_USDT,1675209959463000,2023-02-01T00:05:00.000000,23090.1,23090.2,0.0666,0.3288,0.0695,0.5185000000000001
6,gate-io,BTC_USDT,1675210019658000,2023-02-01T00:06:00.000000,23096.8,23096.9,0.3419,2.618999999999999,0.2991,5.318000000000001
7,gate-io,BTC_USDT,1675210079490000,2023-02-01T00:07:00.000000,23088.9,23089.0,0.0259,0.1175,0.1971,0.5371000000000001
8,gate-io,BTC_USDT,1675210139815000,2023-02-01T00:08:00.000000,23088.2,23088.3,0.2952000000000001,9.9063,0.092,0.2142
9,gate-io,BTC_USDT,1675210199993000,2023-02-01T00:09:00.000000,23068.0,23068.1,0.0308,0.1542,0.2084,0.6169
10,gate-io,BTC_USDT,1675210259921000,2023-02-01T00:10:00.000000,23075.0,23075.1,0.0673,0.2059,0.2565,0.3724000000000001
11,gate-io,BTC_USDT,1675210319554000,2023-02-01T00:11:00.000000,23060.0,23060.1,0.0497,0.1612,0.3099,0.8741000000000001
12,gate-io,BTC_USDT,1675210379644000,2023-02-01T00:12:00.000000,23076.5,23076.6,0.1886,0.4865,0.1661112,1.4910112
13,gate-io,BTC_USDT,1675210439608000,2023-02-01T00:13:00.000000,23081.4,23081.5,0.0378,0.115,0.3443,1.7514869999999998
14,gate-io,BTC_USDT,1675210499441000,2023-02-01T00:14:00.000000,23090.2,23090.3,0.2989,0.6863000000000001,0.0825999999999999,0.1742999999999999
15,gate-io,BTC_USDT,1675210559197000,2023-02-01T00:15:00.000000,23076.5,23076.6,0.056,0.1284,0.3020000000000001,1.4216000000000002
16,gate-io,BTC_USDT,1675210619981000,2023-02-01T00:16:00.000000,23091.1,23091.2,0.0635999999999999,0.1755,0.1988,3.7068
17,gate-io,BTC_USDT,1675210679972000,2023-02-01T00:17:00.000000,23079.4,23079.5,0.3157,0.3992000000000001,0.0706,2.536
18,gate-io,BTC_USDT,1675210739617000,2023-02-01T00:18:00.000000,23085.4,23085.5,0.0286999999999999,0.1657999999999999,0.2514,0.6672
19,gate-io,BTC_USDT,1675210799736000,2023-02-01T00:19:00.000000,23074.8,23074.9,0.4250000000000001,0.5329000000000003,0.0255999999999999,1.2172999999999998
20,gate-io,BTC_USDT,1675210859860000,2023-02-01T00:20:00.000000,23079.0,23079.1,0.2646,0.3703000000000001,0.1109,0.4856
21,gate-io,BTC_USDT,1675210919875000,2023-02-01T00:21:00.000000,23085.6,23085.7,0.2143,0.3267,0.089,0.4616
22,gate-io,BTC_USDT,1675210979463000,2023-02-01T00:22:00.000000,23085.7,23085.8,0.2503000000000001,0.3676000000000002,0.1101,0.4348
23,gate-io,BTC_USDT,1675211039846000,2023-02-01T00:23:00.000000,23087.1,23087.2,0.0519,0.1543,0.7525,1.2792999999999997
24,gate-io,BTC_USDT,1675211099452000,2023-02-01T00:24:00.000000,23087.9,23088.0,0.206,0.3877000000000002,0.0771,2.317
25,gate-io,BTC_USDT,1675211159556000,2023-02-01T00:25:00.000000,23072.0,23072.1,0.0799,0.1902999999999999,0.1785,4.2371
26,gate-io,BTC_USDT,1675211219370000,2023-02-01T00:26:00.000000,23062.6,23062.7,0.0837,0.2093,0.0878,0.5238000000000002
27,gate-io,BTC_USDT,1675211279333000,2023-02-01T00:27:00.000000,23056.7,23056.8,0.1951,0.3105,0.0385,0.3644
28,gate-io,BTC_USDT,1675211339356000,2023-02-01T00:28:00.000000,23057.0,23057.1,0.1399999999999999,0.6811999999999999,0.1543,0.5278
29,gate-io,BTC_USDT,1675211399658000,2023-02-01T00:29:00.000000,23041.4,23041.5,0.244750935,0.605750935,0.0662,1.3626
30,gate-io,BTC_USDT,1675211459378000,2023-02-01T00:30:00.000000,23013.9,23014.0,0.3658,1.849447,0.2712,2.7761
31,gate-io,BTC_USDT,1675211519867000,2023-02-01T00:31:00.000000,23038.2,23038.3,0.1138,0.2322,0.1664,4.085500000000001
32,gate-io,BTC_USDT,1675211579645000,2023-02-01T00:32:00.000000,23040.4,23040.5,0.2312,0.3360000000000001,0.06,3.3809
33,gate-io,BTC_USDT,1675211639922000,2023-02-01T00:33:00.000000,23049.1,23049.2,0.1741,0.3202000000000001,0.0921,0.3844
34,gate-io,BTC_USDT,1675211699481000,2023-02-01T00:34:00.000000,23053.4,23053.5,0.0759,0.1787,0.3063,2.6874
35,gate-io,BTC_USDT,1675211759947000,2023-02-01T00:35:00.000000,23049.4,23049.5,0.2117,5.898700000000001,0.0993999999999999,0.4945
36,gate-io,BTC_USDT,1675211819715000,2023-02-01T00:36:00.000000,23057.2,23057.3,0.091,0.2880999999999999,0.1707,0.2574000000000001
37,gate-io,BTC_USDT,1675211879961000,2023-02-01T00:37:00.000000,23062.0,23062.1,0.4163,0.56,0.0393,0.5978000000000001
38,gate-io,BTC_USDT,1675211939966000,2023-02-01T00:38:00.000000,23065.1,23065.2,0.3179,0.7046000000000001,0.0475999999999999,0.1902
39,gate-io,BTC_USDT,1675211999569000,2023-02-01T00:39:00.000000,23064.6,23064.7,0.3554,0.7507,0.0512,0.1815999999999999
40,gate-io,BTC_USDT,1675212059937000,2023-02-01T00:40:00.000000,23069.9,23070.0,0.1773,0.3716000000000001,0.1409,0.5252
41,gate-io,BTC_USDT,1675212119905000,2023-02-01T00:41:00.000000,23081.3,23081.4,0.1113,3.404399999999999,0.0757,0.1824
42,gate-io,BTC_USDT,1675212179905000,2023-02-01T00:42:00.000000,23073.9,23074.0,0.14505957,0.2835595700000001,0.0808,0.5014000000000001
43,gate-io,BTC_USDT,1675212239478000,2023-02-01T00:43:00.000000,23078.5,23078.6,6.458099999999999,6.786899999999997,0.0380999999999999,0.1407
44,gate-io,BTC_USDT,1675212299912000,2023-02-01T00:44:00.000000,23076.9,23077.0,0.1129,0.3876,0.1070999999999999,0.2697
45,gate-io,BTC_USDT,1675212359998000,2023-02-01T00:45:00.000000,23088.8,23088.9,0.3357000000000001,0.7163000000000002,0.055,0.1224
46,gate-io,BTC_USDT,1675212419976000,2023-02-01T00:46:00.000000,23093.4,23093.5,0.2394,0.7483,0.0882999999999999,1.2626
47,gate-io,BTC_USDT,1675212479999000,2023-02-01T00:47:00.000000,23098.9,23099.0,0.1266,0.4610000000000001,0.4754,4.013999999999999
48,gate-io,BTC_USDT,1675212539431000,2023-02-01T00:48:00.000000,23092.0,23092.1,0.0295,0.3413,0.2042,0.8267000000000001
49,gate-io,BTC_USDT,1675212599591000,2023-02-01T00:49:00.000000,23098.9,23099.0,0.3467,0.4612,0.4096999999999999,3.1449
50,gate-io,BTC_USDT,1675212659538000,2023-02-01T00:50:00.000000,23103.5,23103.6,0.0169,0.1217,0.4095,0.5595000000000001
