,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,okex,BTC-USDT,1675209659970000,2023-02-01T00:00:00.000000,23134.2,23134.3,3.97556152,8.809361439999998,7.65198509,15.007623939999998
1,okex,BTC-USDT,1675209719980000,2023-02-01T00:01:00.000000,23127.6,23127.7,0.58470779,18.520741240000003,10.98792491,15.32853244
2,okex,BTC-USDT,1675209779990000,2023-02-01T00:02:00.000000,23141.4,23141.5,3.0212666299999995,7.24283921,3.14735525,8.589861809999999
3,okex,BTC-USDT,1675209839990000,2023-02-01T00:03:00.000000,23158.3,23158.4,4.25301179,11.512320949999998,5.847402370000001,11.736653769999998
4,okex,BTC-USDT,1675209899990000,2023-02-01T00:04:00.000000,23135.4,23135.5,1.81550346,11.05759073,9.84366939,15.387837039999996
5,okex,BTC-USDT,1675209959990000,2023-02-01T00:05:00.000000,23093.0,23093.1,0.22633591,2.09604234,16.136991119999998,20.730954469999997
6,okex,BTC-USDT,1675210019990000,2023-02-01T00:06:00.000000,23099.9,23100.0,3.41824605,16.145538980000005,6.5026525500000005,13.0888915
7,okex,BTC-USDT,1675210079840000,2023-02-01T00:07:00.000000,23086.9,23087.0,0.9635513100000002,5.00517934,3.68201462,9.31762088
8,okex,BTC-USDT,1675210139970000,2023-02-01T00:08:00.000000,23086.9,23087.0,2.68940841,6.809477969999999,4.08404746,11.11745222
9,okex,BTC-USDT,1675210199990000,2023-02-01T00:09:00.000000,23068.7,23068.8,5.51634864,13.26579534,4.398007899999999,11.001731159999997
10,okex,BTC-USDT,1675210259990000,2023-02-01T00:10:00.000000,23074.3,23074.4,1.4897509599999998,4.597153039999999,5.20381452,14.19824505
11,okex,BTC-USDT,1675210319980000,2023-02-01T00:11:00.000000,23059.7,23059.8,1.71335887,7.157200899999999,8.56027494,15.491580759999998
12,okex,BTC-USDT,1675210379990000,2023-02-01T00:12:00.000000,23078.6,23078.7,3.18116513,9.17538645,5.768539939999999,11.906896339999996
13,okex,BTC-USDT,1675210439990000,2023-02-01T00:13:00.000000,23083.6,23083.7,1.60778304,6.1940255,8.613435019999999,15.14082803
14,okex,BTC-USDT,1675210499990000,2023-02-01T00:14:00.000000,23090.4,23090.5,3.6081237600000007,9.19851082,4.19185984,13.96427475
