exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
binance-futures,ETHUSDT,1667260859972000,2022-11-01T00:00:00.000000,1570.39,1570.4,93.41799999999999,686.77,14.284,212.791
binance-futures,ETHUSDT,1667260919976000,2022-11-01T00:01:00.000000,1570.0,1570.01,181.45100000000002,366.02000000000004,105.81900000000002,233.66899999999998
binance-futures,ETHUSDT,1667260979977000,2022-11-01T00:02:00.000000,1569.85,1569.86,46.083999999999996,128.39,152.158,336.389
binance-futures,ETHUSDT,1667261039969000,2022-11-01T00:03:00.000000,1571.52,1571.53,11.104000000000001,210.83,200.64400000000003,443.1070000000001
binance-futures,ETHUSDT,1667261099997000,2022-11-01T00:04:00.000000,1572.04,1572.05,25.386,196.18000000000004,223.50599999999994,390.8959999999999
binance-futures,ETHUSDT,1667261159991000,2022-11-01T00:05:00.000000,1569.79,1569.8,333.515,591.4060000000001,51.218,182.54999999999998
binance-futures,ETHUSDT,1667261219974000,2022-11-01T00:06:00.000000,1569.14,1569.15,265.845,3036.1950000000006,147.938,284.46
binance-futures,ETHUSDT,1667261279976000,2022-11-01T00:07:00.000000,1568.67,1568.68,43.085,271.55899999999997,187.552,434.1420000000001
binance-futures,ETHUSDT,1667261339988000,2022-11-01T00:08:00.000000,1570.18,1570.19,723.457,873.4849999999998,140.485,189.36400000000006
binance-futures,ETHUSDT,1667261399980000,2022-11-01T00:09:00.000000,1570.45,1570.46,73.723,236.26699999999997,189.83499999999998,329.344
binance-futures,ETHUSDT,1667261459973000,2022-11-01T00:10:00.000000,1571.48,1571.49,234.78400000000005,340.93300000000005,20.540000000000003,179.18
binance-futures,ETHUSDT,1667261519969000,2022-11-01T00:11:00.000000,1570.47,1570.48,74.917,165.68600000000004,65.059,225.82199999999997
binance-futures,ETHUSDT,1667261579992000,2022-11-01T00:12:00.000000,1574.37,1574.38,69.027,182.84799999999998,175.24499999999998,422.7999999999999
binance-futures,ETHUSDT,1667261639977000,2022-11-01T00:13:00.000000,1574.36,1574.37,18.729,1778.1079999999997,194.80399999999995,332.979
binance-futures,ETHUSDT,1667261699980000,2022-11-01T00:14:00.000000,1573.18,1573.19,215.54899999999998,1031.7720000000002,23.65,133.529
binance-futures,ETHUSDT,1667261759978000,2022-11-01T00:15:00.000000,1573.24,1573.25,93.916,1163.95,130.164,278.53999999999996
binance-futures,ETHUSDT,1667261819989000,2022-11-01T00:16:00.000000,1573.37,1573.38,94.358,216.604,19.292,166.327
binance-futures,ETHUSDT,1667261879994000,2022-11-01T00:17:00.000000,1573.39,1573.4,23.024,210.45899999999997,335.43399999999997,551.0350000000001
binance-futures,ETHUSDT,1667261939986000,2022-11-01T00:18:00.000000,1572.19,1572.2,1411.497,1497.7150000000006,134.244,285.76000000000005
binance-futures,ETHUSDT,1667261999995000,2022-11-01T00:19:00.000000,1572.21,1572.22,1259.097,1312.4189999999999,325.6340000000001,457.40900000000016
binance-futures,ETHUSDT,1667262059950000,2022-11-01T00:20:00.000000,1573.75,1573.76,251.15400000000002,556.0070000000001,51.68900000000001,141.24700000000004
binance-futures,ETHUSDT,1667262119965000,2022-11-01T00:21:00.000000,1572.95,1572.96,25.903,197.074,187.30599999999998,290.241
binance-futures,ETHUSDT,1667262179975000,2022-11-01T00:22:00.000000,1573.38,1573.39,154.062,373.102,232.18200000000002,310.72400000000005
binance-futures,ETHUSDT,1667262239990000,2022-11-01T00:23:00.000000,1572.58,1572.59,218.95699999999997,410.136,56.474000000000004,143.16099999999997
binance-futures,ETHUSDT,1667262299979000,2022-11-01T00:24:00.000000,1571.04,1571.05,65.12599999999999,133.411,115.85400000000001,309.549
binance-futures,ETHUSDT,1667262359997000,2022-11-01T00:25:00.000000,1570.0,1570.01,121.117,367.902,256.689,366.946
binance-futures,ETHUSDT,1667262419989000,2022-11-01T00:26:00.000000,1570.12,1570.13,1130.592,1261.906,104.071,217.65000000000003
