exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
bitstamp,FTTUSD,1667260859522793,2022-11-01T00:00:00.000000,26.06222,26.1225,4116.25695887,505980.39308499,332.80699817000004,1044.4223669100002
bitstamp,FTTUSD,1667260919524613,2022-11-01T00:01:00.000000,26.01224,26.05045,4108.56839444,1505947.00452056,373.20146086,1084.8168296000001
bitstamp,FTTUSD,1667260978310351,2022-11-01T00:02:00.000000,26.02934,26.08447,4121.85018864,505985.98631476,406.22580768999995,1117.8411764300001
bitstamp,FTTUSD,1667261037092899,2022-11-01T00:03:00.000000,26.02196,26.06602,4121.3297135600005,505985.46583968,415.48889857,1127.1042673100003
bitstamp,FTTUSD,1667261098896587,2022-11-01T00:04:00.000000,26.05682,26.09431,4146.84756349,506010.98368961,416.17000308999997,1127.78537183
bitstamp,FTTUSD,1667261158287780,2022-11-01T00:05:00.000000,25.95208,26.05635,4023.46146814,1505861.89759426,411.62907275,1123.24444149
bitstamp,FTTUSD,1667261218270713,2022-11-01T00:06:00.000000,26.01834,26.05261,4117.20277039,505981.33889651,413.39787484999994,1125.0132435900002
bitstamp,FTTUSD,1667261278903407,2022-11-01T00:07:00.000000,25.95202,26.05673,4022.46135837,1505860.89748449,414.33030106999996,1125.94566981
bitstamp,FTTUSD,1667261337068155,2022-11-01T00:08:00.000000,26.0455,26.07411,4125.68211869,505989.81824481,412.16370076,1123.7790695
bitstamp,FTTUSD,1667261397063646,2022-11-01T00:09:00.000000,26.05462,26.09655,4089.64835803,505953.78448415,411.90963720999997,1123.5250059500001
bitstamp,FTTUSD,1667261459511628,2022-11-01T00:10:00.000000,26.05796,26.08685,4119.75925791,505983.89538403,413.89164922,1125.50701796
bitstamp,FTTUSD,1667261519498753,2022-11-01T00:11:00.000000,26.04289,26.08536,4095.325602,505959.46172812,413.55173758999996,1125.1671063300003
bitstamp,FTTUSD,1667261578880461,2022-11-01T00:12:00.000000,26.09336,26.13277,4124.89035555,505989.02648167,414.74433552,1126.3597042600002
bitstamp,FTTUSD,1667261639464626,2022-11-01T00:13:00.000000,26.08888,26.13835,4114.62865788,505978.764784,412.43704382,1124.0524125600002
bitstamp,FTTUSD,1667261698847421,2022-11-01T00:14:00.000000,26.07817,26.12102,4142.11883316,506006.25495928,414.94563189999997,1126.56100064
bitstamp,FTTUSD,1667261757610250,2022-11-01T00:15:00.000000,26.07089,26.13798,4121.02199709,1505959.45812321,447.76125222999997,1121.8297106700002
bitstamp,FTTUSD,1667261818194112,2022-11-01T00:16:00.000000,26.09801,26.13189,4137.41876195,506001.55488807,415.35544481999995,1126.9708135600001
bitstamp,FTTUSD,1667261879404764,2022-11-01T00:17:00.000000,26.08254,26.12362,4043.57666248,1505882.0127886,412.63043725999995,1124.2458060000001
bitstamp,FTTUSD,1667261939432401,2022-11-01T00:18:00.000000,26.05441,26.09851,4147.60272198,1505986.0388481,413.45624553,1125.07161427
bitstamp,FTTUSD,1667261998822651,2022-11-01T00:19:00.000000,26.05105,26.08925,4105.7792774,505969.91540352,413.45624553,1125.07161427
bitstamp,FTTUSD,1667262056383148,2022-11-01T00:20:00.000000,26.06955,26.1031,4107.12082302,505971.25694914,412.04348696,1123.6588557000002
bitstamp,FTTUSD,1667262119553141,2022-11-01T00:21:00.000000,26.05399,26.10204,4129.15527246,1505967.59139858,265.79581128,939.8642697200002
bitstamp,FTTUSD,1667262178944368,2022-11-01T00:22:00.000000,26.0508,26.10277,4161.03711997,1505999.47324609,418.23505353999997,1129.85042228
bitstamp,FTTUSD,1667262238919927,2022-11-01T00:23:00.000000,26.05105,26.08368,4112.98240285,1505951.4185289699,418.23505353999997,1129.85042228
bitstamp,FTTUSD,1667262299524478,2022-11-01T00:24:00.000000,26.01247,26.07173,4027.4151776,1505865.85130372,418.36207171999996,1129.97744046
bitstamp,FTTUSD,1667262359507960,2022-11-01T00:25:00.000000,26.00511,26.04519,4153.67421114,1505992.11033726,418.96765461999996,1130.5830233600002
bitstamp,FTTUSD,1667262418313535,2022-11-01T00:26:00.000000,26.0011,26.0375,4130.0526128,505994.18873892,418.70827620999995,1130.3236449500002
bitstamp,FTTUSD,1667262477685301,2022-11-01T00:27:00.000000,26.01038,26.05441,4137.1862191,506001.32234522,417.12761037999996,1128.74297912
bitstamp,FTTUSD,1667262537658607,2022-11-01T00:28:00.000000,26.00223,26.04976,4128.51327279,505992.64939891,418.37988005,1129.9952487900002
bitstamp,FTTUSD,1667262595241868,2022-11-01T00:29:00.000000,26.00942,26.04024,4104.78660673,505968.92273285,418.37988005,1129.9952487900002
bitstamp,FTTUSD,1667262657645165,2022-11-01T00:30:00.000000,25.94527,26.04109,4003.1285646100005,505867.26469073,415.93854031,1127.5539090500001
bitstamp,FTTUSD,1667262718855497,2022-11-01T00:31:00.000000,26.00236,26.04551,4143.78517007,506007.92129619,263.75142645000005,937.8198848900003
bitstamp,FTTUSD,1667262778266117,2022-11-01T00:32:00.000000,26.00476,26.03868,4104.31164589,505968.44777201,386.22055387999995,1097.8359226200002
bitstamp,FTTUSD,1667262835830189,2022-11-01T00:33:00.000000,25.98978,26.04595,4027.94670348,1505866.3828296,419.68634743999996,1093.7548058800003
bitstamp,FTTUSD,1667262898215559,2022-11-01T00:34:00.000000,26.02252,26.06917,4123.79349285,505987.92961897,389.90638336999996,1101.52175211
bitstamp,FTTUSD,1667262956977447,2022-11-01T00:35:00.000000,26.03841,26.08435,4105.91980994,505970.05593606,433.73343451999995,1145.34880326
bitstamp,FTTUSD,1667263018181763,2022-11-01T00:36:00.000000,26.05044,26.09691,4120.30966935,505984.44579547,398.10955185999995,1109.7249206000001
bitstamp,FTTUSD,1667263076999341,2022-11-01T00:37:00.000000,26.06195,26.11443,4127.45705028,505991.5931764,389.14922652999996,1100.7645952700002
bitstamp,FTTUSD,1667263138799760,2022-11-01T00:38:00.000000,26.05833,26.10696,3216.4231279699998,6002.866462609999,387.99322225,1099.60859099
bitstamp,FTTUSD,1667263199405750,2022-11-01T00:39:00.000000,26.07912,26.12795,4064.36120519,505928.49733131,396.29703545999996,1107.9124042
bitstamp,FTTUSD,1667263259384202,2022-11-01T00:40:00.000000,26.07102,26.12077,4090.72303011,1505929.15915623,396.61023086,1108.2255996000001
bitstamp,FTTUSD,1667263319976338,2022-11-01T00:41:00.000000,26.06871,26.12061,4053.8664939299997,1505892.30262005,395.08671426,1106.7020830000001
bitstamp,FTTUSD,1667263379364093,2022-11-01T00:42:00.000000,26.07134,26.12497,4152.47187664,506016.60800276,443.49275618,1117.56121462
bitstamp,FTTUSD,1667263439979310,2022-11-01T00:43:00.000000,26.06917,26.12385,4155.56199158,506019.6981177,267.35060438000005,941.4190628200002
bitstamp,FTTUSD,1667263499967957,2022-11-01T00:44:00.000000,26.07059,26.11924,4145.37411498,506009.5102411,416.22217773,1127.83754647
bitstamp,FTTUSD,1667263558160068,2022-11-01T00:45:00.000000,26.06713,26.13307,4160.36514806,1505998.80127418,406.94839663999994,1118.5637653800002
bitstamp,FTTUSD,1667263614510201,2022-11-01T00:46:00.000000,26.06292,26.11627,4136.68258914,1505975.11871526,404.08683054,1115.7021992800003
bitstamp,FTTUSD,1667263676932970,2022-11-01T00:47:00.000000,26.0698,26.12333,4124.8372292,505988.97335532,393.43311807,1105.04848681
bitstamp,FTTUSD,1667263738149988,2022-11-01T00:48:00.000000,26.05249,26.10724,4111.6024082,505975.73853432003,393.70742584,1105.3227945800002
bitstamp,FTTUSD,1667263798772119,2022-11-01T00:49:00.000000,26.06177,26.1119,4113.90696443,505978.04309055,436.48678070999995,1148.10214945
bitstamp,FTTUSD,1667263857539188,2022-11-01T00:50:00.000000,26.05678,26.10727,4139.6053366900005,506003.74146281,423.81084172,1097.8793001600002
bitstamp,FTTUSD,1667263919934645,2022-11-01T00:51:00.000000,26.05191,26.09987,4162.75118005,1506001.18730617,266.60902961000005,940.6774880500002
bitstamp,FTTUSD,1667263979923211,2022-11-01T00:52:00.000000,26.04109,26.08054,4156.2003281,1505994.63645422,407.31193198999995,1118.92730073
bitstamp,FTTUSD,1667264037462278,2022-11-01T00:53:00.000000,26.04109,26.07321,4156.23479911,1505994.67092523,424.57455855,1136.1899272900002
