time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,ETH-PERP,502.935,1571.4,1571.3,81.302
2022-11-01T00:01:00.000000,ftx,ETH-PERP,226.376,1570.9,1570.8,67.108
2022-11-01T00:02:00.000000,ftx,ETH-PERP,98.413,1570.6,1570.5,123.484
2022-11-01T00:03:00.000000,ftx,ETH-PERP,193.69,1572.5,1572.4,24.756
2022-11-01T00:04:00.000000,ftx,ETH-PERP,52.076,1572.8,1572.7,191.486
2022-11-01T00:05:00.000000,ftx,ETH-PERP,4.363,1570.5,1570.4,152.4
2022-11-01T00:06:00.000000,ftx,ETH-PERP,25.345,1569.9,1569.8,147.103
2022-11-01T00:07:00.000000,ftx,ETH-PERP,554.891,1569.5,1569.4,6.379
2022-11-01T00:08:00.000000,ftx,ETH-PERP,347.446,1570.9,1570.8,32.729
2022-11-01T00:09:00.000000,ftx,ETH-PERP,224.683,1571.3,1571.2,15.421
2022-11-01T00:10:00.000000,ftx,ETH-PERP,14.934,1572.0,1571.9,322.292
2022-11-01T00:11:00.000000,ftx,ETH-PERP,0.109,1570.9,1570.8,308.565
2022-11-01T00:12:00.000000,ftx,ETH-PERP,453.997,1575.5,1575.4,0.034
2022-11-01T00:13:00.000000,ftx,ETH-PERP,101.958,1575.2,1575.1,508.068
2022-11-01T00:14:00.000000,ftx,ETH-PERP,82.588,1574.2,1574.1,137.944
2022-11-01T00:15:00.000000,ftx,ETH-PERP,239.041,1574.5,1574.4,7.402
2022-11-01T00:16:00.000000,ftx,ETH-PERP,152.472,1574.4,1574.3,168.827
2022-11-01T00:17:00.000000,ftx,ETH-PERP,98.341,1574.3,1574.2,367.748
2022-11-01T00:18:00.000000,ftx,ETH-PERP,4.139,1573.0,1572.9,629.035
2022-11-01T00:19:00.000000,ftx,ETH-PERP,188.681,1573.3,1573.2,2.133
2022-11-01T00:20:00.000000,ftx,ETH-PERP,44.475,1574.6,1574.5,503.419
2022-11-01T00:21:00.000000,ftx,ETH-PERP,371.116,1574.0,1573.9,33.408
2022-11-01T00:22:00.000000,ftx,ETH-PERP,87.571,1574.2,1574.1,170.504
2022-11-01T00:23:00.000000,ftx,ETH-PERP,1.989,1573.4,1573.3,601.132
2022-11-01T00:24:00.000000,ftx,ETH-PERP,139.021,1572.1,1572.0,38.76
2022-11-01T00:25:00.000000,ftx,ETH-PERP,435.46,1570.9,1570.8,6.683
2022-11-01T00:26:00.000000,ftx,ETH-PERP,74.223,1570.9,1570.8,187.448
2022-11-01T00:27:00.000000,ftx,ETH-PERP,303.931,1572.0,1571.9,58.605
2022-11-01T00:28:00.000000,ftx,ETH-PERP,72.359,1571.8,1571.7,90.708
2022-11-01T00:29:00.000000,ftx,ETH-PERP,309.287,1570.8,1570.7,101.92
2022-11-01T00:30:00.000000,ftx,ETH-PERP,71.03,1569.8,1569.7,264.069
2022-11-01T00:31:00.000000,ftx,ETH-PERP,0.03,1570.1,1570.0,646.901
2022-11-01T00:32:00.000000,ftx,ETH-PERP,11.038,1570.3,1570.2,647.707
2022-11-01T00:33:00.000000,ftx,ETH-PERP,22.885,1570.4,1570.3,326.294
2022-11-01T00:34:00.000000,ftx,ETH-PERP,144.135,1570.6,1570.5,28.416
2022-11-01T00:35:00.000000,ftx,ETH-PERP,493.306,1571.4,1571.2,0.015
2022-11-01T00:36:00.000000,ftx,ETH-PERP,230.856,1571.9,1571.8,45.897
2022-11-01T00:37:00.000000,ftx,ETH-PERP,94.443,1572.9,1572.8,55.71
2022-11-01T00:38:00.000000,ftx,ETH-PERP,3.94,1573.6,1573.5,423.292
2022-11-01T00:39:00.000000,ftx,ETH-PERP,245.783,1574.4,1574.3,27.531
2022-11-01T00:40:00.000000,ftx,ETH-PERP,8.15,1573.6,1573.5,604.839
2022-11-01T00:41:00.000000,ftx,ETH-PERP,600.17,1573.0,1572.9,88.451
2022-11-01T00:42:00.000000,ftx,ETH-PERP,25.898,1573.5,1573.4,181.552
2022-11-01T00:43:00.000000,ftx,ETH-PERP,23.225,1573.3,1573.2,197.225
2022-11-01T00:44:00.000000,ftx,ETH-PERP,347.733,1572.8,1572.7,53.598
2022-11-01T00:45:00.000000,ftx,ETH-PERP,126.718,1572.9,1572.8,97.901
