time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,ETH/USD,60.625,1571.5,1571.4,1.101
2022-11-01T00:01:00.000000,ftx,ETH/USD,5.14,1570.7,1570.6,7.349
2022-11-01T00:02:00.000000,ftx,ETH/USD,1.574,1570.5,1570.4,17.808
2022-11-01T00:03:00.000000,ftx,ETH/USD,44.518,1572.5,1572.4,0.002
2022-11-01T00:04:00.000000,ftx,ETH/USD,1.662,1572.8,1572.7,8.303
2022-11-01T00:05:00.000000,ftx,ETH/USD,4.654,1570.7,1570.6,19.895
2022-11-01T00:06:00.000000,ftx,ETH/USD,0.007,1570.0,1569.9,36.92
2022-11-01T00:07:00.000000,ftx,ETH/USD,60.159,1569.6,1569.5,0.151
2022-11-01T00:08:00.000000,ftx,ETH/USD,22.18,1571.0,1570.9,0.007
2022-11-01T00:09:00.000000,ftx,ETH/USD,14.341,1571.3,1571.2,2.135
2022-11-01T00:10:00.000000,ftx,ETH/USD,5.021,1572.2,1572.1,41.925
2022-11-01T00:11:00.000000,ftx,ETH/USD,4.3,1571.0,1570.9,97.173
2022-11-01T00:12:00.000000,ftx,ETH/USD,33.071,1575.3,1575.2,0.499
2022-11-01T00:13:00.000000,ftx,ETH/USD,2.108,1575.1,1575.0,6.268
2022-11-01T00:14:00.000000,ftx,ETH/USD,5.258,1574.2,1574.1,22.752
2022-11-01T00:15:00.000000,ftx,ETH/USD,55.358,1574.3,1574.2,0.003
2022-11-01T00:16:00.000000,ftx,ETH/USD,0.089,1574.1,1574.0,55.931
2022-11-01T00:17:00.000000,ftx,ETH/USD,12.476,1574.1,1574.0,3.493
2022-11-01T00:18:00.000000,ftx,ETH/USD,0.378,1573.0,1572.9,55.339
2022-11-01T00:19:00.000000,ftx,ETH/USD,41.458,1573.2,1573.1,17.513
2022-11-01T00:20:00.000000,ftx,ETH/USD,3.329,1574.6,1574.5,38.717
2022-11-01T00:21:00.000000,ftx,ETH/USD,52.474,1574.0,1573.9,0.008
2022-11-01T00:22:00.000000,ftx,ETH/USD,0.472,1574.0,1573.9,56.324
2022-11-01T00:23:00.000000,ftx,ETH/USD,0.001,1573.3,1573.2,79.568
2022-11-01T00:24:00.000000,ftx,ETH/USD,101.351,1572.1,1572.0,7.699
2022-11-01T00:25:00.000000,ftx,ETH/USD,26.012,1570.9,1570.8,0.999
2022-11-01T00:26:00.000000,ftx,ETH/USD,16.851,1571.0,1570.9,1.915
2022-11-01T00:27:00.000000,ftx,ETH/USD,29.009,1572.0,1571.9,26.11
2022-11-01T00:28:00.000000,ftx,ETH/USD,3.093,1571.8,1571.7,42.488
2022-11-01T00:29:00.000000,ftx,ETH/USD,20.851,1570.8,1570.7,0.009
2022-11-01T00:30:00.000000,ftx,ETH/USD,53.424,1569.8,1569.7,0.002
2022-11-01T00:31:00.000000,ftx,ETH/USD,0.002,1570.2,1570.1,39.832
2022-11-01T00:32:00.000000,ftx,ETH/USD,1.855,1570.3,1570.2,47.402
2022-11-01T00:33:00.000000,ftx,ETH/USD,0.845,1570.4,1570.3,53.252
2022-11-01T00:34:00.000000,ftx,ETH/USD,39.831,1570.6,1570.5,0.016
2022-11-01T00:35:00.000000,ftx,ETH/USD,38.949,1571.3,1571.2,5.001
2022-11-01T00:36:00.000000,ftx,ETH/USD,33.701,1571.9,1571.8,4.245
2022-11-01T00:37:00.000000,ftx,ETH/USD,24.458,1572.8,1572.7,0.01
2022-11-01T00:38:00.000000,ftx,ETH/USD,17.345,1573.6,1573.5,37.971
2022-11-01T00:39:00.000000,ftx,ETH/USD,36.004,1574.3,1574.2,0.416
2022-11-01T00:40:00.000000,ftx,ETH/USD,2.148,1573.4,1573.3,35.996
2022-11-01T00:41:00.000000,ftx,ETH/USD,21.764,1572.9,1572.8,17.383
2022-11-01T00:42:00.000000,ftx,ETH/USD,0.018,1573.4,1573.3,70.773
2022-11-01T00:43:00.000000,ftx,ETH/USD,52.731,1573.5,1573.4,4.1
2022-11-01T00:44:00.000000,ftx,ETH/USD,2.147,1572.7,1572.6,0.021
2022-11-01T00:45:00.000000,ftx,ETH/USD,0.977,1573.0,1572.9,26.304
2022-11-01T00:46:00.000000,ftx,ETH/USD,67.815,1572.5,1572.4,0.003
2022-11-01T00:47:00.000000,ftx,ETH/USD,2.821,1572.8,1572.7,52.855
2022-11-01T00:48:00.000000,ftx,ETH/USD,5.048,1571.2,1571.1,61.987
2022-11-01T00:49:00.000000,ftx,ETH/USD,34.556,1571.1,1571.0,10.771
2022-11-01T00:50:00.000000,ftx,ETH/USD,1.078,1571.5,1571.4,30.463
2022-11-01T00:51:00.000000,ftx,ETH/USD,56.513,1571.4,1571.3,3.919
2022-11-01T00:52:00.000000,ftx,ETH/USD,22.314,1570.7,1570.6,15.872
2022-11-01T00:53:00.000000,ftx,ETH/USD,59.122,1570.1,1570.0,0.096
2022-11-01T00:54:00.000000,ftx,ETH/USD,6.632,1570.9,1570.8,32.395
2022-11-01T00:55:00.000000,ftx,ETH/USD,8.02,1570.9,1570.8,0.323
2022-11-01T00:56:00.000000,ftx,ETH/USD,14.755,1569.5,1569.4,13.051
2022-11-01T00:57:00.000000,ftx,ETH/USD,55.032,1570.1,1570.0,0.001
2022-11-01T00:58:00.000000,ftx,ETH/USD,0.705,1570.6,1570.5,62.326
2022-11-01T00:59:00.000000,ftx,ETH/USD,72.872,1570.2,1570.1,2.578
2022-11-01T01:00:00.000000,ftx,ETH/USD,0.108,1570.7,1570.6,51.051
2022-11-01T01:01:00.000000,ftx,ETH/USD,33.079,1570.2,1570.1,1.161
2022-11-01T01:02:00.000000,ftx,ETH/USD,30.429,1569.7,1569.6,2.148
2022-11-01T01:03:00.000000,ftx,ETH/USD,0.001,1570.8,1570.7,51.905
2022-11-01T01:04:00.000000,ftx,ETH/USD,12.01,1571.0,1570.9,0.553
2022-11-01T01:05:00.000000,ftx,ETH/USD,44.668,1571.5,1571.3,0.001
2022-11-01T01:06:00.000000,ftx,ETH/USD,16.45,1571.2,1571.1,6.935
2022-11-01T01:07:00.000000,ftx,ETH/USD,2.147,1571.1,1571.0,39.496
2022-11-01T01:08:00.000000,ftx,ETH/USD,2.0,1570.1,1570.0,81.214
2022-11-01T01:09:00.000000,ftx,ETH/USD,1.595,1571.2,1571.1,68.671
2022-11-01T01:10:00.000000,ftx,ETH/USD,1.31,1572.0,1571.9,37.259
2022-11-01T01:11:00.000000,ftx,ETH/USD,16.66,1572.5,1572.4,2.308
2022-11-01T01:12:00.000000,ftx,ETH/USD,19.548,1574.2,1574.1,0.58
2022-11-01T01:13:00.000000,ftx,ETH/USD,84.916,1573.7,1573.6,0.002
2022-11-01T01:14:00.000000,ftx,ETH/USD,32.449,1573.5,1573.4,66.804
2022-11-01T01:15:00.000000,ftx,ETH/USD,1.988,1572.3,1572.2,41.705
2022-11-01T01:16:00.000000,ftx,ETH/USD,40.528,1572.5,1572.4,38.981
2022-11-01T01:17:00.000000,ftx,ETH/USD,0.073,1572.1,1572.0,47.631
2022-11-01T01:18:00.000000,ftx,ETH/USD,6.812,1572.6,1572.5,31.007
2022-11-01T01:19:00.000000,ftx,ETH/USD,8.881,1573.0,1572.9,19.679
2022-11-01T01:20:00.000000,ftx,ETH/USD,21.905,1574.8,1574.7,20.687
2022-11-01T01:21:00.000000,ftx,ETH/USD,12.784,1579.7,1579.6,9.752
2022-11-01T01:22:00.000000,ftx,ETH/USD,9.413,1578.2,1578.1,3.502
2022-11-01T01:23:00.000000,ftx,ETH/USD,7.27,1578.2,1578.1,52.131
2022-11-01T01:24:00.000000,ftx,ETH/USD,5.241,1579.8,1579.7,7.58
2022-11-01T01:25:00.000000,ftx,ETH/USD,16.858,1580.0,1579.9,4.327
2022-11-01T01:26:00.000000,ftx,ETH/USD,27.581,1580.2,1580.1,41.601
2022-11-01T01:27:00.000000,ftx,ETH/USD,18.207,1581.1,1581.0,39.465
2022-11-01T01:28:00.000000,ftx,ETH/USD,4.143,1581.1,1581.0,48.774
2022-11-01T01:29:00.000000,ftx,ETH/USD,19.662,1581.3,1581.2,11.913
2022-11-01T01:30:00.000000,ftx,ETH/USD,1.274,1581.6,1581.5,40.426
2022-11-01T01:31:00.000000,ftx,ETH/USD,8.507,1583.0,1582.9,51.868
2022-11-01T01:32:00.000000,ftx,ETH/USD,0.887,1582.4,1582.3,50.912
2022-11-01T01:33:00.000000,ftx,ETH/USD,24.112,1584.1,1584.0,0.002
2022-11-01T01:34:00.000000,ftx,ETH/USD,45.798,1582.3,1582.2,3.343
2022-11-01T01:35:00.000000,ftx,ETH/USD,5.43,1582.7,1582.6,17.107
2022-11-01T01:36:00.000000,ftx,ETH/USD,6.347,1582.7,1582.6,14.093
2022-11-01T01:37:00.000000,ftx,ETH/USD,4.037,1582.9,1582.8,21.371
2022-11-01T01:38:00.000000,ftx,ETH/USD,7.485,1582.9,1582.8,13.735
2022-11-01T01:39:00.000000,ftx,ETH/USD,6.326,1582.3,1582.2,3.888
2022-11-01T01:40:00.000000,ftx,ETH/USD,1.089,1582.1,1582.0,20.938
2022-11-01T01:41:00.000000,ftx,ETH/USD,0.069,1582.0,1581.9,38.459
2022-11-01T01:42:00.000000,ftx,ETH/USD,21.233,1581.0,1580.9,0.058
2022-11-01T01:43:00.000000,ftx,ETH/USD,12.441,1580.7,1580.6,39.752
2022-11-01T01:44:00.000000,ftx,ETH/USD,9.356,1580.5,1580.4,4.655
2022-11-01T01:45:00.000000,ftx,ETH/USD,6.35,1580.4,1580.3,222.381
2022-11-01T01:46:00.000000,ftx,ETH/USD,2.878,1580.2,1580.1,78.286
2022-11-01T01:47:00.000000,ftx,ETH/USD,4.963,1579.6,1579.5,38.557
2022-11-01T01:48:00.000000,ftx,ETH/USD,2.136,1580.5,1580.4,19.728
2022-11-01T01:49:00.000000,ftx,ETH/USD,44.692,1580.0,1579.9,14.258
2022-11-01T01:50:00.000000,ftx,ETH/USD,44.682,1579.7,1579.6,6.302
2022-11-01T01:51:00.000000,ftx,ETH/USD,3.587,1578.4,1578.3,14.96
2022-11-01T01:52:00.000000,ftx,ETH/USD,23.536,1580.5,1580.4,21.215
2022-11-01T01:53:00.000000,ftx,ETH/USD,0.955,1580.9,1580.8,49.157
2022-11-01T01:54:00.000000,ftx,ETH/USD,39.953,1580.6,1580.5,4.407
2022-11-01T01:55:00.000000,ftx,ETH/USD,3.693,1580.2,1580.1,29.672
2022-11-01T01:56:00.000000,ftx,ETH/USD,0.002,1579.7,1579.6,133.236
2022-11-01T01:57:00.000000,ftx,ETH/USD,45.333,1579.4,1579.3,12.294
2022-11-01T01:58:00.000000,ftx,ETH/USD,61.634,1579.1,1579.0,0.005
2022-11-01T01:59:00.000000,ftx,ETH/USD,0.053,1581.1,1581.0,77.729
2022-11-01T02:00:00.000000,ftx,ETH/USD,3.211,1580.5,1580.4,57.719
2022-11-01T02:01:00.000000,ftx,ETH/USD,12.815,1582.4,1582.3,12.129
2022-11-01T02:02:00.000000,ftx,ETH/USD,50.394,1581.5,1581.4,10.605
2022-11-01T02:03:00.000000,ftx,ETH/USD,63.581,1579.6,1579.5,0.197
2022-11-01T02:04:00.000000,ftx,ETH/USD,95.312,1579.3,1579.2,0.882
2022-11-01T02:05:00.000000,ftx,ETH/USD,34.613,1581.3,1581.2,7.404
2022-11-01T02:06:00.000000,ftx,ETH/USD,57.329,1581.7,1581.6,0.192
2022-11-01T02:07:00.000000,ftx,ETH/USD,1.15,1581.5,1581.4,9.911
2022-11-01T02:08:00.000000,ftx,ETH/USD,2.634,1581.5,1581.4,10.897
2022-11-01T02:09:00.000000,ftx,ETH/USD,2.159,1580.7,1580.6,53.109
2022-11-01T02:10:00.000000,ftx,ETH/USD,0.511,1581.1,1581.0,67.275
2022-11-01T02:11:00.000000,ftx,ETH/USD,0.154,1580.8,1580.7,10.968
2022-11-01T02:12:00.000000,ftx,ETH/USD,58.077,1580.3,1580.2,0.001
