time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,SOL-PERP,130.0,32.53,32.5275,3.65
2022-11-01T00:01:00.000000,ftx,SOL-PERP,80.0,32.5525,32.5475,361.89
2022-11-01T00:02:00.000000,ftx,SOL-PERP,30.86,32.535,32.5325,205.72
2022-11-01T00:03:00.000000,ftx,SOL-PERP,312.72,32.5725,32.57,32.0
2022-11-01T00:04:00.000000,ftx,SOL-PERP,310.2,32.5925,32.59,17.82
2022-11-01T00:05:00.000000,ftx,SOL-PERP,0.42,32.5525,32.55,89.41
2022-11-01T00:06:00.000000,ftx,SOL-PERP,827.65,32.5425,32.54,81.59
2022-11-01T00:07:00.000000,ftx,SOL-PERP,666.59,32.5225,32.52,0.87
2022-11-01T00:08:00.000000,ftx,SOL-PERP,216.96,32.5625,32.56,312.54
2022-11-01T00:09:00.000000,ftx,SOL-PERP,642.03,32.57,32.5675,4.07
2022-11-01T00:10:00.000000,ftx,SOL-PERP,0.76,32.5825,32.58,440.86
2022-11-01T00:11:00.000000,ftx,SOL-PERP,86.91,32.5625,32.56,83.62
2022-11-01T00:12:00.000000,ftx,SOL-PERP,80.56,32.6475,32.645,30.0
2022-11-01T00:13:00.000000,ftx,SOL-PERP,249.74,32.68,32.6775,41.19
2022-11-01T00:14:00.000000,ftx,SOL-PERP,1.09,32.66,32.6575,220.77
2022-11-01T00:15:00.000000,ftx,SOL-PERP,123.02,32.685,32.68,192.89
2022-11-01T00:16:00.000000,ftx,SOL-PERP,295.19,32.69,32.68,130.95
2022-11-01T00:17:00.000000,ftx,SOL-PERP,277.71,32.685,32.6825,140.79
2022-11-01T00:18:00.000000,ftx,SOL-PERP,62.5,32.6675,32.665,344.1
2022-11-01T00:19:00.000000,ftx,SOL-PERP,19.31,32.6825,32.68,21.38
2022-11-01T00:20:00.000000,ftx,SOL-PERP,46.66,32.725,32.7225,183.81
2022-11-01T00:21:00.000000,ftx,SOL-PERP,82.01,32.735,32.7325,137.22
2022-11-01T00:22:00.000000,ftx,SOL-PERP,80.07,32.735,32.7275,448.69
2022-11-01T00:23:00.000000,ftx,SOL-PERP,28.98,32.71,32.7075,507.26
2022-11-01T00:24:00.000000,ftx,SOL-PERP,951.02,32.6825,32.68,45.0
2022-11-01T00:25:00.000000,ftx,SOL-PERP,206.23,32.64,32.6375,447.09
2022-11-01T00:26:00.000000,ftx,SOL-PERP,157.9,32.635,32.6325,2.99
2022-11-01T00:27:00.000000,ftx,SOL-PERP,2.07,32.6675,32.665,476.39
2022-11-01T00:28:00.000000,ftx,SOL-PERP,12.93,32.645,32.6425,129.01
2022-11-01T00:29:00.000000,ftx,SOL-PERP,19.86,32.6475,32.645,377.84
2022-11-01T00:30:00.000000,ftx,SOL-PERP,350.54,32.6225,32.6175,198.19
2022-11-01T00:31:00.000000,ftx,SOL-PERP,0.08,32.605,32.6025,661.21
2022-11-01T00:32:00.000000,ftx,SOL-PERP,5.27,32.6125,32.61,880.61
2022-11-01T00:33:00.000000,ftx,SOL-PERP,17.95,32.6175,32.615,416.79
2022-11-01T00:34:00.000000,ftx,SOL-PERP,18.49,32.635,32.6325,71.49
2022-11-01T00:35:00.000000,ftx,SOL-PERP,363.81,32.6475,32.645,578.68
2022-11-01T00:36:00.000000,ftx,SOL-PERP,249.23,32.6675,32.665,80.8
2022-11-01T00:37:00.000000,ftx,SOL-PERP,135.74,32.71,32.7075,115.14
2022-11-01T00:38:00.000000,ftx,SOL-PERP,236.28,32.71,32.7025,171.44
2022-11-01T00:39:00.000000,ftx,SOL-PERP,97.72,32.745,32.7425,182.22
2022-11-01T00:40:00.000000,ftx,SOL-PERP,0.15,32.73,32.7275,165.14
2022-11-01T00:41:00.000000,ftx,SOL-PERP,122.76,32.7275,32.7225,195.14
2022-11-01T00:42:00.000000,ftx,SOL-PERP,0.43,32.745,32.7425,125.41
2022-11-01T00:43:00.000000,ftx,SOL-PERP,0.8,32.76,32.7575,274.95
2022-11-01T00:44:00.000000,ftx,SOL-PERP,122.46,32.75,32.7475,309.15
2022-11-01T00:45:00.000000,ftx,SOL-PERP,2.62,32.7525,32.75,251.54
2022-11-01T00:46:00.000000,ftx,SOL-PERP,126.82,32.7075,32.705,89.82
2022-11-01T00:47:00.000000,ftx,SOL-PERP,13.73,32.725,32.7225,221.97
2022-11-01T00:48:00.000000,ftx,SOL-PERP,0.12,32.7175,32.715,209.65
2022-11-01T00:49:00.000000,ftx,SOL-PERP,11.55,32.7475,32.745,975.18
2022-11-01T00:50:00.000000,ftx,SOL-PERP,140.56,32.745,32.7425,80.0
2022-11-01T00:51:00.000000,ftx,SOL-PERP,373.97,32.7425,32.74,3.05
2022-11-01T00:52:00.000000,ftx,SOL-PERP,19.41,32.695,32.6925,449.58
2022-11-01T00:53:00.000000,ftx,SOL-PERP,279.86,32.665,32.6625,8.82
2022-11-01T00:54:00.000000,ftx,SOL-PERP,247.12,32.6825,32.68,0.69
2022-11-01T00:55:00.000000,ftx,SOL-PERP,0.65,32.695,32.6925,301.24
2022-11-01T00:56:00.000000,ftx,SOL-PERP,462.09,32.64,32.6375,4.9
2022-11-01T00:57:00.000000,ftx,SOL-PERP,80.0,32.6325,32.63,321.67
2022-11-01T00:58:00.000000,ftx,SOL-PERP,13.67,32.6625,32.66,119.68
2022-11-01T00:59:00.000000,ftx,SOL-PERP,138.05,32.64,32.6375,192.93
2022-11-01T01:00:00.000000,ftx,SOL-PERP,86.87,32.675,32.6725,152.17
2022-11-01T01:01:00.000000,ftx,SOL-PERP,111.77,32.6625,32.66,80.21
2022-11-01T01:02:00.000000,ftx,SOL-PERP,156.7,32.6425,32.64,6.19
2022-11-01T01:03:00.000000,ftx,SOL-PERP,80.0,32.69,32.6875,130.48
2022-11-01T01:04:00.000000,ftx,SOL-PERP,82.0,32.7075,32.705,139.38
2022-11-01T01:05:00.000000,ftx,SOL-PERP,451.35,32.7075,32.705,0.25
2022-11-01T01:06:00.000000,ftx,SOL-PERP,373.34,32.7225,32.72,3.34
2022-11-01T01:07:00.000000,ftx,SOL-PERP,146.8,32.7125,32.71,233.04
2022-11-01T01:08:00.000000,ftx,SOL-PERP,131.02,32.71,32.7075,436.76
2022-11-01T01:09:00.000000,ftx,SOL-PERP,87.85,32.74,32.7375,180.0
2022-11-01T01:10:00.000000,ftx,SOL-PERP,169.27,32.75,32.7475,124.95
2022-11-01T01:11:00.000000,ftx,SOL-PERP,21.1,32.7575,32.755,85.84
2022-11-01T01:12:00.000000,ftx,SOL-PERP,45.26,32.765,32.7625,82.3
2022-11-01T01:13:00.000000,ftx,SOL-PERP,464.0,32.7575,32.755,2.77
2022-11-01T01:14:00.000000,ftx,SOL-PERP,30.92,32.7575,32.755,81.1
2022-11-01T01:15:00.000000,ftx,SOL-PERP,274.98,32.7425,32.74,4.69
2022-11-01T01:16:00.000000,ftx,SOL-PERP,80.32,32.7575,32.755,195.14
2022-11-01T01:17:00.000000,ftx,SOL-PERP,11.73,32.7375,32.735,203.08
2022-11-01T01:18:00.000000,ftx,SOL-PERP,24.97,32.73,32.7275,572.24
2022-11-01T01:19:00.000000,ftx,SOL-PERP,0.43,32.74,32.7375,646.8
2022-11-01T01:20:00.000000,ftx,SOL-PERP,307.64,32.7475,32.745,89.33
2022-11-01T01:21:00.000000,ftx,SOL-PERP,39.44,32.8,32.7975,258.45
2022-11-01T01:22:00.000000,ftx,SOL-PERP,214.42,32.78,32.7775,563.52
2022-11-01T01:23:00.000000,ftx,SOL-PERP,45.68,32.7725,32.77,45.0
2022-11-01T01:24:00.000000,ftx,SOL-PERP,15.35,32.805,32.8025,466.45
2022-11-01T01:25:00.000000,ftx,SOL-PERP,214.22,32.78,32.7775,6.51
2022-11-01T01:26:00.000000,ftx,SOL-PERP,101.32,32.8,32.7975,182.62
2022-11-01T01:27:00.000000,ftx,SOL-PERP,6.35,32.8225,32.82,748.23
2022-11-01T01:28:00.000000,ftx,SOL-PERP,76.15,32.83,32.8275,80.16
2022-11-01T01:29:00.000000,ftx,SOL-PERP,176.4,32.8275,32.825,1406.68
2022-11-01T01:30:00.000000,ftx,SOL-PERP,111.14,32.8325,32.83,85.18
2022-11-01T01:31:00.000000,ftx,SOL-PERP,367.7,32.87,32.8675,8.34
2022-11-01T01:32:00.000000,ftx,SOL-PERP,80.01,32.85,32.8475,117.94
2022-11-01T01:33:00.000000,ftx,SOL-PERP,183.8,32.8825,32.88,239.52
2022-11-01T01:34:00.000000,ftx,SOL-PERP,264.89,32.8675,32.865,175.18
2022-11-01T01:35:00.000000,ftx,SOL-PERP,182.21,32.86,32.8575,224.36
2022-11-01T01:36:00.000000,ftx,SOL-PERP,298.02,32.8625,32.86,4.13
2022-11-01T01:37:00.000000,ftx,SOL-PERP,1.15,32.855,32.8525,442.18
2022-11-01T01:38:00.000000,ftx,SOL-PERP,146.56,32.8475,32.845,21.43
2022-11-01T01:39:00.000000,ftx,SOL-PERP,319.26,32.835,32.8325,6.01
2022-11-01T01:40:00.000000,ftx,SOL-PERP,3.52,32.8275,32.825,1019.01
2022-11-01T01:41:00.000000,ftx,SOL-PERP,363.72,32.845,32.8425,80.0
2022-11-01T01:42:00.000000,ftx,SOL-PERP,263.81,32.8325,32.83,683.7
2022-11-01T01:43:00.000000,ftx,SOL-PERP,1.22,32.8125,32.81,234.31
2022-11-01T01:44:00.000000,ftx,SOL-PERP,1.03,32.8,32.7975,130.11
