time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
2022-11-01T00:00:00.000000,ftx,SOL/USD,10.0,32.5275,32.525,10.06
2022-11-01T00:01:00.000000,ftx,SOL/USD,145.01,32.55,32.5475,10.0
2022-11-01T00:02:00.000000,ftx,SOL/USD,8.64,32.5325,32.53,75.02
2022-11-01T00:03:00.000000,ftx,SOL/USD,0.02,32.5625,32.56,0.09
2022-11-01T00:04:00.000000,ftx,SOL/USD,0.02,32.58,32.5775,182.82
2022-11-01T00:05:00.000000,ftx,SOL/USD,0.02,32.545,32.5425,65.09
2022-11-01T00:06:00.000000,ftx,SOL/USD,10.03,32.535,32.5325,73.5
2022-11-01T00:07:00.000000,ftx,SOL/USD,72.0,32.5125,32.51,1.56
2022-11-01T00:08:00.000000,ftx,SOL/USD,206.57,32.5575,32.555,6.9
2022-11-01T00:09:00.000000,ftx,SOL/USD,141.18,32.565,32.5625,3.13
2022-11-01T00:10:00.000000,ftx,SOL/USD,0.01,32.57,32.5675,568.48
2022-11-01T00:11:00.000000,ftx,SOL/USD,65.02,32.5575,32.555,0.01
2022-11-01T00:12:00.000000,ftx,SOL/USD,74.99,32.6425,32.6375,13.11
2022-11-01T00:13:00.000000,ftx,SOL/USD,10.05,32.67,32.6675,320.5
2022-11-01T00:14:00.000000,ftx,SOL/USD,0.02,32.6525,32.65,468.73
2022-11-01T00:15:00.000000,ftx,SOL/USD,10.01,32.68,32.675,8.02
2022-11-01T00:16:00.000000,ftx,SOL/USD,10.0,32.675,32.6725,77.35
2022-11-01T00:17:00.000000,ftx,SOL/USD,0.08,32.6725,32.67,75.03
2022-11-01T00:18:00.000000,ftx,SOL/USD,0.08,32.6625,32.66,10.0
2022-11-01T00:19:00.000000,ftx,SOL/USD,229.08,32.6775,32.675,0.1
2022-11-01T00:20:00.000000,ftx,SOL/USD,0.03,32.715,32.7125,112.52
2022-11-01T00:21:00.000000,ftx,SOL/USD,0.02,32.725,32.7225,429.74
