exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
gate-io,FTT_USDT,1667260859600648,2022-11-01T00:00:00.000000,26.073,26.112,1750.505,7183.509,534.5229999999999,2190.517
gate-io,FTT_USDT,1667260919934128,2022-11-01T00:01:00.000000,25.999,26.043,1535.4239999999998,6276.576999999999,560.501380579,1810.367380579
gate-io,FTT_USDT,1667260979564574,2022-11-01T00:02:00.000000,26.001,26.071,1030.939958835,5735.382958835,568.4490000000001,1903.703
gate-io,FTT_USDT,1667261039082942,2022-11-01T00:03:00.000000,26.018,26.045,1029.732651927,6497.036651927,478.59399999999994,1450.851
gate-io,FTT_USDT,1667261098992383,2022-11-01T00:04:00.000000,26.049,26.08,445.12480537500005,5586.475805375,738.173,2095.712
gate-io,FTT_USDT,1667261159050426,2022-11-01T00:05:00.000000,26.027,26.041,1649.53,6400.125000000001,612.0099999999999,1894.149
gate-io,FTT_USDT,1667261219552984,2022-11-01T00:06:00.000000,26.013,26.038,979.022,6435.052,576.162,2163.509
gate-io,FTT_USDT,1667261279539334,2022-11-01T00:07:00.000000,26.029,26.043,2404.393,6318.996,657.6686009379999,2249.755600938
gate-io,FTT_USDT,1667261339065424,2022-11-01T00:08:00.000000,26.024,26.075,958.925,6466.148,395.59999999999997,1984.3049999999998
gate-io,FTT_USDT,1667261399595438,2022-11-01T00:09:00.000000,26.041,26.075,1005.0550000000001,6237.056,633.765,2349.558
gate-io,FTT_USDT,1667261459539320,2022-11-01T00:10:00.000000,26.047,26.103,1106.0580000000002,5664.115,912.704,2362.336
gate-io,FTT_USDT,1667261519602459,2022-11-01T00:11:00.000000,26.059,26.08,1596.227,6188.654,335.59000000000003,1900.7989999999998
gate-io,FTT_USDT,1667261579538965,2022-11-01T00:12:00.000000,26.088,26.149,1116.6070000000002,5311.991999999999,500.298784505,2183.338784505
gate-io,FTT_USDT,1667261639518341,2022-11-01T00:13:00.000000,26.1,26.14,1079.0790000000002,5643.286000000001,357.88878450500005,1915.530784505
gate-io,FTT_USDT,1667261699529193,2022-11-01T00:14:00.000000,26.06,26.128,2291.792,6278.963999999999,376.1927610980001,1951.2787610980004
gate-io,FTT_USDT,1667261759505192,2022-11-01T00:15:00.000000,26.054,26.119,2445.616,6432.802999999999,403.39776109800005,1956.0837610980002
gate-io,FTT_USDT,1667261819550712,2022-11-01T00:16:00.000000,26.068,26.119,1600.831383218,5503.340383218,624.746,2317.303
gate-io,FTT_USDT,1667261877554193,2022-11-01T00:17:00.000000,26.054,26.101,2456.2905236640004,6445.759523664001,403.22099999999995,2098.8809999999994
gate-io,FTT_USDT,1667261939545198,2022-11-01T00:18:00.000000,26.033,26.091,2355.974,6347.73,508.07000000000005,2201.971
gate-io,FTT_USDT,1667261999516385,2022-11-01T00:19:00.000000,26.033,26.097,1896.4759999999999,6330.945,523.605,2204.679
gate-io,FTT_USDT,1667262059510513,2022-11-01T00:20:00.000000,26.062,26.109,949.619135643,5368.925135643,767.949,2202.0739999999996
gate-io,FTT_USDT,1667262119020310,2022-11-01T00:21:00.000000,26.048,26.101,2118.5550000000003,6106.795,496.51800000000003,1813.2640000000001
gate-io,FTT_USDT,1667262178535161,2022-11-01T00:22:00.000000,26.038,26.097,1469.602,6154.729,457.685978978,1761.3579789780001
gate-io,FTT_USDT,1667262237051121,2022-11-01T00:23:00.000000,26.04,26.091,1448.778,6133.892,288.713978978,1757.221978978
gate-io,FTT_USDT,1667262299054405,2022-11-01T00:24:00.000000,26.015,26.08,2201.9469999999997,6156.151,531.408,1852.0230000000001
gate-io,FTT_USDT,1667262359566916,2022-11-01T00:25:00.000000,25.992,26.051,2466.0789999999997,5621.716,440.99399999999997,1775.462
gate-io,FTT_USDT,1667262419506816,2022-11-01T00:26:00.000000,25.994,26.051,1772.2269999999999,5801.585,406.72600000000006,1898.8509999999997
gate-io,FTT_USDT,1667262479543872,2022-11-01T00:27:00.000000,26.007,26.054,916.513,5608.9400000000005,338.99500000000006,2174.4519999999998
gate-io,FTT_USDT,1667262539035146,2022-11-01T00:28:00.000000,25.992,26.035,1608.7150000000001,5646.062,483.47400000000005,2519.68
gate-io,FTT_USDT,1667262598520701,2022-11-01T00:29:00.000000,25.978,26.035,2464.782184223,5663.335184223,453.995,2494.1839999999993
gate-io,FTT_USDT,1667262659517063,2022-11-01T00:30:00.000000,25.979,26.039,1696.498,5729.655000000001,305.54845391400005,1829.3434539139998
gate-io,FTT_USDT,1667262719604563,2022-11-01T00:31:00.000000,25.977,26.035,1058.2060000000001,5759.245,318.38345391400003,2092.3094539140006
gate-io,FTT_USDT,1667262779562622,2022-11-01T00:32:00.000000,25.979,26.035,1053.149184223,5746.623184223,314.881453914,2078.094453914
gate-io,FTT_USDT,1667262836019851,2022-11-01T00:33:00.000000,25.988,26.035,1221.8239529409998,5254.957952941,285.233453914,2054.8784539139997
gate-io,FTT_USDT,1667262899998787,2022-11-01T00:34:00.000000,26.01,26.072,1070.0429529409998,5712.647952941,521.754,2479.5870000000004
gate-io,FTT_USDT,1667262959532155,2022-11-01T00:35:00.000000,26.011,26.069,951.9729529409999,5355.713952941,991.018,2448.1029999999996
gate-io,FTT_USDT,1667263019571129,2022-11-01T00:36:00.000000,26.044,26.07,1115.7399529409997,5521.210952941,725.927,2492.3330000000005
gate-io,FTT_USDT,1667263079523892,2022-11-01T00:37:00.000000,26.054,26.114,1197.781,5668.968952941,806.5960000000001,2290.3139999999994
gate-io,FTT_USDT,1667263139516264,2022-11-01T00:38:00.000000,26.043,26.111,1508.5109529410004,5272.687952941001,1267.9779999999998,2122.908
gate-io,FTT_USDT,1667263198884835,2022-11-01T00:39:00.000000,26.059,26.104,1416.299,5202.236,1117.856,1972.7859999999996
gate-io,FTT_USDT,1667263259892134,2022-11-01T00:40:00.000000,26.061,26.104,1584.1720648040002,5348.349064804001,1511.871,2328.6579999999994
