exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
okex-swap,ETH-USDT-SWAP,1667260859985000,2022-11-01T00:00:00.000000,1570.94,1570.95,1594.0,2476.0,1103.0,2773.0
okex-swap,ETH-USDT-SWAP,1667260919995000,2022-11-01T00:01:00.000000,1570.57,1570.58,1352.0,2098.0,1955.0,2978.0
okex-swap,ETH-USDT-SWAP,1667260979995000,2022-11-01T00:02:00.000000,1570.39,1570.4,385.0,1968.0,1524.0,2614.0
okex-swap,ETH-USDT-SWAP,1667261039995000,2022-11-01T00:03:00.000000,1572.06,1572.07,1331.0,3332.0,1934.0,3272.0
okex-swap,ETH-USDT-SWAP,1667261099995000,2022-11-01T00:04:00.000000,1572.51,1572.52,1165.0,2652.0,1306.0,3149.0
okex-swap,ETH-USDT-SWAP,1667261159995000,2022-11-01T00:05:00.000000,1570.5,1570.51,1719.0,4462.0,529.0,2593.0
okex-swap,ETH-USDT-SWAP,1667261219995000,2022-11-01T00:06:00.000000,1569.92,1569.93,2171.0,3532.0,766.0,3677.0
okex-swap,ETH-USDT-SWAP,1667261279995000,2022-11-01T00:07:00.000000,1569.51,1569.52,1214.0,3606.0,4387.0,6838.0
okex-swap,ETH-USDT-SWAP,1667261339925000,2022-11-01T00:08:00.000000,1570.81,1570.82,689.0,3110.0,2986.0,4479.0
okex-swap,ETH-USDT-SWAP,1667261399995000,2022-11-01T00:09:00.000000,1571.21,1571.22,759.0,3017.0,5332.0,6498.0
okex-swap,ETH-USDT-SWAP,1667261459955000,2022-11-01T00:10:00.000000,1571.99,1572.0,7271.0,9094.0,588.0,3593.0
okex-swap,ETH-USDT-SWAP,1667261519985000,2022-11-01T00:11:00.000000,1571.01,1571.02,922.0,3573.0,814.0,2294.0
okex-swap,ETH-USDT-SWAP,1667261579995000,2022-11-01T00:12:00.000000,1574.73,1574.74,266.0,2232.0,1646.0,5358.0
okex-swap,ETH-USDT-SWAP,1667261639995000,2022-11-01T00:13:00.000000,1574.89,1574.9,860.0,3120.0,1073.0,2885.0
okex-swap,ETH-USDT-SWAP,1667261699995000,2022-11-01T00:14:00.000000,1573.82,1573.83,1842.0,4473.0,10317.0,13044.0
okex-swap,ETH-USDT-SWAP,1667261759990000,2022-11-01T00:15:00.000000,1573.91,1573.92,921.0,3390.0,1925.0,4873.0
okex-swap,ETH-USDT-SWAP,1667261819970000,2022-11-01T00:16:00.000000,1574.12,1574.13,1622.0,3474.0,1792.0,4165.0
okex-swap,ETH-USDT-SWAP,1667261879990000,2022-11-01T00:17:00.000000,1574.06,1574.07,1487.0,3365.0,3278.0,5587.0
