exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
okex,SOL-USDT,1667260859898000,2022-11-01T00:00:00.000000,32.52,32.53,4740.264,15108.120482000002,5385.932315,8112.4934299999995
okex,SOL-USDT,1667260919928000,2022-11-01T00:01:00.000000,32.54,32.55,5108.481897,9839.547219999999,5935.084904,10248.676203
okex,SOL-USDT,1667260979998000,2022-11-01T00:02:00.000000,32.53,32.54,6067.781864000001,11859.366609000004,7696.862963,10395.229083000004
okex,SOL-USDT,1667261039988000,2022-11-01T00:03:00.000000,32.56,32.57,6078.496147,12050.364828999998,6623.709938,10643.965316000002
okex,SOL-USDT,1667261099948000,2022-11-01T00:04:00.000000,32.57,32.58,7237.287378000001,12667.768367000004,4646.737891000001,9528.79741
okex,SOL-USDT,1667261159968000,2022-11-01T00:05:00.000000,32.54,32.55,6117.853282,17015.307454,6406.821302000001,10643.859094
okex,SOL-USDT,1667261219918000,2022-11-01T00:06:00.000000,32.53,32.54,5728.083320000001,16722.263777,6562.5239870000005,9204.451691
okex,SOL-USDT,1667261279998000,2022-11-01T00:07:00.000000,32.51,32.52,6473.818586,16528.234362000003,6990.84656,10311.355162000002
okex,SOL-USDT,1667261339998000,2022-11-01T00:08:00.000000,32.56,32.57,5905.004126000001,12025.185711,7042.125218,11417.381175000002
okex,SOL-USDT,1667261399468000,2022-11-01T00:09:00.000000,32.56,32.57,5659.234864,11769.088238,6659.214864,11490.754353
okex,SOL-USDT,1667261459988000,2022-11-01T00:10:00.000000,32.57,32.58,6248.488950000001,12243.43582,6759.4993890000005,10634.464270000002
okex,SOL-USDT,1667261519978000,2022-11-01T00:11:00.000000,32.55,32.56,5756.793734,11747.950074000002,5769.276545,10215.612386999997
okex,SOL-USDT,1667261579948000,2022-11-01T00:12:00.000000,32.63,32.64,6305.780695,10017.309933,5401.113744,15079.298198000002
okex,SOL-USDT,1667261639998000,2022-11-01T00:13:00.000000,32.66,32.67,6193.291279,10163.86875,5479.447955,14476.746321999999
okex,SOL-USDT,1667261699898000,2022-11-01T00:14:00.000000,32.65,32.66,5879.299916999999,11012.857355000002,6126.494998,16031.044164
okex,SOL-USDT,1667261759998000,2022-11-01T00:15:00.000000,32.66,32.67,6476.415925,12387.161909000002,5209.400373,15060.347977999998
okex,SOL-USDT,1667261819958000,2022-11-01T00:16:00.000000,32.67,32.68,6437.194825999999,11819.640081999998,5552.504642,15707.587721
okex,SOL-USDT,1667261879990000,2022-11-01T00:17:00.000000,32.66,32.67,6572.918227,12307.152482,5724.081003,10206.627397
okex,SOL-USDT,1667261939980000,2022-11-01T00:18:00.000000,32.66,32.67,5770.2682,11821.46413,6851.2148050000005,11336.686368000002
okex,SOL-USDT,1667261999950000,2022-11-01T00:19:00.000000,32.67,32.68,5653.623353999999,11511.124060999999,6485.007866,11591.624853000001
okex,SOL-USDT,1667262059960000,2022-11-01T00:20:00.000000,32.71,32.72,5779.153131,10210.409006000002,6697.432118000001,15187.566161000002
okex,SOL-USDT,1667262119850000,2022-11-01T00:21:00.000000,32.71,32.72,6711.337269,11994.714336999998,5140.068379,15157.540359
okex,SOL-USDT,1667262179950000,2022-11-01T00:22:00.000000,32.71,32.72,6754.811754,12107.321039999999,5674.954907,10213.173455
okex,SOL-USDT,1667262239970000,2022-11-01T00:23:00.000000,32.69,32.7,6883.257774,16960.581599,5085.781955,10084.570773
okex,SOL-USDT,1667262299910000,2022-11-01T00:24:00.000000,32.67,32.68,5573.764419000001,11050.91522,6101.318812000001,9396.088495999998
okex,SOL-USDT,1667262359980000,2022-11-01T00:25:00.000000,32.63,32.64,6145.316940000001,16172.188897000002,5904.288915,11365.616677
okex,SOL-USDT,1667262419960000,2022-11-01T00:26:00.000000,32.61,32.62,7255.935704,18300.04071,5454.2758460000005,10751.719223000002
okex,SOL-USDT,1667262479990000,2022-11-01T00:27:00.000000,32.65,32.66,5852.8340579999995,16716.442811,6617.941896,10736.318685000002
okex,SOL-USDT,1667262539940000,2022-11-01T00:28:00.000000,32.63,32.64,6086.693138999999,11822.064279,6116.837157,10816.487885
okex,SOL-USDT,1667262599960000,2022-11-01T00:29:00.000000,32.63,32.64,6099.68969,11777.058150000003,5135.03581,10262.082029000001
okex,SOL-USDT,1667262659970000,2022-11-01T00:30:00.000000,32.61,32.62,6392.526239,17603.407000000003,6234.893284000001,11333.535005000002
okex,SOL-USDT,1667262719980000,2022-11-01T00:31:00.000000,32.6,32.61,5827.675795,9687.949593000001,6285.498111999999,8879.828072999999
okex,SOL-USDT,1667262779920000,2022-11-01T00:32:00.000000,32.59,32.6,6098.507789999999,9682.638731000001,5357.612916,8702.708711
okex,SOL-USDT,1667262839980000,2022-11-01T00:33:00.000000,32.6,32.61,5811.467482,9597.286471000001,6553.030595000001,9050.517849000002
okex,SOL-USDT,1667262899990000,2022-11-01T00:34:00.000000,32.62,32.63,5011.928978000001,8828.755004,5864.301197000001,8417.623191000002
okex,SOL-USDT,1667262959970000,2022-11-01T00:35:00.000000,32.64,32.65,3903.451286,8640.565754000001,7314.241180999999,10127.046733000001
okex,SOL-USDT,1667263019980000,2022-11-01T00:36:00.000000,32.65,32.66,4260.36022,8717.963277,5991.086673,8874.614186999997
okex,SOL-USDT,1667263079990000,2022-11-01T00:37:00.000000,32.7,32.71,5017.75058,8316.345471,5647.571537,8760.708575000002
okex,SOL-USDT,1667263139980000,2022-11-01T00:38:00.000000,32.7,32.71,5079.478330999999,8627.445474999999,6327.457848,9269.489377
okex,SOL-USDT,1667263199970000,2022-11-01T00:39:00.000000,32.73,32.74,5057.90651,8613.470053,6162.963876000001,8490.158370000001
okex,SOL-USDT,1667263259980000,2022-11-01T00:40:00.000000,32.71,32.72,5446.797537,8877.13304,5324.016367,8595.36555
okex,SOL-USDT,1667263319540000,2022-11-01T00:41:00.000000,32.71,32.72,5215.6956660000005,8600.234896,5218.535967,8775.879157999998
okex,SOL-USDT,1667263379970000,2022-11-01T00:42:00.000000,32.73,32.74,6317.557119,8876.647719999999,5974.472837,9050.130405999998
okex,SOL-USDT,1667263439990000,2022-11-01T00:43:00.000000,32.74,32.75,6032.9295839999995,9233.968281,5014.586354,8219.627541999997
okex,SOL-USDT,1667263499890000,2022-11-01T00:44:00.000000,32.75,32.76,5377.931478999999,10335.962856999999,7015.711647,11164.529136000001
okex,SOL-USDT,1667263559850000,2022-11-01T00:45:00.000000,32.74,32.75,5989.868397000001,10687.420323,5280.084152999999,9950.707032999999
okex,SOL-USDT,1667263619980000,2022-11-01T00:46:00.000000,32.7,32.71,5313.092279,15064.282557,5910.935181,10781.214327999998
okex,SOL-USDT,1667263679930000,2022-11-01T00:47:00.000000,32.72,32.73,5203.418196999999,10175.658140999998,5553.197767,10624.755974999998
okex,SOL-USDT,1667263739950000,2022-11-01T00:48:00.000000,32.71,32.72,5526.296103000001,15286.471245,6719.469321999999,10748.238734999997
okex,SOL-USDT,1667263799970000,2022-11-01T00:49:00.000000,32.74,32.75,5088.7391210000005,10324.395193999999,6820.140683,11061.891262000001
okex,SOL-USDT,1667263859890000,2022-11-01T00:50:00.000000,32.73,32.74,6229.653926999999,12118.841514000002,5946.836287,10423.719439
okex,SOL-USDT,1667263919980000,2022-11-01T00:51:00.000000,32.74,32.75,4565.967229000001,11280.799229,7305.522796,11126.185963
okex,SOL-USDT,1667263979960000,2022-11-01T00:52:00.000000,32.69,32.7,5257.3202009999995,16261.062973,6601.182018,11025.989654000003
okex,SOL-USDT,1667264039970000,2022-11-01T00:53:00.000000,32.66,32.67,5892.321577,10315.642733,7040.305799000001,9763.985984000003
okex,SOL-USDT,1667264099900000,2022-11-01T00:54:00.000000,32.67,32.68,5304.127495999999,10955.941391999999,6243.0316729999995,8956.755780999998
okex,SOL-USDT,1667264159980000,2022-11-01T00:55:00.000000,32.68,32.69,6059.080293,11112.191469000001,5393.186786,10376.520184999998
okex,SOL-USDT,1667264219980000,2022-11-01T00:56:00.000000,32.63,32.64,5499.9188890000005,11802.100639000002,7687.321979,10491.141159000003
okex,SOL-USDT,1667264279950000,2022-11-01T00:57:00.000000,32.62,32.63,5911.124806,16982.964416000003,5691.010423,10169.171264000002
okex,SOL-USDT,1667264339960000,2022-11-01T00:58:00.000000,32.65,32.66,6673.061045,10948.601218000002,6703.868691999998,10248.505012
okex,SOL-USDT,1667264399260000,2022-11-01T00:59:00.000000,32.64,32.65,5579.430087000001,11540.288964,6509.940833000001,10512.262539
okex,SOL-USDT,1667264459920000,2022-11-01T01:00:00.000000,32.67,32.68,5402.418353999999,9533.453246000001,6392.438801,15517.148185999999
okex,SOL-USDT,1667264519900000,2022-11-01T01:01:00.000000,32.65,32.66,7381.988398000001,12148.846274000001,5656.364836000001,10505.389026000003
okex,SOL-USDT,1667264579980000,2022-11-01T01:02:00.000000,32.64,32.65,6222.994687,11612.819056000002,5814.2676360000005,10687.460718000002
okex,SOL-USDT,1667264639910000,2022-11-01T01:03:00.000000,32.68,32.69,6289.601252,9945.649581000001,5953.623243000001,15260.308847
okex,SOL-USDT,1667264699960000,2022-11-01T01:04:00.000000,32.7,32.71,6207.73646,9503.401952000002,5688.658662,15193.742595
okex,SOL-USDT,1667264759990000,2022-11-01T01:05:00.000000,32.7,32.71,5920.662822,10541.944288000002,6101.519313000002,15664.858282000001
okex,SOL-USDT,1667264819830000,2022-11-01T01:06:00.000000,32.7,32.71,7137.706116,11717.650510000001,5173.57698,9986.119896999999
