,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance-futures,ETHUSDT,1667260859972000,2022-11-01T00:00:00.000000,1570.39,1570.4,93.418,686.77,14.284,212.791
1,binance-futures,ETHUSDT,1667260919976000,2022-11-01T00:01:00.000000,1570.0,1570.01,181.451,366.02,105.81900000000002,233.669
2,binance-futures,ETHUSDT,1667260979977000,2022-11-01T00:02:00.000000,1569.85,1569.86,46.084,128.39,152.158,336.389
3,binance-futures,ETHUSDT,1667261039969000,2022-11-01T00:03:00.000000,1571.52,1571.53,11.104,210.83,200.64400000000003,443.1070000000001
4,binance-futures,ETHUSDT,1667261099997000,2022-11-01T00:04:00.000000,1572.04,1572.05,25.386,196.18000000000004,223.50599999999997,390.8959999999999
5,binance-futures,ETHUSDT,1667261159991000,2022-11-01T00:05:00.000000,1569.79,1569.8,333.515,591.4060000000001,51.218,182.55
6,binance-futures,ETHUSDT,1667261219974000,2022-11-01T00:06:00.000000,1569.14,1569.15,265.845,3036.1950000000006,147.938,284.46
7,binance-futures,ETHUSDT,1667261279976000,2022-11-01T00:07:00.000000,1568.67,1568.68,43.085,271.559,187.552,434.1420000000001
8,binance-futures,ETHUSDT,1667261339988000,2022-11-01T00:08:00.000000,1570.18,1570.19,723.457,873.4849999999998,140.485,189.3640000000001
9,binance-futures,ETHUSDT,1667261399980000,2022-11-01T00:09:00.000000,1570.45,1570.46,73.723,236.267,189.835,329.344
10,binance-futures,ETHUSDT,1667261459973000,2022-11-01T00:10:00.000000,1571.48,1571.49,234.78400000000005,340.93300000000005,20.540000000000003,179.18
11,binance-futures,ETHUSDT,1667261519969000,2022-11-01T00:11:00.000000,1570.47,1570.48,74.917,165.68600000000004,65.059,225.822
12,binance-futures,ETHUSDT,1667261579992000,2022-11-01T00:12:00.000000,1574.37,1574.38,69.027,182.848,175.24499999999998,422.7999999999999
13,binance-futures,ETHUSDT,1667261639977000,2022-11-01T00:13:00.000000,1574.36,1574.37,18.729,1778.1079999999995,194.80399999999997,332.979
14,binance-futures,ETHUSDT,1667261699980000,2022-11-01T00:14:00.000000,1573.18,1573.19,215.549,1031.7720000000002,23.65,133.529
15,binance-futures,ETHUSDT,1667261759978000,2022-11-01T00:15:00.000000,1573.24,1573.25,93.916,1163.95,130.164,278.54
16,binance-futures,ETHUSDT,1667261819989000,2022-11-01T00:16:00.000000,1573.37,1573.38,94.358,216.604,19.292,166.327
17,binance-futures,ETHUSDT,1667261879994000,2022-11-01T00:17:00.000000,1573.39,1573.4,23.024,210.459,335.434,551.0350000000001
18,binance-futures,ETHUSDT,1667261939986000,2022-11-01T00:18:00.000000,1572.19,1572.2,1411.497,1497.7150000000006,134.244,285.76000000000005
19,binance-futures,ETHUSDT,1667261999995000,2022-11-01T00:19:00.000000,1572.21,1572.22,1259.097,1312.419,325.6340000000001,457.40900000000016
20,binance-futures,ETHUSDT,1667262059950000,2022-11-01T00:20:00.000000,1573.75,1573.76,251.154,556.0070000000001,51.68900000000001,141.24700000000004
21,binance-futures,ETHUSDT,1667262119965000,2022-11-01T00:21:00.000000,1572.95,1572.96,25.903,197.074,187.306,290.241
22,binance-futures,ETHUSDT,1667262179975000,2022-11-01T00:22:00.000000,1573.38,1573.39,154.062,373.102,232.182,310.72400000000005
23,binance-futures,ETHUSDT,1667262239990000,2022-11-01T00:23:00.000000,1572.58,1572.59,218.957,410.136,56.474,143.16099999999997
24,binance-futures,ETHUSDT,1667262299979000,2022-11-01T00:24:00.000000,1571.04,1571.05,65.12599999999999,133.411,115.854,309.549
25,binance-futures,ETHUSDT,1667262359997000,2022-11-01T00:25:00.000000,1570.0,1570.01,121.117,367.902,256.689,366.946
26,binance-futures,ETHUSDT,1667262419989000,2022-11-01T00:26:00.000000,1570.12,1570.13,1130.592,1261.906,104.071,217.65000000000003
27,binance-futures,ETHUSDT,1667262479978000,2022-11-01T00:27:00.000000,1571.18,1571.19,1139.02,1325.9689999999996,95.704,176.888
28,binance-futures,ETHUSDT,1667262539976000,2022-11-01T00:28:00.000000,1570.93,1570.94,287.65500000000003,536.9200000000001,48.20399999999999,103.983
29,binance-futures,ETHUSDT,1667262599999000,2022-11-01T00:29:00.000000,1570.0,1570.01,172.829,406.03,183.341,320.511
30,binance-futures,ETHUSDT,1667262659982000,2022-11-01T00:30:00.000000,1569.2,1569.21,51.754,335.618,451.673,585.3059999999999
31,binance-futures,ETHUSDT,1667262719992000,2022-11-01T00:31:00.000000,1569.59,1569.6,79.047,250.87099999999995,83.65800000000002,200.463
32,binance-futures,ETHUSDT,1667262779997000,2022-11-01T00:32:00.000000,1569.78,1569.79,38.173,271.839,111.269,827.425
33,binance-futures,ETHUSDT,1667262839967000,2022-11-01T00:33:00.000000,1569.81,1569.82,81.39,230.903,159.853,518.9770000000001
34,binance-futures,ETHUSDT,1667262899974000,2022-11-01T00:34:00.000000,1569.77,1569.78,90.764,343.17,197.983,316.13499999999993
35,binance-futures,ETHUSDT,1667262959984000,2022-11-01T00:35:00.000000,1570.51,1570.52,50.429,129.24999999999997,129.35,221.587
36,binance-futures,ETHUSDT,1667263019977000,2022-11-01T00:36:00.000000,1571.02,1571.03,152.21200000000002,303.664,17.685000000000002,393.82
37,binance-futures,ETHUSDT,1667263079982000,2022-11-01T00:37:00.000000,1572.19,1572.2,38.178,164.08699999999996,196.737,445.80099999999993
38,binance-futures,ETHUSDT,1667263139969000,2022-11-01T00:38:00.000000,1572.94,1572.95,140.661,321.275,20.947,125.216
39,binance-futures,ETHUSDT,1667263199988000,2022-11-01T00:39:00.000000,1573.52,1573.53,155.952,322.437,79.327,242.156
40,binance-futures,ETHUSDT,1667263259973000,2022-11-01T00:40:00.000000,1573.04,1573.05,137.24400000000003,510.552,35.797999999999995,141.66500000000002
41,binance-futures,ETHUSDT,1667263319930000,2022-11-01T00:41:00.000000,1572.29,1572.3,57.056,315.58700000000005,200.709,275.00699999999995
42,binance-futures,ETHUSDT,1667263379977000,2022-11-01T00:42:00.000000,1572.89,1572.9,38.143,220.636,120.68099999999998,300.829
43,binance-futures,ETHUSDT,1667263439983000,2022-11-01T00:43:00.000000,1572.76,1572.77,185.485,330.367,46.044,188.954
44,binance-futures,ETHUSDT,1667263499995000,2022-11-01T00:44:00.000000,1572.12,1572.13,107.69100000000002,323.54600000000005,163.684,345.472
45,binance-futures,ETHUSDT,1667263559995000,2022-11-01T00:45:00.000000,1572.19,1572.2,483.434,647.058,81.694,297.992
46,binance-futures,ETHUSDT,1667263619998000,2022-11-01T00:46:00.000000,1571.84,1571.85,65.492,225.39799999999997,199.618,332.43
47,binance-futures,ETHUSDT,1667263679981000,2022-11-01T00:47:00.000000,1572.2,1572.21,128.872,194.881,112.319,345.68800000000005
48,binance-futures,ETHUSDT,1667263739936000,2022-11-01T00:48:00.000000,1570.67,1570.68,164.836,370.616,164.86299999999997,273.78799999999995
49,binance-futures,ETHUSDT,1667263799991000,2022-11-01T00:49:00.000000,1570.4,1570.41,87.78900000000002,304.36,261.194,428.583
50,binance-futures,ETHUSDT,1667263859993000,2022-11-01T00:50:00.000000,1570.88,1570.89,95.025,285.9899999999999,333.91,516.839
51,binance-futures,ETHUSDT,1667263919934000,2022-11-01T00:51:00.000000,1570.68,1570.69,59.246,310.435,425.668,509.59
52,binance-futures,ETHUSDT,1667263979989000,2022-11-01T00:52:00.000000,1569.79,1569.8,180.776,314.15599999999995,112.36,387.174
53,binance-futures,ETHUSDT,1667264039975000,2022-11-01T00:53:00.000000,1569.31,1569.32,238.26200000000003,305.9700000000001,228.979,425.362
54,binance-futures,ETHUSDT,1667264099968000,2022-11-01T00:54:00.000000,1570.28,1570.29,64.61999999999999,294.714,254.074,381.265
55,binance-futures,ETHUSDT,1667264159983000,2022-11-01T00:55:00.000000,1570.27,1570.28,41.07,218.629,308.646,467.777
56,binance-futures,ETHUSDT,1667264219980000,2022-11-01T00:56:00.000000,1569.0,1569.01,1203.511,1361.269,345.9630000000001,483.549
57,binance-futures,ETHUSDT,1667264279995000,2022-11-01T00:57:00.000000,1569.41,1569.42,139.745,2453.428000000001,350.0559999999999,518.6059999999998
58,binance-futures,ETHUSDT,1667264339949000,2022-11-01T00:58:00.000000,1569.98,1569.99,93.497,153.05700000000004,76.298,239.979
59,binance-futures,ETHUSDT,1667264399988000,2022-11-01T00:59:00.000000,1569.41,1569.42,63.656000000000006,406.128,156.895,483.4540000000001
60,binance-futures,ETHUSDT,1667264459978000,2022-11-01T01:00:00.000000,1570.22,1570.23,44.808,219.163,184.121,460.674
61,binance-futures,ETHUSDT,1667264519940000,2022-11-01T01:01:00.000000,1569.32,1569.33,121.19799999999998,328.641,30.369,150.934
62,binance-futures,ETHUSDT,1667264579969000,2022-11-01T01:02:00.000000,1569.0,1569.01,1468.7019999999998,1643.9349999999995,284.755,402.349
63,binance-futures,ETHUSDT,1667264639975000,2022-11-01T01:03:00.000000,1570.18,1570.19,156.995,243.32199999999995,72.081,191.57200000000003
64,binance-futures,ETHUSDT,1667264699970000,2022-11-01T01:04:00.000000,1570.2,1570.21,56.58899999999999,287.285,104.563,272.434
65,binance-futures,ETHUSDT,1667264759982000,2022-11-01T01:05:00.000000,1570.55,1570.56,281.1,458.471,755.408,972.41
66,binance-futures,ETHUSDT,1667264819951000,2022-11-01T01:06:00.000000,1570.44,1570.45,71.419,310.62800000000004,81.482,154.89200000000002
67,binance-futures,ETHUSDT,1667264879992000,2022-11-01T01:07:00.000000,1570.35,1570.36,191.305,331.23599999999993,106.779,247.26799999999997
68,binance-futures,ETHUSDT,1667264939975000,2022-11-01T01:08:00.000000,1569.71,1569.72,158.469,478.788,35.18599999999999,181.481
69,binance-futures,ETHUSDT,1667264999978000,2022-11-01T01:09:00.000000,1570.48,1570.49,42.98499999999999,244.207,162.282,323.586
