,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance-futures,FTTUSDT,1667260859933000,2022-11-01T00:00:00.000000,26.074,26.075,262.79999999999995,676.3,213.3,711.1
1,binance-futures,FTTUSDT,1667260919995000,2022-11-01T00:01:00.000000,25.991,25.993,486.2,1533.8999999999996,2061.0,2502.3
2,binance-futures,FTTUSDT,1667260979971000,2022-11-01T00:02:00.000000,26.019,26.02,149.60000000000002,1026.4,225.6,638.2
3,binance-futures,FTTUSDT,1667261039988000,2022-11-01T00:03:00.000000,26.017,26.018,195.0,838.8000000000002,270.40000000000003,794.0
4,binance-futures,FTTUSDT,1667261099959000,2022-11-01T00:04:00.000000,26.044,26.048,160.6,460.2000000000001,129.79999999999998,1031.4
5,binance-futures,FTTUSDT,1667261159991000,2022-11-01T00:05:00.000000,26.006,26.007,318.1,1164.2,198.0,829.5
6,binance-futures,FTTUSDT,1667261219207000,2022-11-01T00:06:00.000000,26.001,26.002,505.8,948.0,155.70000000000002,771.8
7,binance-futures,FTTUSDT,1667261279856000,2022-11-01T00:07:00.000000,25.986,25.987,454.0999999999999,1325.0,205.7,458.5
8,binance-futures,FTTUSDT,1667261339669000,2022-11-01T00:08:00.000000,26.026,26.027,190.3,818.9,519.8999999999999,992.3
9,binance-futures,FTTUSDT,1667261399368000,2022-11-01T00:09:00.000000,26.033,26.034,449.6,995.4,254.2,1181.8000000000002
10,binance-futures,FTTUSDT,1667261459937000,2022-11-01T00:10:00.000000,26.046,26.047,263.9,1305.7,119.1,719.6000000000001
11,binance-futures,FTTUSDT,1667261519972000,2022-11-01T00:11:00.000000,26.027,26.03,220.8,1180.0,252.1,569.0999999999999
12,binance-futures,FTTUSDT,1667261579992000,2022-11-01T00:12:00.000000,26.082,26.086,133.9,701.4000000000001,368.9,739.4
13,binance-futures,FTTUSDT,1667261639979000,2022-11-01T00:13:00.000000,26.09,26.091,261.29999999999995,826.3999999999999,182.6,693.1999999999999
14,binance-futures,FTTUSDT,1667261699858000,2022-11-01T00:14:00.000000,26.065,26.066,534.9999999999999,933.3,248.7,524.6999999999999
15,binance-futures,FTTUSDT,1667261759926000,2022-11-01T00:15:00.000000,26.063,26.066,333.79999999999995,1055.4999999999998,143.0,466.9
16,binance-futures,FTTUSDT,1667261819928000,2022-11-01T00:16:00.000000,26.078,26.079,243.4,1157.9999999999998,314.5,601.1
17,binance-futures,FTTUSDT,1667261879858000,2022-11-01T00:17:00.000000,26.078,26.079,214.0,739.0999999999999,233.3,666.0000000000001
18,binance-futures,FTTUSDT,1667261939796000,2022-11-01T00:18:00.000000,26.042,26.043,715.1,1492.2999999999995,201.7,611.1
19,binance-futures,FTTUSDT,1667261999758000,2022-11-01T00:19:00.000000,26.042,26.043,234.8,1087.9,245.2,679.0
20,binance-futures,FTTUSDT,1667262059992000,2022-11-01T00:20:00.000000,26.059,26.06,140.20000000000002,728.6,262.5,775.6999999999999
21,binance-futures,FTTUSDT,1667262119556000,2022-11-01T00:21:00.000000,26.039,26.04,346.6,1050.4,207.2,499.6
22,binance-futures,FTTUSDT,1667262179955000,2022-11-01T00:22:00.000000,26.041,26.042,207.7,1153.6,259.7,722.1
23,binance-futures,FTTUSDT,1667262239849000,2022-11-01T00:23:00.000000,26.033,26.036,551.6,1665.2000000000005,141.1,704.8000000000001
24,binance-futures,FTTUSDT,1667262299699000,2022-11-01T00:24:00.000000,26.01,26.011,492.8,1734.2,367.1,839.5
25,binance-futures,FTTUSDT,1667262359943000,2022-11-01T00:25:00.000000,25.988,25.99,660.4,1624.6,378.9,878.5
26,binance-futures,FTTUSDT,1667262419819000,2022-11-01T00:26:00.000000,25.984,25.985,719.0999999999999,1554.7999999999995,262.1,778.5999999999999
27,binance-futures,FTTUSDT,1667262479324000,2022-11-01T00:27:00.000000,26.001,26.006,657.8,1476.1999999999998,215.9,670.7
28,binance-futures,FTTUSDT,1667262539595000,2022-11-01T00:28:00.000000,25.994,25.995,322.1,950.0,204.1,689.0999999999999
29,binance-futures,FTTUSDT,1667262599462000,2022-11-01T00:29:00.000000,25.997,25.998,225.3,744.1999999999999,140.20000000000002,715.8
30,binance-futures,FTTUSDT,1667262659983000,2022-11-01T00:30:00.000000,25.984,25.985,486.9,948.4,119.60000000000002,679.5
31,binance-futures,FTTUSDT,1667262719956000,2022-11-01T00:31:00.000000,25.991,25.996,173.2,1229.6,101.0,633.6
32,binance-futures,FTTUSDT,1667262779978000,2022-11-01T00:32:00.000000,25.992,25.993,681.2,1123.7,182.9,510.5
33,binance-futures,FTTUSDT,1667262839905000,2022-11-01T00:33:00.000000,26.0,26.003,436.1,1325.4,122.5,436.50000000000006
34,binance-futures,FTTUSDT,1667262899852000,2022-11-01T00:34:00.000000,26.01,26.011,398.0,1071.5,229.9,516.9
35,binance-futures,FTTUSDT,1667262959982000,2022-11-01T00:35:00.000000,26.027,26.028,123.4,763.8000000000001,187.1,812.5999999999999
36,binance-futures,FTTUSDT,1667263019956000,2022-11-01T00:36:00.000000,26.041,26.046,479.19999999999993,1067.4,257.3,654.2
37,binance-futures,FTTUSDT,1667263079613000,2022-11-01T00:37:00.000000,26.057,26.058,820.5,1454.0,283.2,876.4000000000001
38,binance-futures,FTTUSDT,1667263139971000,2022-11-01T00:38:00.000000,26.058,26.06,189.4,1102.4,271.8,660.7
39,binance-futures,FTTUSDT,1667263199344000,2022-11-01T00:39:00.000000,26.078,26.079,241.4,1104.9,200.1,705.9000000000001
40,binance-futures,FTTUSDT,1667263259946000,2022-11-01T00:40:00.000000,26.072,26.077,646.0,1215.2,128.4,626.4
41,binance-futures,FTTUSDT,1667263319877000,2022-11-01T00:41:00.000000,26.074,26.076,281.5,780.1,277.9,790.6999999999999
42,binance-futures,FTTUSDT,1667263379585000,2022-11-01T00:42:00.000000,26.082,26.083,262.1,1107.4,471.4,1022.9
43,binance-futures,FTTUSDT,1667263439957000,2022-11-01T00:43:00.000000,26.078,26.079,252.0,1102.1,479.9,1100.4
44,binance-futures,FTTUSDT,1667263499956000,2022-11-01T00:44:00.000000,26.07,26.071,443.8999999999999,1192.4,261.5,788.4
45,binance-futures,FTTUSDT,1667263559972000,2022-11-01T00:45:00.000000,26.087,26.088,368.8,903.1,268.4,923.2
46,binance-futures,FTTUSDT,1667263619978000,2022-11-01T00:46:00.000000,26.078,26.079,587.8,1533.0000000000002,279.90000000000003,759.5
47,binance-futures,FTTUSDT,1667263679462000,2022-11-01T00:47:00.000000,26.081,26.082,174.0,1108.2,313.7,804.0
48,binance-futures,FTTUSDT,1667263739966000,2022-11-01T00:48:00.000000,26.062,26.063,300.7,942.0,289.2,780.0999999999999
49,binance-futures,FTTUSDT,1667263799992000,2022-11-01T00:49:00.000000,26.064,26.065,307.20000000000005,866.2,789.8,1127.0
50,binance-futures,FTTUSDT,1667263859756000,2022-11-01T00:50:00.000000,26.062,26.064,254.0,808.8,225.6,767.9000000000001
51,binance-futures,FTTUSDT,1667263919720000,2022-11-01T00:51:00.000000,26.049,26.052,279.7,1308.3000000000002,172.0,1006.6
52,binance-futures,FTTUSDT,1667263979985000,2022-11-01T00:52:00.000000,26.033,26.034,533.5000000000001,1200.1,279.79999999999995,914.5
53,binance-futures,FTTUSDT,1667264039208000,2022-11-01T00:53:00.000000,26.02,26.021,435.7000000000001,1544.3,195.1,811.8000000000001
54,binance-futures,FTTUSDT,1667264099617000,2022-11-01T00:54:00.000000,26.024,26.025,317.2,1413.7,434.8,1174.6999999999998
55,binance-futures,FTTUSDT,1667264159983000,2022-11-01T00:55:00.000000,26.036,26.037,318.6,1064.3,585.1,1131.2
56,binance-futures,FTTUSDT,1667264219999000,2022-11-01T00:56:00.000000,26.013,26.014,364.8,1421.2,137.6,527.6
57,binance-futures,FTTUSDT,1667264279853000,2022-11-01T00:57:00.000000,26.017,26.018,382.3,1490.6999999999998,159.4,650.7
58,binance-futures,FTTUSDT,1667264339975000,2022-11-01T00:58:00.000000,26.038,26.039,298.8,1089.9,204.1,600.6
59,binance-futures,FTTUSDT,1667264399705000,2022-11-01T00:59:00.000000,26.022,26.023,453.1,1622.3,251.1,730.1
