,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance-futures,SOLUSDT,1667260859964000,2022-11-01T00:00:00.000000,32.5,32.51,40116.0,114887.0,38234.0,82888.0
1,binance-futures,SOLUSDT,1667260919989000,2022-11-01T00:01:00.000000,32.52,32.53,42206.0,88914.0,44691.0,94010.0
2,binance-futures,SOLUSDT,1667260979983000,2022-11-01T00:02:00.000000,32.51,32.52,34250.0,83765.0,44462.0,93767.0
3,binance-futures,SOLUSDT,1667261039973000,2022-11-01T00:03:00.000000,32.54,32.55,42794.0,91528.0,52374.0,106458.0
4,binance-futures,SOLUSDT,1667261099995000,2022-11-01T00:04:00.000000,32.56,32.57,36508.0,86223.0,41879.0,120626.0
5,binance-futures,SOLUSDT,1667261159996000,2022-11-01T00:05:00.000000,32.52,32.53,52739.0,95369.0,45859.0,106163.0
6,binance-futures,SOLUSDT,1667261219973000,2022-11-01T00:06:00.000000,32.51,32.52,45929.0,97877.0,44746.0,104391.0
7,binance-futures,SOLUSDT,1667261279987000,2022-11-01T00:07:00.000000,32.49,32.5,45443.0,121857.0,44296.0,97966.0
8,binance-futures,SOLUSDT,1667261339976000,2022-11-01T00:08:00.000000,32.53,32.54,47835.0,96031.0,48575.0,109301.0
9,binance-futures,SOLUSDT,1667261399962000,2022-11-01T00:09:00.000000,32.54,32.55,46779.0,97446.0,47100.0,117338.0
10,binance-futures,SOLUSDT,1667261459996000,2022-11-01T00:10:00.000000,32.55,32.56,42140.0,95691.0,50369.0,128188.0
11,binance-futures,SOLUSDT,1667261519974000,2022-11-01T00:11:00.000000,32.53,32.54,54015.0,100579.0,43698.0,104375.0
12,binance-futures,SOLUSDT,1667261579973000,2022-11-01T00:12:00.000000,32.62,32.63,36132.0,86103.0,50340.0,135981.0
13,binance-futures,SOLUSDT,1667261639990000,2022-11-01T00:13:00.000000,32.65,32.66,34503.0,85445.0,64216.0,138616.0
14,binance-futures,SOLUSDT,1667261699997000,2022-11-01T00:14:00.000000,32.63,32.64,38180.0,89254.0,46082.0,112184.0
15,binance-futures,SOLUSDT,1667261759994000,2022-11-01T00:15:00.000000,32.65,32.66,41394.0,94162.0,63087.0,124495.0
16,binance-futures,SOLUSDT,1667261819977000,2022-11-01T00:16:00.000000,32.65,32.66,37940.0,88371.0,53107.0,121056.0
