,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance,BTCUSDT,1667260859984000,2022-11-01T00:00:00.000000,20474.13,20475.6,0.54381,0.8500100000000002,0.6862600000000001,1.7728200000000005
1,binance,BTCUSDT,1667260919913000,2022-11-01T00:01:00.000000,20470.05,20470.98,0.8483,1.71039,1.18609,1.8090700000000004
2,binance,BTCUSDT,1667260979939000,2022-11-01T00:02:00.000000,20466.42,20467.69,0.7632599999999999,3.61817,0.1904199999999999,1.4165599999999998
3,binance,BTCUSDT,1667261039965000,2022-11-01T00:03:00.000000,20474.0,20474.37,0.99874,2.5005900000000003,1.39814,2.80788
4,binance,BTCUSDT,1667261099993000,2022-11-01T00:04:00.000000,20476.78,20477.78,0.2366,0.91898,2.35089,4.16635
5,binance,BTCUSDT,1667261159921000,2022-11-01T00:05:00.000000,20462.23,20462.24,1.20622,6.32163,0.44557,0.7724200000000002
6,binance,BTCUSDT,1667261219950000,2022-11-01T00:06:00.000000,20460.97,20461.91,1.74739,4.60101,0.57395,0.9917100000000002
7,binance,BTCUSDT,1667261279978000,2022-11-01T00:07:00.000000,20456.3,20457.21,0.25338,2.94355,0.4029999999999999,1.50926
8,binance,BTCUSDT,1667261339908000,2022-11-01T00:08:00.000000,20465.69,20466.19,0.30327,0.8392400000000002,0.33306,2.55261
9,binance,BTCUSDT,1667261399937000,2022-11-01T00:09:00.000000,20468.31,20468.67,0.90423,1.11299,0.0863599999999999,0.55223
10,binance,BTCUSDT,1667261459968000,2022-11-01T00:10:00.000000,20473.64,20473.75,1.035,2.26282,1.4438,2.29231
11,binance,BTCUSDT,1667261519998000,2022-11-01T00:11:00.000000,20468.82,20469.28,2.90675,3.95994,0.4698699999999999,0.9787800000000002
12,binance,BTCUSDT,1667261579925000,2022-11-01T00:12:00.000000,20496.07,20496.61,0.08143,0.3992199999999999,0.33871,2.5348399999999995
13,binance,BTCUSDT,1667261639954000,2022-11-01T00:13:00.000000,20492.3,20492.92,1.47625,3.1170299999999997,6.802960000000001,8.07377
14,binance,BTCUSDT,1667261699984000,2022-11-01T00:14:00.000000,20488.04,20488.99,0.8721800000000002,2.167719999999999,0.40659,0.8702599999999999
15,binance,BTCUSDT,1667261759913000,2022-11-01T00:15:00.000000,20485.39,20486.39,1.18849,1.97778,2.8040199999999995,4.35083
16,binance,BTCUSDT,1667261819943000,2022-11-01T00:16:00.000000,20486.75,20487.36,0.4638,2.8344400000000003,0.9173799999999998,2.14853
17,binance,BTCUSDT,1667261879972000,2022-11-01T00:17:00.000000,20485.63,20485.86,0.2627400000000001,0.6213900000000001,0.5165500000000001,1.41439
18,binance,BTCUSDT,1667261939902000,2022-11-01T00:18:00.000000,20477.65,20478.31,0.32898,0.71197,0.2261799999999999,1.72992
19,binance,BTCUSDT,1667261999933000,2022-11-01T00:19:00.000000,20476.28,20476.45,0.1245999999999999,1.45209,1.06414,1.94685
20,binance,BTCUSDT,1667262059962000,2022-11-01T00:20:00.000000,20483.19,20484.18,0.40111,1.95947,1.0333,2.1282100000000006
21,binance,BTCUSDT,1667262119992000,2022-11-01T00:21:00.000000,20481.5,20482.34,0.12243,0.43779,0.6551200000000001,1.83896
22,binance,BTCUSDT,1667262179921000,2022-11-01T00:22:00.000000,20478.0,20478.59,0.40128,0.7767300000000003,0.90714,1.4856200000000002
23,binance,BTCUSDT,1667262239951000,2022-11-01T00:23:00.000000,20476.98,20477.85,0.57615,1.2465900000000003,0.80108,1.18146
24,binance,BTCUSDT,1667262299980000,2022-11-01T00:24:00.000000,20467.08,20468.29,0.58247,3.04432,0.4544800000000001,2.171760000000001
25,binance,BTCUSDT,1667262359906000,2022-11-01T00:25:00.000000,20461.36,20461.99,0.27711,0.79494,2.50631,4.54785
26,binance,BTCUSDT,1667262419935000,2022-11-01T00:26:00.000000,20460.98,20461.68,0.89198,2.1562,0.20822,0.8390900000000001
27,binance,BTCUSDT,1667262479965000,2022-11-01T00:27:00.000000,20466.8,20467.16,0.7389700000000001,2.00559,0.2397599999999999,0.76236
28,binance,BTCUSDT,1667262539995000,2022-11-01T00:28:00.000000,20454.47,20455.22,0.3640299999999999,0.69875,0.15938,1.83975
29,binance,BTCUSDT,1667262599926000,2022-11-01T00:29:00.000000,20454.56,20455.22,0.4747099999999999,2.7003500000000003,0.24193,0.6810700000000003
30,binance,BTCUSDT,1667262659953000,2022-11-01T00:30:00.000000,20465.71,20466.63,0.4002599999999999,0.9355799999999996,0.99745,3.83538
31,binance,BTCUSDT,1667262719981000,2022-11-01T00:31:00.000000,20465.0,20465.58,1.13338,2.33133,1.04013,2.62382
32,binance,BTCUSDT,1667262779910000,2022-11-01T00:32:00.000000,20464.27,20464.71,1.15218,1.6447599999999996,0.39177,0.7227600000000002
33,binance,BTCUSDT,1667262839939000,2022-11-01T00:33:00.000000,20463.34,20463.79,0.93347,2.0363,0.31566,0.6265099999999999
34,binance,BTCUSDT,1667262899970000,2022-11-01T00:34:00.000000,20462.35,20462.97,0.8676,1.6660700000000002,0.56631,2.43994
35,binance,BTCUSDT,1667262959900000,2022-11-01T00:35:00.000000,20465.46,20466.25,0.08174,0.37886,1.01668,3.85457
36,binance,BTCUSDT,1667263019929000,2022-11-01T00:36:00.000000,20468.04,20469.61,2.18072,2.58036,0.6846800000000001,1.7511600000000005
37,binance,BTCUSDT,1667263079956000,2022-11-01T00:37:00.000000,20474.41,20475.01,0.3624799999999999,2.93237,1.86217,2.6663399999999995
38,binance,BTCUSDT,1667263139980000,2022-11-01T00:38:00.000000,20479.02,20479.57,0.5254000000000001,1.0708400000000002,0.13162,0.8754000000000001
