,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance,FTTUSDT,1667260859684000,2022-11-01T00:00:00.000000,26.09,26.1,3962.92,16589.06,5177.8,11100.58
1,binance,FTTUSDT,1667260919913000,2022-11-01T00:01:00.000000,26.02,26.03,9865.48,29595.25,7214.1,14485.44
2,binance,FTTUSDT,1667260979939000,2022-11-01T00:02:00.000000,26.03,26.04,8082.119999999999,28250.23,5737.099999999999,12761.01
3,binance,FTTUSDT,1667261039866000,2022-11-01T00:03:00.000000,26.03,26.04,17466.03,30631.95,6176.389999999999,11599.17
4,binance,FTTUSDT,1667261099893000,2022-11-01T00:04:00.000000,26.06,26.07,12971.63,26454.19,12420.19,16869.62
5,binance,FTTUSDT,1667261159921000,2022-11-01T00:05:00.000000,26.02,26.03,9261.78,21411.5,6114.41,17723.48
6,binance,FTTUSDT,1667261219349000,2022-11-01T00:06:00.000000,26.02,26.03,8805.029999999999,21916.2,5367.960000000001,10849.99
7,binance,FTTUSDT,1667261279978000,2022-11-01T00:07:00.000000,26.01,26.02,8739.92,20682.96,4817.45,16819.19
8,binance,FTTUSDT,1667261339107000,2022-11-01T00:08:00.000000,26.04,26.05,8087.490000000001,21497.870000000003,11157.88,15513.3
9,binance,FTTUSDT,1667261399737000,2022-11-01T00:09:00.000000,26.05,26.06,13404.14,25816.83,9901.85,15388.76
10,binance,FTTUSDT,1667261459868000,2022-11-01T00:10:00.000000,26.06,26.07,11734.44,18917.83,10963.9,15417.59
11,binance,FTTUSDT,1667261519998000,2022-11-01T00:11:00.000000,26.05,26.06,14097.280000000002,26460.72,6010.2,11518.99
12,binance,FTTUSDT,1667261579925000,2022-11-01T00:12:00.000000,26.1,26.11,8530.529999999999,21992.86,9067.46,13254.67
13,binance,FTTUSDT,1667261639955000,2022-11-01T00:13:00.000000,26.1,26.11,10031.569999999998,22532.29,12035.24,16836.34
14,binance,FTTUSDT,1667261699784000,2022-11-01T00:14:00.000000,26.08,26.09,9485.169999999998,21442.17,11442.82,17364.81
15,binance,FTTUSDT,1667261759913000,2022-11-01T00:15:00.000000,26.08,26.09,9491.46,21515.4,12817.31,17359.600000000002
16,binance,FTTUSDT,1667261819943000,2022-11-01T00:16:00.000000,26.1,26.11,9936.67,22894.88,12509.79,17183.88
