,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,binance,SOLUSDT,1667260859984000,2022-11-01T00:00:00.000000,32.53,32.54,24798.04,57915.64000000001,11129.82,29703.23
1,binance,SOLUSDT,1667260919913000,2022-11-01T00:01:00.000000,32.54,32.55,18779.26,56557.10999999999,14917.01,38496.14000000001
2,binance,SOLUSDT,1667260979939000,2022-11-01T00:02:00.000000,32.53,32.54,26207.320000000003,60337.630000000005,16609.99,38077.79
3,binance,SOLUSDT,1667261039866000,2022-11-01T00:03:00.000000,32.56,32.57,13559.550000000005,48649.06,16651.329999999998,52017.78
4,binance,SOLUSDT,1667261099993000,2022-11-01T00:04:00.000000,32.58,32.59,14272.81,47815.71000000001,22866.51,50097.280000000006
5,binance,SOLUSDT,1667261159921000,2022-11-01T00:05:00.000000,32.54,32.55,17274.82,60446.75999999998,15836.62,40292.990000000005
6,binance,SOLUSDT,1667261219950000,2022-11-01T00:06:00.000000,32.53,32.54,19772.61,51179.37,15281.670000000002,36899.00000000001
7,binance,SOLUSDT,1667261279978000,2022-11-01T00:07:00.000000,32.52,32.53,24720.36,59252.17999999999,17628.75,39640.25999999999
8,binance,SOLUSDT,1667261339608000,2022-11-01T00:08:00.000000,32.56,32.57,16110.86,48721.8,18873.1,53185.36
9,binance,SOLUSDT,1667261399537000,2022-11-01T00:09:00.000000,32.56,32.57,17277.3,48959.15,17105.07,51843.66
10,binance,SOLUSDT,1667261459868000,2022-11-01T00:10:00.000000,32.57,32.58,11951.82,47721.93000000001,23574.730000000003,50698.01
11,binance,SOLUSDT,1667261519998000,2022-11-01T00:11:00.000000,32.55,32.56,17853.600000000002,60474.43000000001,17187.11,41091.31
12,binance,SOLUSDT,1667261579925000,2022-11-01T00:12:00.000000,32.64,32.65,11881.84,34130.99,23986.92,40470.53
13,binance,SOLUSDT,1667261639954000,2022-11-01T00:13:00.000000,32.67,32.68,14760.55,48313.23000000001,16242.79,62767.2
14,binance,SOLUSDT,1667261699984000,2022-11-01T00:14:00.000000,32.65,32.66,19453.26,61286.31000000001,17350.409999999996,52493.30999999999
15,binance,SOLUSDT,1667261759913000,2022-11-01T00:15:00.000000,32.68,32.69,17184.15,46912.58,16355.68,62856.380000000005
16,binance,SOLUSDT,1667261819943000,2022-11-01T00:16:00.000000,32.67,32.68,18625.49,60546.79,17771.56,43530.71
17,binance,SOLUSDT,1667261879872000,2022-11-01T00:17:00.000000,32.67,32.68,18369.26,60415.69,16575.51,42734.44
18,binance,SOLUSDT,1667261939902000,2022-11-01T00:18:00.000000,32.66,32.67,17571.75,59631.24,15903.43,41446.53
19,binance,SOLUSDT,1667261999933000,2022-11-01T00:19:00.000000,32.67,32.68,17464.800000000003,52984.32,16736.989999999998,52816.16
20,binance,SOLUSDT,1667262059862000,2022-11-01T00:20:00.000000,32.71,32.72,12346.37,40136.82,23839.62,51162.07
21,binance,SOLUSDT,1667262119992000,2022-11-01T00:21:00.000000,32.72,32.73,19488.51,46317.77,17779.940000000002,52534.070000000014
22,binance,SOLUSDT,1667262179721000,2022-11-01T00:22:00.000000,32.72,32.73,18073.2,44016.47000000001,16581.34,50893.14
23,binance,SOLUSDT,1667262239951000,2022-11-01T00:23:00.000000,32.69,32.7,21386.68,59083.54000000001,16403.49,38414.19
24,binance,SOLUSDT,1667262299980000,2022-11-01T00:24:00.000000,32.67,32.68,25544.300000000003,63202.240000000005,11877.82,38404.62
25,binance,SOLUSDT,1667262359906000,2022-11-01T00:25:00.000000,32.63,32.64,18861.69,72065.44,11891.79,37580.85
26,binance,SOLUSDT,1667262419835000,2022-11-01T00:26:00.000000,32.62,32.63,27051.36,65256.55,15240.44,37879.21000000001
27,binance,SOLUSDT,1667262479865000,2022-11-01T00:27:00.000000,32.65,32.66,17975.14,53234.65999999999,23415.73,51453.81999999999
28,binance,SOLUSDT,1667262539995000,2022-11-01T00:28:00.000000,32.64,32.65,18222.96,52213.73,25943.32,43143.41
29,binance,SOLUSDT,1667262599726000,2022-11-01T00:29:00.000000,32.64,32.65,18574.38,52564.59,24525.42,41679.50999999999
