,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,bitstamp,SOLUSD,1667260859712863,2022-11-01T00:00:00.000000,32.4993,32.5474,4124.61,6084.11,2745.86,3222.63
1,bitstamp,SOLUSD,1667260919736997,2022-11-01T00:01:00.000000,32.5089,32.5466,2590.25,6196.159999999999,3033.63,3560.0599999999995
2,bitstamp,SOLUSD,1667260979845993,2022-11-01T00:02:00.000000,32.516,32.5481,3260.05,4649.29,2729.87,3255.21
3,bitstamp,SOLUSD,1667261039897144,2022-11-01T00:03:00.000000,32.5322,32.5752,4665.84,6189.549999999999,2918.94,3444.84
4,bitstamp,SOLUSD,1667261094523343,2022-11-01T00:04:00.000000,32.5296,32.5925,2582.04,6179.65,2979.3200000000006,3504.49
5,bitstamp,SOLUSD,1667261157622416,2022-11-01T00:05:00.000000,32.5284,32.5643,4120.99,6181.820000000001,2817.7,3342.52
6,bitstamp,SOLUSD,1667261201300549,2022-11-01T00:06:00.000000,32.5094,32.5506,4125.120000000001,6185.3600000000015,2819.9,3344.7200000000003
7,bitstamp,SOLUSD,1667261279548775,2022-11-01T00:07:00.000000,32.4959,32.555,4161.58,5550.069999999999,1894.79,2147.69
8,bitstamp,SOLUSD,1667261337755309,2022-11-01T00:08:00.000000,32.5215,32.5629,4124.25,6184.67,2876.45,3401.6600000000003
9,bitstamp,SOLUSD,1667261391119670,2022-11-01T00:09:00.000000,32.5429,32.5928,4273.6,6339.74,2751.2200000000003,3276.4300000000003
10,bitstamp,SOLUSD,1667261458652485,2022-11-01T00:10:00.000000,32.5263,32.5785,2583.44,6180.279999999999,3010.5000000000005,3516.81
11,bitstamp,SOLUSD,1667261515055508,2022-11-01T00:11:00.000000,32.5398,32.5914,4121.89,6184.83,2851.8900000000003,3360.57
12,bitstamp,SOLUSD,1667261578777613,2022-11-01T00:12:00.000000,32.6304,32.6525,4118.16,6179.789999999999,2800.7200000000003,3330.77
13,bitstamp,SOLUSD,1667261639461806,2022-11-01T00:13:00.000000,32.6194,32.6912,4123.55,6185.18,2232.59,2472.5
14,bitstamp,SOLUSD,1667261699521323,2022-11-01T00:14:00.000000,32.6412,32.6556,4811.099999999999,6345.639999999999,1916.24,3236.49
15,bitstamp,SOLUSD,1667261758970189,2022-11-01T00:15:00.000000,32.6378,32.6826,4119.150000000001,6180.12,2183.46,3502.55
16,bitstamp,SOLUSD,1667261819606469,2022-11-01T00:16:00.000000,32.6555,32.678,4715.31,6108.67,2538.61,3064.59
