,time,exchange,symbol,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy
0,2022-11-01T00:15:00.000000,bitstamp,SOLUSD,5.46,178.295208,2,5.46,178.295208,2
1,2022-11-01T00:21:00.000000,bitstamp,SOLUSD,2.9,94.89612,2,2.9,94.89612,2
2,2022-11-01T00:36:00.000000,bitstamp,SOLUSD,20.44,666.9950140000001,4,20.44,666.9950140000001,4
3,2022-11-01T00:37:00.000000,bitstamp,SOLUSD,433.46,14166.773180000002,18,433.46,14166.773180000002,18
4,2022-11-01T04:38:00.000000,bitstamp,SOLUSD,2.52,82.26111600000002,2,2.52,82.26111600000002,2
5,2022-11-01T05:41:00.000000,bitstamp,SOLUSD,3.04,99.878288,2,3.04,99.878288,2
6,2022-11-01T06:02:00.000000,bitstamp,SOLUSD,55.72,1827.939176,4,55.72,1827.939176,4
7,2022-11-01T06:05:00.000000,bitstamp,SOLUSD,2.4,78.67848,2,2.4,78.67848,2
8,2022-11-01T06:06:00.000000,bitstamp,SOLUSD,4.5,147.7458,2,4.5,147.7458,2
9,2022-11-01T06:15:00.000000,bitstamp,SOLUSD,114.3,3771.9,6,114.3,3771.9,6
10,2022-11-01T06:31:00.000000,bitstamp,SOLUSD,2.52,82.961172,2,2.52,82.961172,2
11,2022-11-01T06:39:00.000000,bitstamp,SOLUSD,112.4,3709.2,4,112.4,3709.2,4
12,2022-11-01T06:40:00.000000,bitstamp,SOLUSD,112.3,3709.17916,2,112.3,3709.17916,2
13,2022-11-01T06:44:00.000000,bitstamp,SOLUSD,112.02,3709.172634,4,112.02,3709.172634,4
14,2022-11-01T06:48:00.000000,bitstamp,SOLUSD,111.76,3708.800304,4,111.76,3708.800304,4
15,2022-11-01T06:56:00.000000,bitstamp,SOLUSD,116.34,3858.090348,6,116.34,3858.090348,6
16,2022-11-01T07:06:00.000000,bitstamp,SOLUSD,111.76000000000002,3708.375616,6,111.76000000000002,3708.375616,6
17,2022-11-01T07:20:00.000000,bitstamp,SOLUSD,112.02,3708.5677259999993,4,112.02,3708.5677259999993,4
18,2022-11-01T07:25:00.000000,bitstamp,SOLUSD,14.04,463.3551,2,14.04,463.3551,2
19,2022-11-01T07:34:00.000000,bitstamp,SOLUSD,113.6,3749.43616,8,113.6,3749.43616,8
20,2022-11-01T07:43:00.000000,bitstamp,SOLUSD,117.12,3864.96,6,117.12,3864.96,6
21,2022-11-01T07:52:00.000000,bitstamp,SOLUSD,114.16,3768.512928,8,114.16,3768.512928,8
22,2022-11-01T07:59:00.000000,bitstamp,SOLUSD,120.76,3989.016776,4,120.76,3989.016776,4
23,2022-11-01T08:01:00.000000,bitstamp,SOLUSD,29.52,974.16,4,29.52,974.16,4
24,2022-11-01T08:03:00.000000,bitstamp,SOLUSD,114.71999999999998,3790.371744,8,114.71999999999998,3790.371744,8
25,2022-11-01T08:06:00.000000,bitstamp,SOLUSD,114.48,3790.4442480000007,6,114.48,3790.4442480000007,6
26,2022-11-01T08:10:00.000000,bitstamp,SOLUSD,37.58,1243.51379,8,37.58,1243.51379,8
27,2022-11-01T08:13:00.000000,bitstamp,SOLUSD,114.5,3790.46525,6,114.5,3790.46525,6
28,2022-11-01T08:49:00.000000,bitstamp,SOLUSD,14.36,472.610128,6,14.36,472.610128,6
29,2022-11-01T08:51:00.000000,bitstamp,SOLUSD,154.51999999999998,5087.88004,4,154.51999999999998,5087.88004,4
30,2022-11-01T09:45:00.000000,bitstamp,SOLUSD,136.92000000000002,4518.36,8,136.92000000000002,4518.36,8
31,2022-11-01T10:13:00.000000,bitstamp,SOLUSD,141.9,4685.56638,6,141.9,4685.56638,6
32,2022-11-01T10:16:00.000000,bitstamp,SOLUSD,143.14,4730.99171,6,143.14,4730.99171,6
33,2022-11-01T10:23:00.000000,bitstamp,SOLUSD,141.82,4685.208065999999,4,141.82,4685.208065999999,4
34,2022-11-01T10:29:00.000000,bitstamp,SOLUSD,0.96,31.63968,2,0.96,31.63968,2
35,2022-11-01T10:32:00.000000,bitstamp,SOLUSD,142.83999999999995,4715.948304,10,142.83999999999995,4715.948304,10
36,2022-11-01T10:34:00.000000,bitstamp,SOLUSD,141.51999999999998,4684.609192,4,141.51999999999998,4684.609192,4
37,2022-11-01T10:38:00.000000,bitstamp,SOLUSD,141.02,4684.585685999999,4,141.02,4684.585685999999,4
38,2022-11-01T10:42:00.000000,bitstamp,SOLUSD,108.43999999999998,3612.5810040000006,12,108.43999999999998,3612.5810040000006,12
39,2022-11-01T10:47:00.000000,bitstamp,SOLUSD,4.0,133.494,2,4.0,133.494,2
40,2022-11-01T10:48:00.000000,bitstamp,SOLUSD,72.76,2425.221768,8,72.76,2425.221768,8
41,2022-11-01T10:50:00.000000,bitstamp,SOLUSD,141.52,4721.588368,6,141.52,4721.588368,6
42,2022-11-01T10:55:00.000000,bitstamp,SOLUSD,142.20000000000002,4739.440680000001,8,142.20000000000002,4739.440680000001,8
43,2022-11-01T11:00:00.000000,bitstamp,SOLUSD,140.98000000000002,4684.356558,4,140.98000000000002,4684.356558,4
44,2022-11-01T11:04:00.000000,bitstamp,SOLUSD,22.1,731.34646,6,22.1,731.34646,6
45,2022-11-01T11:06:00.000000,bitstamp,SOLUSD,141.52,4684.297848,6,141.52,4684.297848,6
46,2022-11-01T11:21:00.000000,bitstamp,SOLUSD,144.17999999999998,4757.9400000000005,8,144.17999999999998,4757.9400000000005,8
47,2022-11-01T11:27:00.000000,bitstamp,SOLUSD,144.54000000000002,4769.82,6,144.54000000000002,4769.82,6
48,2022-11-01T11:33:00.000000,bitstamp,SOLUSD,146.86,4846.38,8,146.86,4846.38,8
49,2022-11-01T11:46:00.000000,bitstamp,SOLUSD,22.74,749.4626460000001,6,22.74,749.4626460000001,6
50,2022-11-01T12:00:00.000000,bitstamp,SOLUSD,14.32,471.29471,4,14.32,471.29471,4
51,2022-11-01T12:04:00.000000,bitstamp,SOLUSD,0.68,22.374176,2,0.68,22.374176,2
52,2022-11-01T12:09:00.000000,bitstamp,SOLUSD,12.599999999999998,413.103078,6,12.599999999999998,413.103078,6
53,2022-11-01T12:20:00.000000,bitstamp,SOLUSD,63.12,2081.4388080000003,4,63.12,2081.4388080000003,4
54,2022-11-01T12:26:00.000000,bitstamp,SOLUSD,27.46,905.717296,6,27.46,905.717296,6
55,2022-11-01T12:33:00.000000,bitstamp,SOLUSD,96.68,3190.376988,4,96.68,3190.376988,4
56,2022-11-01T12:34:00.000000,bitstamp,SOLUSD,91.88,3032.0400000000004,8,91.88,3032.0400000000004,8
57,2022-11-01T12:35:00.000000,bitstamp,SOLUSD,176.76,5837.640407999999,12,176.76,5837.640407999999,12
58,2022-11-01T12:38:00.000000,bitstamp,SOLUSD,175.12,5791.498592,6,175.12,5791.498592,6
59,2022-11-01T12:44:00.000000,bitstamp,SOLUSD,180.2,5957.89854,10,180.2,5957.89854,10
60,2022-11-01T12:48:00.000000,bitstamp,SOLUSD,180.82,5988.830727999999,8,180.82,5988.830727999999,8
