,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
0,2022-11-01T00:00:00.000000,ftx,BTC-PERP,89.3519,20478.0,20477.0,1.5505
1,2022-11-01T00:01:00.000000,ftx,BTC-PERP,24.1361,20473.0,20472.0,82.2533
2,2022-11-01T00:02:00.000000,ftx,BTC-PERP,26.3208,20470.0,20469.0,14.0853
3,2022-11-01T00:03:00.000000,ftx,BTC-PERP,33.9338,20480.0,20479.0,15.8062
4,2022-11-01T00:04:00.000000,ftx,BTC-PERP,11.22,20481.0,20480.0,19.4538
5,2022-11-01T00:05:00.000000,ftx,BTC-PERP,47.3851,20464.0,20463.0,14.4952
6,2022-11-01T00:06:00.000000,ftx,BTC-PERP,2.9703,20463.0,20462.0,22.8712
7,2022-11-01T00:07:00.000000,ftx,BTC-PERP,82.1384,20461.0,20460.0,3.1193
8,2022-11-01T00:08:00.000000,ftx,BTC-PERP,37.6535,20471.0,20470.0,8.8737
9,2022-11-01T00:09:00.000000,ftx,BTC-PERP,28.4689,20473.0,20472.0,13.1757
10,2022-11-01T00:10:00.000000,ftx,BTC-PERP,8.2316,20475.0,20474.0,45.811
11,2022-11-01T00:11:00.000000,ftx,BTC-PERP,21.1369,20471.0,20470.0,14.475
12,2022-11-01T00:12:00.000000,ftx,BTC-PERP,30.8821,20502.0,20501.0,0.9331
13,2022-11-01T00:13:00.000000,ftx,BTC-PERP,11.6619,20495.0,20494.0,20.9507
14,2022-11-01T00:14:00.000000,ftx,BTC-PERP,9.3226,20489.0,20488.0,13.7056
15,2022-11-01T00:15:00.000000,ftx,BTC-PERP,81.3884,20490.0,20489.0,0.7806
16,2022-11-01T00:16:00.000000,ftx,BTC-PERP,43.66,20491.0,20490.0,0.1472
17,2022-11-01T00:17:00.000000,ftx,BTC-PERP,12.1697,20488.0,20487.0,22.8474
18,2022-11-01T00:18:00.000000,ftx,BTC-PERP,33.0646,20480.0,20479.0,19.4905
19,2022-11-01T00:19:00.000000,ftx,BTC-PERP,39.593,20480.0,20479.0,0.6691
20,2022-11-01T00:20:00.000000,ftx,BTC-PERP,5.8191,20483.0,20482.0,30.9719
21,2022-11-01T00:21:00.000000,ftx,BTC-PERP,12.0111,20485.0,20484.0,30.8206
22,2022-11-01T00:22:00.000000,ftx,BTC-PERP,34.4191,20482.0,20481.0,10.6504
23,2022-11-01T00:23:00.000000,ftx,BTC-PERP,0.6102,20477.0,20476.0,70.7422
24,2022-11-01T00:24:00.000000,ftx,BTC-PERP,76.4443,20473.0,20472.0,3.3562
25,2022-11-01T00:25:00.000000,ftx,BTC-PERP,20.4419,20464.0,20463.0,23.8468
26,2022-11-01T00:26:00.000000,ftx,BTC-PERP,8.2868,20463.0,20462.0,19.6803
27,2022-11-01T00:27:00.000000,ftx,BTC-PERP,40.1014,20468.0,20467.0,22.294
28,2022-11-01T00:28:00.000000,ftx,BTC-PERP,182.4237,20453.0,20452.0,24.5337
29,2022-11-01T00:29:00.000000,ftx,BTC-PERP,163.35,20453.0,20452.0,340.8685
30,2022-11-01T00:30:00.000000,ftx,BTC-PERP,34.5143,20468.0,20467.0,22.6963
31,2022-11-01T00:31:00.000000,ftx,BTC-PERP,0.7349,20467.0,20466.0,118.9001
32,2022-11-01T00:32:00.000000,ftx,BTC-PERP,9.5729,20463.0,20462.0,45.8143
33,2022-11-01T00:33:00.000000,ftx,BTC-PERP,8.7302,20463.0,20462.0,30.8577
34,2022-11-01T00:34:00.000000,ftx,BTC-PERP,24.1243,20467.0,20466.0,3.9564
35,2022-11-01T00:35:00.000000,ftx,BTC-PERP,22.1291,20469.0,20468.0,8.0255
36,2022-11-01T00:36:00.000000,ftx,BTC-PERP,3.5587,20467.0,20466.0,98.2453
37,2022-11-01T00:37:00.000000,ftx,BTC-PERP,71.9784,20478.0,20477.0,6.4927
38,2022-11-01T00:38:00.000000,ftx,BTC-PERP,17.2708,20481.0,20480.0,15.0191
39,2022-11-01T00:39:00.000000,ftx,BTC-PERP,17.6913,20486.0,20485.0,42.0179
40,2022-11-01T00:40:00.000000,ftx,BTC-PERP,11.567,20480.0,20479.0,33.7816
41,2022-11-01T00:41:00.000000,ftx,BTC-PERP,18.1581,20478.0,20477.0,15.0894
42,2022-11-01T00:42:00.000000,ftx,BTC-PERP,3.511,20476.0,20475.0,36.0289
43,2022-11-01T00:43:00.000000,ftx,BTC-PERP,8.5667,20476.0,20475.0,25.7953
44,2022-11-01T00:44:00.000000,ftx,BTC-PERP,33.4649,20474.0,20473.0,4.3904
45,2022-11-01T00:45:00.000000,ftx,BTC-PERP,16.3581,20471.0,20470.0,29.4861
46,2022-11-01T00:46:00.000000,ftx,BTC-PERP,31.0733,20470.0,20469.0,7.097
47,2022-11-01T00:47:00.000000,ftx,BTC-PERP,24.8597,20468.0,20467.0,26.6096
48,2022-11-01T00:48:00.000000,ftx,BTC-PERP,42.7643,20462.0,20461.0,10.2186
49,2022-11-01T00:49:00.000000,ftx,BTC-PERP,41.0816,20461.0,20460.0,9.0516
50,2022-11-01T00:50:00.000000,ftx,BTC-PERP,34.2036,20455.0,20454.0,37.4348
51,2022-11-01T00:51:00.000000,ftx,BTC-PERP,14.7726,20455.0,20454.0,39.6071
52,2022-11-01T00:52:00.000000,ftx,BTC-PERP,23.5988,20454.0,20453.0,14.3309
53,2022-11-01T00:53:00.000000,ftx,BTC-PERP,35.3587,20453.0,20452.0,6.9388
54,2022-11-01T00:54:00.000000,ftx,BTC-PERP,4.7808,20455.0,20454.0,75.1159
55,2022-11-01T00:55:00.000000,ftx,BTC-PERP,5.102,20459.0,20458.0,95.91
56,2022-11-01T00:56:00.000000,ftx,BTC-PERP,11.4183,20451.0,20450.0,18.2484
57,2022-11-01T00:57:00.000000,ftx,BTC-PERP,45.3445,20455.0,20454.0,3.1134
58,2022-11-01T00:58:00.000000,ftx,BTC-PERP,0.0071,20457.0,20456.0,109.525
59,2022-11-01T00:59:00.000000,ftx,BTC-PERP,14.8735,20456.0,20455.0,24.1762
60,2022-11-01T01:00:00.000000,ftx,BTC-PERP,9.3593,20461.0,20460.0,81.548
61,2022-11-01T01:01:00.000000,ftx,BTC-PERP,0.854,20459.0,20458.0,38.2387
62,2022-11-01T01:02:00.000000,ftx,BTC-PERP,7.3208,20458.0,20457.0,23.5295
63,2022-11-01T01:03:00.000000,ftx,BTC-PERP,3.966,20464.0,20463.0,92.5275
64,2022-11-01T01:04:00.000000,ftx,BTC-PERP,20.2542,20469.0,20468.0,36.9277
65,2022-11-01T01:05:00.000000,ftx,BTC-PERP,16.7505,20470.0,20469.0,37.5696
66,2022-11-01T01:06:00.000000,ftx,BTC-PERP,6.6528,20470.0,20469.0,60.2663
67,2022-11-01T01:07:00.000000,ftx,BTC-PERP,4.4042,20472.0,20471.0,62.7569
68,2022-11-01T01:08:00.000000,ftx,BTC-PERP,7.287,20472.0,20471.0,69.9575
69,2022-11-01T01:09:00.000000,ftx,BTC-PERP,7.2754,20472.0,20471.0,55.0049
70,2022-11-01T01:10:00.000000,ftx,BTC-PERP,1.7768,20476.0,20475.0,57.6086
71,2022-11-01T01:11:00.000000,ftx,BTC-PERP,4.3389,20476.0,20475.0,68.2812
72,2022-11-01T01:12:00.000000,ftx,BTC-PERP,30.2141,20489.0,20488.0,46.1061
73,2022-11-01T01:13:00.000000,ftx,BTC-PERP,30.5182,20486.0,20485.0,2.9549
