,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
0,2022-11-01T00:00:00.000000,ftx,FTT-PERP,21.2,26.088,26.0875,19.1
1,2022-11-01T00:01:00.000000,ftx,FTT-PERP,197.5,26.025,26.0105,31.2
2,2022-11-01T00:02:00.000000,ftx,FTT-PERP,2.9,26.0275,26.0265,1.4
3,2022-11-01T00:03:00.000000,ftx,FTT-PERP,24.1,26.035,26.0275,130.2
4,2022-11-01T00:04:00.000000,ftx,FTT-PERP,21.0,26.0615,26.0575,38.9
5,2022-11-01T00:05:00.000000,ftx,FTT-PERP,48.3,26.0175,26.017,37.8
6,2022-11-01T00:06:00.000000,ftx,FTT-PERP,5.3,26.0195,26.019,62.3
7,2022-11-01T00:07:00.000000,ftx,FTT-PERP,21.0,26.0105,26.01,10.0
8,2022-11-01T00:08:00.000000,ftx,FTT-PERP,21.0,26.044,26.0435,1.8
9,2022-11-01T00:09:00.000000,ftx,FTT-PERP,39.4,26.0545,26.0535,67.2
10,2022-11-01T00:10:00.000000,ftx,FTT-PERP,15.0,26.0685,26.064,21.0
11,2022-11-01T00:11:00.000000,ftx,FTT-PERP,19.1,26.0515,26.0495,26.4
12,2022-11-01T00:12:00.000000,ftx,FTT-PERP,21.8,26.1055,26.0995,21.6
13,2022-11-01T00:13:00.000000,ftx,FTT-PERP,21.0,26.111,26.1045,77.0
14,2022-11-01T00:14:00.000000,ftx,FTT-PERP,2.5,26.087,26.083,40.1
15,2022-11-01T00:15:00.000000,ftx,FTT-PERP,1.8,26.091,26.086,21.9
16,2022-11-01T00:16:00.000000,ftx,FTT-PERP,16.7,26.104,26.1,10.0
17,2022-11-01T00:17:00.000000,ftx,FTT-PERP,1.3,26.095,26.0945,21.0
18,2022-11-01T00:18:00.000000,ftx,FTT-PERP,38.8,26.069,26.0655,21.0
19,2022-11-01T00:19:00.000000,ftx,FTT-PERP,21.0,26.0675,26.0655,0.3
20,2022-11-01T00:20:00.000000,ftx,FTT-PERP,0.9,26.081,26.0805,21.0
21,2022-11-01T00:21:00.000000,ftx,FTT-PERP,81.9,26.0715,26.071,0.4
22,2022-11-01T00:22:00.000000,ftx,FTT-PERP,23.0,26.07,26.0645,21.0
23,2022-11-01T00:23:00.000000,ftx,FTT-PERP,19.2,26.056,26.055,21.0
24,2022-11-01T00:24:00.000000,ftx,FTT-PERP,21.0,26.0365,26.0315,110.2
25,2022-11-01T00:25:00.000000,ftx,FTT-PERP,37.9,26.0185,26.018,0.2
26,2022-11-01T00:26:00.000000,ftx,FTT-PERP,12.6,26.0075,26.007,51.7
27,2022-11-01T00:27:00.000000,ftx,FTT-PERP,16.6,26.0265,26.026,35.3
28,2022-11-01T00:28:00.000000,ftx,FTT-PERP,17.4,26.0185,26.0175,0.2
29,2022-11-01T00:29:00.000000,ftx,FTT-PERP,12.3,26.0175,26.017,32.5
30,2022-11-01T00:30:00.000000,ftx,FTT-PERP,15.5,26.011,26.0055,0.3
31,2022-11-01T00:31:00.000000,ftx,FTT-PERP,21.0,26.022,26.017,13.9
32,2022-11-01T00:32:00.000000,ftx,FTT-PERP,22.7,26.0175,26.0165,21.0
33,2022-11-01T00:33:00.000000,ftx,FTT-PERP,15.8,26.0245,26.024,59.3
34,2022-11-01T00:34:00.000000,ftx,FTT-PERP,0.3,26.0395,26.038,1.2
35,2022-11-01T00:35:00.000000,ftx,FTT-PERP,20.0,26.0525,26.0485,13.9
36,2022-11-01T00:36:00.000000,ftx,FTT-PERP,21.0,26.0745,26.07,13.9
37,2022-11-01T00:37:00.000000,ftx,FTT-PERP,81.0,26.089,26.0885,1.2
38,2022-11-01T00:38:00.000000,ftx,FTT-PERP,0.3,26.082,26.081,0.3
39,2022-11-01T00:39:00.000000,ftx,FTT-PERP,21.0,26.1045,26.1005,24.8
40,2022-11-01T00:40:00.000000,ftx,FTT-PERP,21.0,26.102,26.096,21.0
41,2022-11-01T00:41:00.000000,ftx,FTT-PERP,21.0,26.1025,26.097,22.1
42,2022-11-01T00:42:00.000000,ftx,FTT-PERP,0.1,26.1015,26.101,79.4
43,2022-11-01T00:43:00.000000,ftx,FTT-PERP,1.3,26.0975,26.097,21.0
44,2022-11-01T00:44:00.000000,ftx,FTT-PERP,0.2,26.0905,26.09,27.3
45,2022-11-01T00:45:00.000000,ftx,FTT-PERP,0.1,26.104,26.1025,21.0
46,2022-11-01T00:46:00.000000,ftx,FTT-PERP,0.1,26.0925,26.0915,21.0
47,2022-11-01T00:47:00.000000,ftx,FTT-PERP,36.9,26.098,26.0975,23.1
48,2022-11-01T00:48:00.000000,ftx,FTT-PERP,0.2,26.0785,26.078,21.0
49,2022-11-01T00:49:00.000000,ftx,FTT-PERP,21.0,26.0825,26.08,21.0
50,2022-11-01T00:50:00.000000,ftx,FTT-PERP,21.5,26.0835,26.082,21.0
51,2022-11-01T00:51:00.000000,ftx,FTT-PERP,21.0,26.0765,26.076,17.5
52,2022-11-01T00:52:00.000000,ftx,FTT-PERP,19.7,26.0585,26.0575,21.6
53,2022-11-01T00:53:00.000000,ftx,FTT-PERP,27.8,26.0535,26.053,15.1
54,2022-11-01T00:54:00.000000,ftx,FTT-PERP,27.7,26.0535,26.053,50.4
55,2022-11-01T00:55:00.000000,ftx,FTT-PERP,0.1,26.062,26.0615,21.0
56,2022-11-01T00:56:00.000000,ftx,FTT-PERP,21.0,26.0435,26.042,29.4
57,2022-11-01T00:57:00.000000,ftx,FTT-PERP,30.0,26.0475,26.047,2.8
58,2022-11-01T00:58:00.000000,ftx,FTT-PERP,0.1,26.06,26.059,21.5
59,2022-11-01T00:59:00.000000,ftx,FTT-PERP,28.3,26.049,26.048,21.0
60,2022-11-01T01:00:00.000000,ftx,FTT-PERP,5.0,26.08,26.0795,253.1
61,2022-11-01T01:01:00.000000,ftx,FTT-PERP,12.9,26.0625,26.062,107.3
62,2022-11-01T01:02:00.000000,ftx,FTT-PERP,3.4,26.0595,26.059,111.5
63,2022-11-01T01:03:00.000000,ftx,FTT-PERP,0.5,26.07,26.0695,156.2
64,2022-11-01T01:04:00.000000,ftx,FTT-PERP,21.0,26.0865,26.081,19.2
65,2022-11-01T01:05:00.000000,ftx,FTT-PERP,35.2,26.0995,26.097,32.1
66,2022-11-01T01:06:00.000000,ftx,FTT-PERP,49.7,26.0935,26.093,84.6
67,2022-11-01T01:07:00.000000,ftx,FTT-PERP,0.1,26.09,26.0895,51.7
68,2022-11-01T01:08:00.000000,ftx,FTT-PERP,67.5,26.088,26.0875,51.7
69,2022-11-01T01:09:00.000000,ftx,FTT-PERP,53.7,26.092,26.0915,37.6
70,2022-11-01T01:10:00.000000,ftx,FTT-PERP,0.1,26.0975,26.097,35.1
71,2022-11-01T01:11:00.000000,ftx,FTT-PERP,0.2,26.098,26.0975,63.8
72,2022-11-01T01:12:00.000000,ftx,FTT-PERP,21.1,26.1225,26.122,14.9
73,2022-11-01T01:13:00.000000,ftx,FTT-PERP,21.2,26.101,26.1005,31.9
74,2022-11-01T01:14:00.000000,ftx,FTT-PERP,0.7,26.1105,26.1085,28.4
75,2022-11-01T01:15:00.000000,ftx,FTT-PERP,36.5,26.0995,26.0955,11.0
76,2022-11-01T01:16:00.000000,ftx,FTT-PERP,0.1,26.089,26.0885,35.5
77,2022-11-01T01:17:00.000000,ftx,FTT-PERP,0.4,26.0805,26.08,28.1
78,2022-11-01T01:18:00.000000,ftx,FTT-PERP,29.4,26.0835,26.083,30.1
79,2022-11-01T01:19:00.000000,ftx,FTT-PERP,0.4,26.0885,26.088,21.0
80,2022-11-01T01:20:00.000000,ftx,FTT-PERP,5.4,26.055,26.0545,19.9
81,2022-11-01T01:21:00.000000,ftx,FTT-PERP,21.0,26.1555,26.155,0.6
82,2022-11-01T01:22:00.000000,ftx,FTT-PERP,21.0,26.1475,26.147,178.3
83,2022-11-01T01:23:00.000000,ftx,FTT-PERP,8.7,26.145,26.1445,0.1
84,2022-11-01T01:24:00.000000,ftx,FTT-PERP,36.9,26.1635,26.163,9.8
85,2022-11-01T01:25:00.000000,ftx,FTT-PERP,19.4,26.1335,26.1325,6.7
86,2022-11-01T01:26:00.000000,ftx,FTT-PERP,0.2,26.143,26.1385,21.1
87,2022-11-01T01:27:00.000000,ftx,FTT-PERP,21.0,26.1805,26.1735,20.2
88,2022-11-01T01:28:00.000000,ftx,FTT-PERP,0.2,26.181,26.1795,44.6
89,2022-11-01T01:29:00.000000,ftx,FTT-PERP,40.0,26.18,26.179,2.7
90,2022-11-01T01:30:00.000000,ftx,FTT-PERP,3.6,26.1835,26.183,58.3
91,2022-11-01T01:31:00.000000,ftx,FTT-PERP,21.0,26.2105,26.208,13.9
92,2022-11-01T01:32:00.000000,ftx,FTT-PERP,21.1,26.209,26.2085,56.0
93,2022-11-01T01:33:00.000000,ftx,FTT-PERP,21.0,26.2215,26.219,44.0
94,2022-11-01T01:34:00.000000,ftx,FTT-PERP,71.7,26.222,26.2215,0.3
95,2022-11-01T01:35:00.000000,ftx,FTT-PERP,21.0,26.237,26.232,6.0
96,2022-11-01T01:36:00.000000,ftx,FTT-PERP,114.3,26.233,26.2325,0.3
97,2022-11-01T01:37:00.000000,ftx,FTT-PERP,124.5,26.2255,26.2235,28.0
98,2022-11-01T01:38:00.000000,ftx,FTT-PERP,57.7,26.2355,26.235,3.7
99,2022-11-01T01:39:00.000000,ftx,FTT-PERP,26.4,26.2295,26.229,32.6
100,2022-11-01T01:40:00.000000,ftx,FTT-PERP,21.0,26.2285,26.225,25.2
101,2022-11-01T01:41:00.000000,ftx,FTT-PERP,15.6,26.2165,26.215,21.7
102,2022-11-01T01:42:00.000000,ftx,FTT-PERP,21.1,26.2125,26.208,0.1
103,2022-11-01T01:43:00.000000,ftx,FTT-PERP,12.3,26.1975,26.197,170.5
104,2022-11-01T01:44:00.000000,ftx,FTT-PERP,51.7,26.1975,26.197,113.1
105,2022-11-01T01:45:00.000000,ftx,FTT-PERP,51.7,26.198,26.194,14.5
106,2022-11-01T01:46:00.000000,ftx,FTT-PERP,1.8,26.2,26.1995,36.5
107,2022-11-01T01:47:00.000000,ftx,FTT-PERP,21.4,26.1915,26.19,14.1
108,2022-11-01T01:48:00.000000,ftx,FTT-PERP,30.7,26.2005,26.1995,35.3
109,2022-11-01T01:49:00.000000,ftx,FTT-PERP,50.4,26.1855,26.185,1.5
110,2022-11-01T01:50:00.000000,ftx,FTT-PERP,66.1,26.142,26.1415,29.8
111,2022-11-01T01:51:00.000000,ftx,FTT-PERP,30.7,26.136,26.135,115.7
112,2022-11-01T01:52:00.000000,ftx,FTT-PERP,2.0,26.1585,26.158,84.0
113,2022-11-01T01:53:00.000000,ftx,FTT-PERP,25.8,26.15,26.1455,36.5
114,2022-11-01T01:54:00.000000,ftx,FTT-PERP,53.9,26.1525,26.1515,0.1
115,2022-11-01T01:55:00.000000,ftx,FTT-PERP,49.0,26.1475,26.147,72.9
116,2022-11-01T01:56:00.000000,ftx,FTT-PERP,97.0,26.1495,26.149,0.2
117,2022-11-01T01:57:00.000000,ftx,FTT-PERP,40.3,26.149,26.1485,101.3
118,2022-11-01T01:58:00.000000,ftx,FTT-PERP,21.4,26.1475,26.147,59.4
119,2022-11-01T01:59:00.000000,ftx,FTT-PERP,0.2,26.168,26.1665,22.1
120,2022-11-01T02:00:00.000000,ftx,FTT-PERP,0.1,26.16,26.1595,128.9
121,2022-11-01T02:01:00.000000,ftx,FTT-PERP,33.7,26.1775,26.176,36.5
122,2022-11-01T02:02:00.000000,ftx,FTT-PERP,21.0,26.176,26.1685,4.5
123,2022-11-01T02:03:00.000000,ftx,FTT-PERP,86.4,26.146,26.1455,26.2
124,2022-11-01T02:04:00.000000,ftx,FTT-PERP,0.3,26.138,26.1375,41.5
125,2022-11-01T02:05:00.000000,ftx,FTT-PERP,86.3,26.1635,26.163,20.8
126,2022-11-01T02:06:00.000000,ftx,FTT-PERP,21.2,26.1685,26.168,16.8
127,2022-11-01T02:07:00.000000,ftx,FTT-PERP,42.6,26.157,26.1565,54.7
128,2022-11-01T02:08:00.000000,ftx,FTT-PERP,19.1,26.166,26.162,25.2
129,2022-11-01T02:09:00.000000,ftx,FTT-PERP,16.5,26.1595,26.159,45.5
130,2022-11-01T02:10:00.000000,ftx,FTT-PERP,32.2,26.168,26.1665,21.0
131,2022-11-01T02:11:00.000000,ftx,FTT-PERP,104.5,26.1675,26.1665,21.0
132,2022-11-01T02:12:00.000000,ftx,FTT-PERP,27.8,26.16,26.1595,1.8
133,2022-11-01T02:13:00.000000,ftx,FTT-PERP,32.1,26.1595,26.159,85.2
134,2022-11-01T02:14:00.000000,ftx,FTT-PERP,33.7,26.173,26.1725,51.7
135,2022-11-01T02:15:00.000000,ftx,FTT-PERP,62.5,26.164,26.163,4.3
136,2022-11-01T02:16:00.000000,ftx,FTT-PERP,32.4,26.148,26.1465,21.0
137,2022-11-01T02:17:00.000000,ftx,FTT-PERP,49.4,26.1495,26.149,52.6
138,2022-11-01T02:18:00.000000,ftx,FTT-PERP,53.4,26.167,26.1655,52.3
139,2022-11-01T02:19:00.000000,ftx,FTT-PERP,32.6,26.1665,26.166,118.3
140,2022-11-01T02:20:00.000000,ftx,FTT-PERP,40.1,26.1725,26.172,7.8
141,2022-11-01T02:21:00.000000,ftx,FTT-PERP,54.4,26.174,26.1735,2.6
142,2022-11-01T02:22:00.000000,ftx,FTT-PERP,88.2,26.175,26.17,21.7
143,2022-11-01T02:23:00.000000,ftx,FTT-PERP,3.1,26.1635,26.163,106.3
144,2022-11-01T02:24:00.000000,ftx,FTT-PERP,53.6,26.1725,26.172,5.2
145,2022-11-01T02:25:00.000000,ftx,FTT-PERP,32.1,26.1915,26.1905,45.5
