,time,exchange,symbol,ask_amount,ask_price,bid_price,bid_amount
0,2022-11-01T00:00:00.000000,ftx,FTT/USD,23.0,26.093,26.092,0.9
1,2022-11-01T00:01:00.000000,ftx,FTT/USD,109.1,26.034,26.022,0.4
2,2022-11-01T00:02:00.000000,ftx,FTT/USD,121.4,26.043,26.042,494.3
3,2022-11-01T00:03:00.000000,ftx,FTT/USD,48.0,26.04,26.027,23.0
4,2022-11-01T00:04:00.000000,ftx,FTT/USD,23.0,26.069,26.068,536.4
5,2022-11-01T00:05:00.000000,ftx,FTT/USD,0.3,26.024,26.019,0.4
6,2022-11-01T00:06:00.000000,ftx,FTT/USD,0.1,26.03,26.029,142.0
7,2022-11-01T00:07:00.000000,ftx,FTT/USD,217.6,26.021,26.02,0.1
8,2022-11-01T00:08:00.000000,ftx,FTT/USD,88.2,26.056,26.052,0.4
9,2022-11-01T00:09:00.000000,ftx,FTT/USD,110.5,26.066,26.064,81.9
10,2022-11-01T00:10:00.000000,ftx,FTT/USD,0.1,26.076,26.074,0.4
11,2022-11-01T00:11:00.000000,ftx,FTT/USD,76.7,26.062,26.058,0.3
12,2022-11-01T00:12:00.000000,ftx,FTT/USD,220.5,26.117,26.116,0.1
13,2022-11-01T00:13:00.000000,ftx,FTT/USD,0.2,26.12,26.114,20.2
14,2022-11-01T00:14:00.000000,ftx,FTT/USD,0.4,26.1,26.097,23.1
15,2022-11-01T00:15:00.000000,ftx,FTT/USD,23.0,26.1,26.094,0.5
16,2022-11-01T00:16:00.000000,ftx,FTT/USD,0.4,26.111,26.107,0.3
17,2022-11-01T00:17:00.000000,ftx,FTT/USD,24.1,26.106,26.104,23.0
18,2022-11-01T00:18:00.000000,ftx,FTT/USD,19.1,26.076,26.074,0.4
19,2022-11-01T00:19:00.000000,ftx,FTT/USD,23.1,26.077,26.074,0.4
20,2022-11-01T00:20:00.000000,ftx,FTT/USD,23.0,26.092,26.089,0.4
21,2022-11-01T00:21:00.000000,ftx,FTT/USD,23.0,26.081,26.079,23.1
22,2022-11-01T00:22:00.000000,ftx,FTT/USD,23.2,26.076,26.075,23.0
23,2022-11-01T00:23:00.000000,ftx,FTT/USD,19.2,26.07,26.065,23.4
24,2022-11-01T00:24:00.000000,ftx,FTT/USD,121.6,26.049,26.047,4.6
25,2022-11-01T00:25:00.000000,ftx,FTT/USD,23.0,26.029,26.027,0.4
26,2022-11-01T00:26:00.000000,ftx,FTT/USD,23.0,26.024,26.022,0.4
27,2022-11-01T00:27:00.000000,ftx,FTT/USD,0.1,26.04,26.037,0.4
28,2022-11-01T00:28:00.000000,ftx,FTT/USD,188.9,26.029,26.025,0.4
29,2022-11-01T00:29:00.000000,ftx,FTT/USD,23.1,26.03,26.025,0.4
30,2022-11-01T00:30:00.000000,ftx,FTT/USD,23.0,26.021,26.017,23.0
31,2022-11-01T00:31:00.000000,ftx,FTT/USD,0.4,26.03,26.022,24.8
32,2022-11-01T00:32:00.000000,ftx,FTT/USD,19.3,26.032,26.031,103.8
33,2022-11-01T00:33:00.000000,ftx,FTT/USD,160.6,26.04,26.037,23.0
34,2022-11-01T00:34:00.000000,ftx,FTT/USD,23.0,26.051,26.046,23.4
35,2022-11-01T00:35:00.000000,ftx,FTT/USD,45.0,26.067,26.058,61.2
36,2022-11-01T00:36:00.000000,ftx,FTT/USD,180.1,26.087,26.086,35.3
37,2022-11-01T00:37:00.000000,ftx,FTT/USD,22.0,26.099,26.098,169.0
38,2022-11-01T00:38:00.000000,ftx,FTT/USD,23.0,26.094,26.088,0.1
39,2022-11-01T00:39:00.000000,ftx,FTT/USD,0.4,26.114,26.111,0.4
40,2022-11-01T00:40:00.000000,ftx,FTT/USD,192.3,26.111,26.108,23.0
41,2022-11-01T00:41:00.000000,ftx,FTT/USD,19.1,26.108,26.106,63.1
42,2022-11-01T00:42:00.000000,ftx,FTT/USD,0.4,26.114,26.111,23.0
43,2022-11-01T00:43:00.000000,ftx,FTT/USD,760.2,26.103,26.102,45.0
44,2022-11-01T00:44:00.000000,ftx,FTT/USD,23.0,26.108,26.104,0.4
45,2022-11-01T00:45:00.000000,ftx,FTT/USD,23.0,26.117,26.114,64.8
46,2022-11-01T00:46:00.000000,ftx,FTT/USD,131.3,26.105,26.103,170.8
47,2022-11-01T00:47:00.000000,ftx,FTT/USD,19.1,26.106,26.105,23.1
48,2022-11-01T00:48:00.000000,ftx,FTT/USD,19.1,26.088,26.085,23.0
49,2022-11-01T00:49:00.000000,ftx,FTT/USD,23.0,26.09,26.086,23.4
50,2022-11-01T00:50:00.000000,ftx,FTT/USD,23.0,26.091,26.087,0.4
51,2022-11-01T00:51:00.000000,ftx,FTT/USD,23.0,26.082,26.079,0.4
52,2022-11-01T00:52:00.000000,ftx,FTT/USD,269.4,26.072,26.071,0.5
53,2022-11-01T00:53:00.000000,ftx,FTT/USD,41.5,26.065,26.064,0.1
54,2022-11-01T00:54:00.000000,ftx,FTT/USD,19.2,26.064,26.062,23.0
55,2022-11-01T00:55:00.000000,ftx,FTT/USD,10.0,26.071,26.069,42.1
56,2022-11-01T00:56:00.000000,ftx,FTT/USD,23.0,26.054,26.051,23.0
57,2022-11-01T00:57:00.000000,ftx,FTT/USD,23.0,26.057,26.056,23.0
58,2022-11-01T00:58:00.000000,ftx,FTT/USD,0.1,26.065,26.064,45.0
59,2022-11-01T00:59:00.000000,ftx,FTT/USD,23.0,26.059,26.056,23.0
60,2022-11-01T01:00:00.000000,ftx,FTT/USD,0.2,26.085,26.084,375.4
61,2022-11-01T01:01:00.000000,ftx,FTT/USD,0.4,26.071,26.067,23.1
62,2022-11-01T01:02:00.000000,ftx,FTT/USD,23.0,26.067,26.065,23.0
63,2022-11-01T01:03:00.000000,ftx,FTT/USD,23.0,26.081,26.076,0.4
64,2022-11-01T01:04:00.000000,ftx,FTT/USD,24.0,26.086,26.084,0.4
65,2022-11-01T01:05:00.000000,ftx,FTT/USD,0.3,26.097,26.094,0.1
66,2022-11-01T01:06:00.000000,ftx,FTT/USD,104.4,26.091,26.09,269.2
67,2022-11-01T01:07:00.000000,ftx,FTT/USD,93.5,26.087,26.084,23.0
68,2022-11-01T01:08:00.000000,ftx,FTT/USD,159.6,26.087,26.086,23.0
69,2022-11-01T01:09:00.000000,ftx,FTT/USD,64.2,26.087,26.086,173.0
70,2022-11-01T01:10:00.000000,ftx,FTT/USD,2.0,26.098,26.095,23.0
71,2022-11-01T01:11:00.000000,ftx,FTT/USD,169.1,26.097,26.096,23.2
72,2022-11-01T01:12:00.000000,ftx,FTT/USD,23.0,26.122,26.118,23.0
73,2022-11-01T01:13:00.000000,ftx,FTT/USD,45.0,26.102,26.095,19.1
74,2022-11-01T01:14:00.000000,ftx,FTT/USD,23.0,26.105,26.102,0.1
75,2022-11-01T01:15:00.000000,ftx,FTT/USD,23.0,26.095,26.092,1.0
76,2022-11-01T01:16:00.000000,ftx,FTT/USD,97.4,26.087,26.085,23.2
77,2022-11-01T01:17:00.000000,ftx,FTT/USD,0.1,26.078,26.076,42.1
78,2022-11-01T01:18:00.000000,ftx,FTT/USD,15.3,26.08,26.078,23.0
79,2022-11-01T01:19:00.000000,ftx,FTT/USD,23.0,26.086,26.083,23.0
80,2022-11-01T01:20:00.000000,ftx,FTT/USD,10.1,26.065,26.06,0.4
81,2022-11-01T01:21:00.000000,ftx,FTT/USD,42.1,26.166,26.165,2.0
82,2022-11-01T01:22:00.000000,ftx,FTT/USD,23.0,26.159,26.154,0.5
83,2022-11-01T01:23:00.000000,ftx,FTT/USD,23.0,26.156,26.154,0.1
84,2022-11-01T01:24:00.000000,ftx,FTT/USD,23.7,26.174,26.172,0.4
85,2022-11-01T01:25:00.000000,ftx,FTT/USD,39.4,26.155,26.153,0.2
86,2022-11-01T01:26:00.000000,ftx,FTT/USD,0.4,26.153,26.151,23.1
87,2022-11-01T01:27:00.000000,ftx,FTT/USD,23.0,26.193,26.187,39.6
88,2022-11-01T01:28:00.000000,ftx,FTT/USD,42.0,26.194,26.191,37.7
89,2022-11-01T01:29:00.000000,ftx,FTT/USD,23.0,26.192,26.189,0.1
90,2022-11-01T01:30:00.000000,ftx,FTT/USD,23.0,26.197,26.193,23.0
91,2022-11-01T01:31:00.000000,ftx,FTT/USD,23.0,26.219,26.216,0.4
92,2022-11-01T01:32:00.000000,ftx,FTT/USD,23.0,26.217,26.216,0.1
93,2022-11-01T01:33:00.000000,ftx,FTT/USD,1.5,26.227,26.226,0.1
94,2022-11-01T01:34:00.000000,ftx,FTT/USD,23.0,26.226,26.224,0.5
95,2022-11-01T01:35:00.000000,ftx,FTT/USD,23.0,26.234,26.233,0.1
96,2022-11-01T01:36:00.000000,ftx,FTT/USD,0.3,26.232,26.229,0.4
97,2022-11-01T01:37:00.000000,ftx,FTT/USD,0.1,26.223,26.222,0.4
98,2022-11-01T01:38:00.000000,ftx,FTT/USD,21.2,26.231,26.228,0.5
99,2022-11-01T01:39:00.000000,ftx,FTT/USD,43.5,26.224,26.22,23.2
100,2022-11-01T01:40:00.000000,ftx,FTT/USD,19.2,26.222,26.217,0.4
101,2022-11-01T01:41:00.000000,ftx,FTT/USD,23.0,26.215,26.212,6.3
102,2022-11-01T01:42:00.000000,ftx,FTT/USD,0.4,26.211,26.201,23.3
103,2022-11-01T01:43:00.000000,ftx,FTT/USD,23.0,26.199,26.193,23.4
104,2022-11-01T01:44:00.000000,ftx,FTT/USD,22.2,26.194,26.189,23.4
105,2022-11-01T01:45:00.000000,ftx,FTT/USD,23.1,26.193,26.188,0.4
106,2022-11-01T01:46:00.000000,ftx,FTT/USD,23.0,26.195,26.193,0.4
107,2022-11-01T01:47:00.000000,ftx,FTT/USD,42.4,26.187,26.182,23.3
108,2022-11-01T01:48:00.000000,ftx,FTT/USD,0.3,26.192,26.19,0.4
109,2022-11-01T01:49:00.000000,ftx,FTT/USD,40.5,26.183,26.182,0.3
110,2022-11-01T01:50:00.000000,ftx,FTT/USD,23.0,26.147,26.143,0.4
111,2022-11-01T01:51:00.000000,ftx,FTT/USD,19.2,26.14,26.139,23.0
112,2022-11-01T01:52:00.000000,ftx,FTT/USD,0.3,26.163,26.162,23.0
113,2022-11-01T01:53:00.000000,ftx,FTT/USD,53.4,26.162,26.161,135.3
114,2022-11-01T01:54:00.000000,ftx,FTT/USD,23.0,26.162,26.161,138.0
115,2022-11-01T01:55:00.000000,ftx,FTT/USD,0.1,26.156,26.155,23.0
116,2022-11-01T01:56:00.000000,ftx,FTT/USD,269.6,26.157,26.156,23.0
117,2022-11-01T01:57:00.000000,ftx,FTT/USD,23.0,26.156,26.155,23.0
118,2022-11-01T01:58:00.000000,ftx,FTT/USD,23.0,26.153,26.151,23.0
119,2022-11-01T01:59:00.000000,ftx,FTT/USD,17.3,26.177,26.174,23.0
120,2022-11-01T02:00:00.000000,ftx,FTT/USD,0.4,26.171,26.167,23.0
121,2022-11-01T02:01:00.000000,ftx,FTT/USD,0.3,26.185,26.182,0.4
122,2022-11-01T02:02:00.000000,ftx,FTT/USD,23.0,26.183,26.179,23.0
123,2022-11-01T02:03:00.000000,ftx,FTT/USD,23.0,26.154,26.153,146.6
124,2022-11-01T02:04:00.000000,ftx,FTT/USD,94.8,26.148,26.147,152.0
125,2022-11-01T02:05:00.000000,ftx,FTT/USD,30.6,26.17,26.168,23.0
126,2022-11-01T02:06:00.000000,ftx,FTT/USD,7.5,26.17,26.169,173.7
127,2022-11-01T02:07:00.000000,ftx,FTT/USD,0.1,26.164,26.162,47.2
128,2022-11-01T02:08:00.000000,ftx,FTT/USD,19.1,26.172,26.17,23.1
