,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,gate-io,BTC_USDT,1667260859807676,2022-11-01T00:00:00.000000,20473.6,20474.4,0.0211,3.2884,3.0743,4.8611
1,gate-io,BTC_USDT,1667260919836799,2022-11-01T00:01:00.000000,20469.2,20471.1,0.0835,3.3845,1.1901999999999997,5.175199999999999
2,gate-io,BTC_USDT,1667260979807603,2022-11-01T00:02:00.000000,20467.1,20469.0,0.0208,8.209500000000002,1.2807000000000002,5.454199999999999
3,gate-io,BTC_USDT,1667261039808456,2022-11-01T00:03:00.000000,20474.3,20474.4,1.8194,7.171399999999999,1.0128,1.2711
4,gate-io,BTC_USDT,1667261099817023,2022-11-01T00:04:00.000000,20478.1,20479.4,1.2205,5.8437,0.0809,3.3816000000000006
5,gate-io,BTC_USDT,1667261159832758,2022-11-01T00:05:00.000000,20461.3,20462.2,0.0794,5.7094000000000005,0.2157,4.594999999999999
6,gate-io,BTC_USDT,1667261219816755,2022-11-01T00:06:00.000000,20460.9,20461.8,0.1364,5.022399999999999,0.4465,4.9029
7,gate-io,BTC_USDT,1667261279833359,2022-11-01T00:07:00.000000,20457.5,20458.0,0.4094,6.7142,1.9365,6.110299999999999
8,gate-io,BTC_USDT,1667261339811374,2022-11-01T00:08:00.000000,20466.4,20466.8,1.2803,5.1115,0.0853,0.5419
9,gate-io,BTC_USDT,1667261399808221,2022-11-01T00:09:00.000000,20468.4,20469.4,0.6344,4.3413,0.0159999999999999,0.494
10,gate-io,BTC_USDT,1667261459809838,2022-11-01T00:10:00.000000,20471.7,20474.9,1.3098999999999998,4.067,0.0793,3.2033
11,gate-io,BTC_USDT,1667261519808115,2022-11-01T00:11:00.000000,20469.1,20469.8,0.0863,2.0090000000000003,1.8742,5.962100000000001
12,gate-io,BTC_USDT,1667261579808104,2022-11-01T00:12:00.000000,20496.4,20497.0,0.6402,4.473000000000001,0.0133999999999999,2.4767
13,gate-io,BTC_USDT,1667261639833653,2022-11-01T00:13:00.000000,20492.2,20494.6,3.1081000000000003,7.8289,0.1966,4.503900000000001
