,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,gate-io,SOL_USDT,1667260859652407,2022-11-01T00:00:00.000000,32.53105,32.53933,225.81,1281.72,556.0500000000001,1831.54
1,gate-io,SOL_USDT,1667260919966741,2022-11-01T00:01:00.000000,32.54209,32.55312,938.69,1441.79,191.08,1948.3
2,gate-io,SOL_USDT,1667260979675584,2022-11-01T00:02:00.000000,32.53104,32.54206,397.9500000000001,1505.36,644.0,1777.12
3,gate-io,SOL_USDT,1667261039101771,2022-11-01T00:03:00.000000,32.56415,32.57519,274.46000000000004,1421.45,320.23,1515.11
4,gate-io,SOL_USDT,1667261099656642,2022-11-01T00:04:00.000000,32.57519,32.58624,732.44,1925.6800000000003,233.28,1531.2400000000002
5,gate-io,SOL_USDT,1667261159497023,2022-11-01T00:05:00.000000,32.5531,32.5611,414.34,1748.7099999999998,816.06,1566.16
6,gate-io,SOL_USDT,1667261217575614,2022-11-01T00:06:00.000000,32.5317,32.53544,890.8299999999999,1539.6,337.12999999999994,1485.7699999999998
7,gate-io,SOL_USDT,1667261279515151,2022-11-01T00:07:00.000000,32.52398,32.53411,456.75,1441.8399999999997,651.4000000000001,1978.43
8,gate-io,SOL_USDT,1667261339589942,2022-11-01T00:08:00.000000,32.55707,32.56739,414.69000000000005,1700.1500000000003,605.24,1935.4600000000005
9,gate-io,SOL_USDT,1667261399474535,2022-11-01T00:09:00.000000,32.56811,32.57729,190.64,1542.28,697.9700000000001,1659.7800000000002
10,gate-io,SOL_USDT,1667261459523159,2022-11-01T00:10:00.000000,32.56811,32.57254,672.69,1619.16,257.6,1508.36
11,gate-io,SOL_USDT,1667261518560655,2022-11-01T00:11:00.000000,32.55044,32.56148,329.86999999999995,1561.61,225.04,1164.37
12,gate-io,SOL_USDT,1667261579534963,2022-11-01T00:12:00.000000,32.63893,32.65001,142.31,1466.14,218.75,1305.6999999999998
13,gate-io,SOL_USDT,1667261639554200,2022-11-01T00:13:00.000000,32.6722,32.6833,635.8499999999999,1516.18,258.26,1752.55
14,gate-io,SOL_USDT,1667261699991237,2022-11-01T00:14:00.000000,32.66109,32.66695,279.52,1647.99,206.78000000000003,1215.0499999999995
15,gate-io,SOL_USDT,1667261759096493,2022-11-01T00:15:00.000000,32.67221,32.6833,820.47,1761.17,235.98,1369.2299999999996
16,gate-io,SOL_USDT,1667261819567797,2022-11-01T00:16:00.000000,32.67218,32.6833,188.19,1665.0899999999997,725.2,2157.98
17,gate-io,SOL_USDT,1667261879958326,2022-11-01T00:17:00.000000,32.66886,32.67996,897.8499999999998,2126.0499999999997,256.41,1631.4699999999998
18,gate-io,SOL_USDT,1667261939956702,2022-11-01T00:18:00.000000,32.65776,32.66886,357.08000000000004,1576.54,217.82,1761.2199999999998
19,gate-io,SOL_USDT,1667261999556201,2022-11-01T00:19:00.000000,32.66885,32.67995,162.56,1288.4899999999998,564.7900000000001,1803.26
20,gate-io,SOL_USDT,1667262059548943,2022-11-01T00:20:00.000000,32.70265,32.71329,676.43,1558.88,209.39,1574.9499999999998
21,gate-io,SOL_USDT,1667262119948405,2022-11-01T00:21:00.000000,32.72441,32.73232,422.95,1526.5099999999998,305.814,1581.494
22,gate-io,SOL_USDT,1667262179528111,2022-11-01T00:22:00.000000,32.71996,32.73109,427.98,1419.58,327.3639999999999,1373.454
23,gate-io,SOL_USDT,1667262239971176,2022-11-01T00:23:00.000000,32.69771,32.70884,427.54,1671.3300000000002,201.95,1586.5739999999998
24,gate-io,SOL_USDT,1667262299579566,2022-11-01T00:24:00.000000,32.67549,32.68589,315.72,1963.55,633.4199999999998,1712.3239999999998
25,gate-io,SOL_USDT,1667262359465853,2022-11-01T00:25:00.000000,32.63074,32.64181,177.17,1369.0400000000002,766.41,1620.93
26,gate-io,SOL_USDT,1667262419540898,2022-11-01T00:26:00.000000,32.61969,32.63075,148.32,1368.35,375.134,1285.6540000000002
27,gate-io,SOL_USDT,1667262479463319,2022-11-01T00:27:00.000000,32.64848,32.65953,800.4500000000002,1414.2800000000004,240.02,1633.5199999999998
28,gate-io,SOL_USDT,1667262539550073,2022-11-01T00:28:00.000000,32.64292,32.65349,121.63,1184.5500000000002,743.41,1946.1
29,gate-io,SOL_USDT,1667262598478841,2022-11-01T00:29:00.000000,32.63184,32.64292,272.11000000000007,1179.43,190.53,1296.51
30,gate-io,SOL_USDT,1667262659498183,2022-11-01T00:30:00.000000,32.61209,32.62077,376.05,1436.32,378.49,1569.03
31,gate-io,SOL_USDT,1667262719512894,2022-11-01T00:31:00.000000,32.59866,32.60971,605.27,1632.2700000000004,224.28,1544.93
