,exchange,symbol,timestamp,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25
0,okex-swap,BTC-USDT-SWAP,1667260859995000,2022-11-01T00:00:00.000000,20475.1,20475.2,383.0,1324.0,3332.0,4456.0
1,okex-swap,BTC-USDT-SWAP,1667260919995000,2022-11-01T00:01:00.000000,20469.0,20469.1,1625.0,3057.0,102.0,1577.0
2,okex-swap,BTC-USDT-SWAP,1667260979995000,2022-11-01T00:02:00.000000,20466.5,20466.6,1194.0,2513.0,1776.0,2852.0
3,okex-swap,BTC-USDT-SWAP,1667261039995000,2022-11-01T00:03:00.000000,20476.9,20477.0,268.0,1590.0,4668.0,6631.0
4,okex-swap,BTC-USDT-SWAP,1667261099995000,2022-11-01T00:04:00.000000,20476.8,20476.9,1905.0,2959.0,1246.0,2445.0
5,okex-swap,BTC-USDT-SWAP,1667261159995000,2022-11-01T00:05:00.000000,20460.2,20460.3,3735.0,4924.0,649.0,1843.0
6,okex-swap,BTC-USDT-SWAP,1667261219995000,2022-11-01T00:06:00.000000,20461.5,20461.6,1777.0,3394.0,3987.0,5032.0
7,okex-swap,BTC-USDT-SWAP,1667261279995000,2022-11-01T00:07:00.000000,20458.3,20458.4,381.0,2333.0,5107.0,6735.0
8,okex-swap,BTC-USDT-SWAP,1667261339945000,2022-11-01T00:08:00.000000,20464.9,20465.0,968.0,2778.0,1598.0,3154.0
9,okex-swap,BTC-USDT-SWAP,1667261399924000,2022-11-01T00:09:00.000000,20468.6,20468.7,593.0,2034.0,2823.0,4188.0
10,okex-swap,BTC-USDT-SWAP,1667261459994000,2022-11-01T00:10:00.000000,20472.5,20472.6,1125.0,2808.0,1756.0,3427.0
11,okex-swap,BTC-USDT-SWAP,1667261519974000,2022-11-01T00:11:00.000000,20467.4,20467.5,1604.0,3303.0,1481.0,3037.0
12,okex-swap,BTC-USDT-SWAP,1667261579994000,2022-11-01T00:12:00.000000,20497.4,20497.5,70.0,1949.0,5782.0,8002.0
13,okex-swap,BTC-USDT-SWAP,1667261639994000,2022-11-01T00:13:00.000000,20489.9,20490.0,2218.0,3505.0,2829.0,4534.0
14,okex-swap,BTC-USDT-SWAP,1667261699994000,2022-11-01T00:14:00.000000,20485.0,20485.1,1833.0,3306.0,841.0,2740.0
15,okex-swap,BTC-USDT-SWAP,1667261759984000,2022-11-01T00:15:00.000000,20483.9,20484.0,311.0,1424.0,3163.0,5320.0
16,okex-swap,BTC-USDT-SWAP,1667261819954000,2022-11-01T00:16:00.000000,20484.4,20484.5,1066.0,1982.0,3753.0,5383.0
17,okex-swap,BTC-USDT-SWAP,1667261879994000,2022-11-01T00:17:00.000000,20483.6,20483.7,428.0,1670.0,2212.0,4653.0
18,okex-swap,BTC-USDT-SWAP,1667261939894000,2022-11-01T00:18:00.000000,20475.3,20475.4,1270.0,2685.0,1394.0,3247.0
19,okex-swap,BTC-USDT-SWAP,1667261999994000,2022-11-01T00:19:00.000000,20474.9,20475.0,377.0,2439.0,2796.0,3840.0
20,okex-swap,BTC-USDT-SWAP,1667262059984000,2022-11-01T00:20:00.000000,20478.4,20478.5,5714.0,6962.0,384.0,2477.0
21,okex-swap,BTC-USDT-SWAP,1667262119994000,2022-11-01T00:21:00.000000,20480.7,20480.8,742.0,2178.0,2445.0,4407.0
22,okex-swap,BTC-USDT-SWAP,1667262179944000,2022-11-01T00:22:00.000000,20477.6,20477.7,119.0,1344.0,5260.0,7298.0
23,okex-swap,BTC-USDT-SWAP,1667262239994000,2022-11-01T00:23:00.000000,20474.5,20474.6,2366.0,4251.0,1203.0,3301.0
