,market_comparison,Shift,Correlation
0,binance-futures/BTCUSDT - binance/BTCUSDT,-20,-0.0019064574866765425
1,binance-futures/BTCUSDT - binance/BTCUSDT,-19,-0.015049663831631501
2,binance-futures/BTCUSDT - binance/BTCUSDT,-18,-0.015157515093133497
3,binance-futures/BTCUSDT - binance/BTCUSDT,-17,0.00024035973762296932
4,binance-futures/BTCUSDT - binance/BTCUSDT,-16,-0.001261901969109791
5,binance-futures/BTCUSDT - binance/BTCUSDT,-15,0.017113075336126084
6,binance-futures/BTCUSDT - binance/BTCUSDT,-14,-0.004777974693650794
7,binance-futures/BTCUSDT - binance/BTCUSDT,-13,-0.020287099926698377
8,binance-futures/BTCUSDT - binance/BTCUSDT,-12,0.010338650416139286
9,binance-futures/BTCUSDT - binance/BTCUSDT,-11,0.01985651828486952
10,binance-futures/BTCUSDT - binance/BTCUSDT,-10,0.015569608462648194
11,binance-futures/BTCUSDT - binance/BTCUSDT,-9,-0.021209970650763417
12,binance-futures/BTCUSDT - binance/BTCUSDT,-8,-0.0293813654758536
13,binance-futures/BTCUSDT - binance/BTCUSDT,-7,0.01387555301417387
14,binance-futures/BTCUSDT - binance/BTCUSDT,-6,-0.03238517664231012
15,binance-futures/BTCUSDT - binance/BTCUSDT,-5,-0.02171347614562832
16,binance-futures/BTCUSDT - binance/BTCUSDT,-4,-0.006796173070130928
17,binance-futures/BTCUSDT - binance/BTCUSDT,-3,-0.013579345741032887
18,binance-futures/BTCUSDT - binance/BTCUSDT,-2,-0.04327982195799068
19,binance-futures/BTCUSDT - binance/BTCUSDT,-1,0.19517199732304344
20,binance-futures/BTCUSDT - binance/BTCUSDT,0,0.9866918535128574
21,binance-futures/BTCUSDT - binance/BTCUSDT,1,0.25727763230910966
22,binance-futures/BTCUSDT - binance/BTCUSDT,2,-0.019524131408133243
23,binance-futures/BTCUSDT - binance/BTCUSDT,3,-0.013632200573615505
24,binance-futures/BTCUSDT - binance/BTCUSDT,4,-0.008490372741191767
25,binance-futures/BTCUSDT - binance/BTCUSDT,5,-0.017944738483778058
26,binance-futures/BTCUSDT - binance/BTCUSDT,6,-0.03333083815840271
27,binance-futures/BTCUSDT - binance/BTCUSDT,7,0.01379962095977702
28,binance-futures/BTCUSDT - binance/BTCUSDT,8,-0.0326797455019673
29,binance-futures/BTCUSDT - binance/BTCUSDT,9,-0.02227069681703129
30,binance-futures/BTCUSDT - binance/BTCUSDT,10,0.012326551883434452
31,binance-futures/BTCUSDT - binance/BTCUSDT,11,0.018264273373476598
32,binance-futures/BTCUSDT - binance/BTCUSDT,12,0.021543218373452213
33,binance-futures/BTCUSDT - binance/BTCUSDT,13,-0.016065614345763948
34,binance-futures/BTCUSDT - binance/BTCUSDT,14,-0.009689385631954614
35,binance-futures/BTCUSDT - binance/BTCUSDT,15,0.014258661173573979
36,binance-futures/BTCUSDT - binance/BTCUSDT,16,0.004097197793047317
37,binance-futures/BTCUSDT - binance/BTCUSDT,17,0.001379080725739865
38,binance-futures/BTCUSDT - binance/BTCUSDT,18,-0.01729828468344653
39,binance-futures/BTCUSDT - binance/BTCUSDT,19,-0.015257104011919714
40,binance-futures/BTCUSDT - binance/BTCUSDT,20,-0.007065558269781015
41,binance-futures/BTCUSDT - bitstamp/BTCUSD,-20,-0.003788048234672093
42,binance-futures/BTCUSDT - bitstamp/BTCUSD,-19,-0.011318262253846903
43,binance-futures/BTCUSDT - bitstamp/BTCUSD,-18,-0.019851736045709126
44,binance-futures/BTCUSDT - bitstamp/BTCUSD,-17,-0.003815667701384851
45,binance-futures/BTCUSDT - bitstamp/BTCUSD,-16,0.006195997593285487
46,binance-futures/BTCUSDT - bitstamp/BTCUSD,-15,0.013393013189922016
47,binance-futures/BTCUSDT - bitstamp/BTCUSD,-14,-0.005685614212303655
48,binance-futures/BTCUSDT - bitstamp/BTCUSD,-13,-0.02104523753626221
49,binance-futures/BTCUSDT - bitstamp/BTCUSD,-12,0.017720050300058816
50,binance-futures/BTCUSDT - bitstamp/BTCUSD,-11,0.018493803817081107
51,binance-futures/BTCUSDT - bitstamp/BTCUSD,-10,0.015671683006527597
52,binance-futures/BTCUSDT - bitstamp/BTCUSD,-9,-0.02252547895905051
53,binance-futures/BTCUSDT - bitstamp/BTCUSD,-8,-0.023013889902405944
54,binance-futures/BTCUSDT - bitstamp/BTCUSD,-7,0.008645639417865175
55,binance-futures/BTCUSDT - bitstamp/BTCUSD,-6,-0.027851428003882007
56,binance-futures/BTCUSDT - bitstamp/BTCUSD,-5,-0.007759806479614014
57,binance-futures/BTCUSDT - bitstamp/BTCUSD,-4,-0.006343696163527924
58,binance-futures/BTCUSDT - bitstamp/BTCUSD,-3,-0.021313153572000382
59,binance-futures/BTCUSDT - bitstamp/BTCUSD,-2,-0.03971717686991877
60,binance-futures/BTCUSDT - bitstamp/BTCUSD,-1,0.17078594107167475
61,binance-futures/BTCUSDT - bitstamp/BTCUSD,0,0.8456713973947881
62,binance-futures/BTCUSDT - bitstamp/BTCUSD,1,0.24031289521239854
63,binance-futures/BTCUSDT - bitstamp/BTCUSD,2,-0.01289881564782208
64,binance-futures/BTCUSDT - bitstamp/BTCUSD,3,-0.016452867244169653
65,binance-futures/BTCUSDT - bitstamp/BTCUSD,4,0.004166798022205213
66,binance-futures/BTCUSDT - bitstamp/BTCUSD,5,-0.0032027824755052323
67,binance-futures/BTCUSDT - bitstamp/BTCUSD,6,-0.030105209217777703
68,binance-futures/BTCUSDT - bitstamp/BTCUSD,7,0.0043799745695537
69,binance-futures/BTCUSDT - bitstamp/BTCUSD,8,-0.027824882127128643
70,binance-futures/BTCUSDT - bitstamp/BTCUSD,9,-0.01057131900516415
71,binance-futures/BTCUSDT - bitstamp/BTCUSD,10,0.013045874392250478
72,binance-futures/BTCUSDT - bitstamp/BTCUSD,11,0.020571362087748204
73,binance-futures/BTCUSDT - bitstamp/BTCUSD,12,0.013795680925447786
74,binance-futures/BTCUSDT - bitstamp/BTCUSD,13,-0.01012479444742432
75,binance-futures/BTCUSDT - bitstamp/BTCUSD,14,-0.007298525032276547
76,binance-futures/BTCUSDT - bitstamp/BTCUSD,15,0.010194806754414004
77,binance-futures/BTCUSDT - bitstamp/BTCUSD,16,0.0035377268543972124
78,binance-futures/BTCUSDT - bitstamp/BTCUSD,17,0.0032005018507859783
