,market_comparison,Shift,Correlation
0,binance-futures/ETHUSDT - binance/ETHUSDT,-20,0.0032387608045895367
1,binance-futures/ETHUSDT - binance/ETHUSDT,-19,-0.0130759634949458
2,binance-futures/ETHUSDT - binance/ETHUSDT,-18,-0.007776753684241034
3,binance-futures/ETHUSDT - binance/ETHUSDT,-17,-0.0038626876218431027
4,binance-futures/ETHUSDT - binance/ETHUSDT,-16,-0.007543709266255326
5,binance-futures/ETHUSDT - binance/ETHUSDT,-15,0.008149648017893127
6,binance-futures/ETHUSDT - binance/ETHUSDT,-14,0.005710387441184639
7,binance-futures/ETHUSDT - binance/ETHUSDT,-13,-0.0023180950631840596
8,binance-futures/ETHUSDT - binance/ETHUSDT,-12,-0.002017730117715301
9,binance-futures/ETHUSDT - binance/ETHUSDT,-11,0.013678670183444179
10,binance-futures/ETHUSDT - binance/ETHUSDT,-10,0.015297254144047883
11,binance-futures/ETHUSDT - binance/ETHUSDT,-9,-0.007423820037785155
12,binance-futures/ETHUSDT - binance/ETHUSDT,-8,-0.018410851606986717
13,binance-futures/ETHUSDT - binance/ETHUSDT,-7,0.007524936708415222
14,binance-futures/ETHUSDT - binance/ETHUSDT,-6,-0.02027680215374211
15,binance-futures/ETHUSDT - binance/ETHUSDT,-5,-0.023820355581564985
16,binance-futures/ETHUSDT - binance/ETHUSDT,-4,0.004529417287830901
17,binance-futures/ETHUSDT - binance/ETHUSDT,-3,0.00016351825265707408
18,binance-futures/ETHUSDT - binance/ETHUSDT,-2,-0.027661087717018255
19,binance-futures/ETHUSDT - binance/ETHUSDT,-1,0.16661435070911487
20,binance-futures/ETHUSDT - binance/ETHUSDT,0,0.980711410295659
21,binance-futures/ETHUSDT - binance/ETHUSDT,1,0.22730039722000653
22,binance-futures/ETHUSDT - binance/ETHUSDT,2,-0.023706562175297072
23,binance-futures/ETHUSDT - binance/ETHUSDT,3,0.0009688697822268603
24,binance-futures/ETHUSDT - binance/ETHUSDT,4,0.008071305076317375
25,binance-futures/ETHUSDT - binance/ETHUSDT,5,-0.019443640007936684
26,binance-futures/ETHUSDT - binance/ETHUSDT,6,-0.02267387518642069
27,binance-futures/ETHUSDT - binance/ETHUSDT,7,0.007722010939957466
28,binance-futures/ETHUSDT - binance/ETHUSDT,8,-0.017888427143140862
29,binance-futures/ETHUSDT - binance/ETHUSDT,9,-0.00981683549345701
30,binance-futures/ETHUSDT - binance/ETHUSDT,10,0.0133308348815804
31,binance-futures/ETHUSDT - binance/ETHUSDT,11,0.015245595413578807
32,binance-futures/ETHUSDT - binance/ETHUSDT,12,0.008397762011618475
33,binance-futures/ETHUSDT - binance/ETHUSDT,13,-0.00954846696059453
34,binance-futures/ETHUSDT - binance/ETHUSDT,14,0.003696646204506507
35,binance-futures/ETHUSDT - binance/ETHUSDT,15,0.007174851391057855
36,binance-futures/ETHUSDT - binance/ETHUSDT,16,-0.009637131623030266
37,binance-futures/ETHUSDT - binance/ETHUSDT,17,0.00117480038558613
38,binance-futures/ETHUSDT - binance/ETHUSDT,18,-0.012391153737641589
39,binance-futures/ETHUSDT - binance/ETHUSDT,19,-0.01832761971280453
40,binance-futures/ETHUSDT - binance/ETHUSDT,20,-0.0011558775487772348
41,binance-futures/ETHUSDT - bitstamp/ETHUSD,-20,-0.002627352992712375
42,binance-futures/ETHUSDT - bitstamp/ETHUSD,-19,-0.01559414127788105
43,binance-futures/ETHUSDT - bitstamp/ETHUSD,-18,-0.00022089368282073634
44,binance-futures/ETHUSDT - bitstamp/ETHUSD,-17,-0.005919622593234293
45,binance-futures/ETHUSDT - bitstamp/ETHUSD,-16,-0.01229324311685863
46,binance-futures/ETHUSDT - bitstamp/ETHUSD,-15,0.010502733000900719
47,binance-futures/ETHUSDT - bitstamp/ETHUSD,-14,0.009897033586671995
48,binance-futures/ETHUSDT - bitstamp/ETHUSD,-13,-0.014391962889177367
49,binance-futures/ETHUSDT - bitstamp/ETHUSD,-12,0.007820053195803513
50,binance-futures/ETHUSDT - bitstamp/ETHUSD,-11,0.015965950200161314
