,market_comparison,Shift,Correlation
0,binance-futures/FTTUSDT - binance/FTTUSDT,-20,-0.034033718116871045
1,binance-futures/FTTUSDT - binance/FTTUSDT,-19,-0.01766524609383034
2,binance-futures/FTTUSDT - binance/FTTUSDT,-18,0.018032694956303757
3,binance-futures/FTTUSDT - binance/FTTUSDT,-17,0.01998586270975011
4,binance-futures/FTTUSDT - binance/FTTUSDT,-16,0.02693395096626058
5,binance-futures/FTTUSDT - binance/FTTUSDT,-15,-0.011961939817581474
6,binance-futures/FTTUSDT - binance/FTTUSDT,-14,-0.010312724175638251
7,binance-futures/FTTUSDT - binance/FTTUSDT,-13,-0.011023682413037148
8,binance-futures/FTTUSDT - binance/FTTUSDT,-12,0.0102038094801383
9,binance-futures/FTTUSDT - binance/FTTUSDT,-11,0.037627015377425965
10,binance-futures/FTTUSDT - binance/FTTUSDT,-10,0.02489157951485459
11,binance-futures/FTTUSDT - binance/FTTUSDT,-9,-0.02954904036633031
12,binance-futures/FTTUSDT - binance/FTTUSDT,-8,-0.04691181295907055
13,binance-futures/FTTUSDT - binance/FTTUSDT,-7,-0.0016017571903349113
14,binance-futures/FTTUSDT - binance/FTTUSDT,-6,0.019916820227909672
15,binance-futures/FTTUSDT - binance/FTTUSDT,-5,0.05535103095883883
16,binance-futures/FTTUSDT - binance/FTTUSDT,-4,-0.0011405777645660685
17,binance-futures/FTTUSDT - binance/FTTUSDT,-3,-0.0003045545245113479
18,binance-futures/FTTUSDT - binance/FTTUSDT,-2,-0.0195346943459364
19,binance-futures/FTTUSDT - binance/FTTUSDT,-1,0.21173668416770167
20,binance-futures/FTTUSDT - binance/FTTUSDT,0,0.9193994232679126
21,binance-futures/FTTUSDT - binance/FTTUSDT,1,0.23247303239057032
22,binance-futures/FTTUSDT - binance/FTTUSDT,2,-0.010568240525761748
23,binance-futures/FTTUSDT - binance/FTTUSDT,3,-0.001713170198432296
24,binance-futures/FTTUSDT - binance/FTTUSDT,4,0.01082545730097021
25,binance-futures/FTTUSDT - binance/FTTUSDT,5,0.057334825967309336
