,market_comparison,Shift,Correlation
0,binance-futures/SOLUSDT - binance/SOLUSDT,-20,0.009110189132500853
1,binance-futures/SOLUSDT - binance/SOLUSDT,-19,-0.019206315852023398
2,binance-futures/SOLUSDT - binance/SOLUSDT,-18,-0.02176825420673566
3,binance-futures/SOLUSDT - binance/SOLUSDT,-17,0.006711230258484848
4,binance-futures/SOLUSDT - binance/SOLUSDT,-16,0.021703661821115515
5,binance-futures/SOLUSDT - binance/SOLUSDT,-15,0.024273100578362773
6,binance-futures/SOLUSDT - binance/SOLUSDT,-14,0.013631083800735806
7,binance-futures/SOLUSDT - binance/SOLUSDT,-13,-0.01682983292002602
8,binance-futures/SOLUSDT - binance/SOLUSDT,-12,0.009294879406130137
9,binance-futures/SOLUSDT - binance/SOLUSDT,-11,0.01663757495785517
10,binance-futures/SOLUSDT - binance/SOLUSDT,-10,0.010951455070404122
11,binance-futures/SOLUSDT - binance/SOLUSDT,-9,-0.008358407330821188
12,binance-futures/SOLUSDT - binance/SOLUSDT,-8,-0.0374724047541331
13,binance-futures/SOLUSDT - binance/SOLUSDT,-7,-0.028262413512780103
14,binance-futures/SOLUSDT - binance/SOLUSDT,-6,-0.04399556039526293
15,binance-futures/SOLUSDT - binance/SOLUSDT,-5,-0.010201574655251922
16,binance-futures/SOLUSDT - binance/SOLUSDT,-4,-0.0007400343061243956
17,binance-futures/SOLUSDT - binance/SOLUSDT,-3,-0.008312375998907157
18,binance-futures/SOLUSDT - binance/SOLUSDT,-2,-0.027035729401206854
19,binance-futures/SOLUSDT - binance/SOLUSDT,-1,0.17800356917075397
20,binance-futures/SOLUSDT - binance/SOLUSDT,0,0.8546515171641046
21,binance-futures/SOLUSDT - binance/SOLUSDT,1,0.23537484756030333
22,binance-futures/SOLUSDT - binance/SOLUSDT,2,-0.00040269870155145246
23,binance-futures/SOLUSDT - binance/SOLUSDT,3,-0.005091028425096351
24,binance-futures/SOLUSDT - binance/SOLUSDT,4,0.01569158245101318
25,binance-futures/SOLUSDT - binance/SOLUSDT,5,0.025093818861716067
26,binance-futures/SOLUSDT - binance/SOLUSDT,6,-0.021978110004842965
27,binance-futures/SOLUSDT - binance/SOLUSDT,7,-0.02914840332271575
28,binance-futures/SOLUSDT - binance/SOLUSDT,8,-0.04524708610666395
29,binance-futures/SOLUSDT - binance/SOLUSDT,9,-0.021053197513529184
30,binance-futures/SOLUSDT - binance/SOLUSDT,10,0.010655610880486124
31,binance-futures/SOLUSDT - binance/SOLUSDT,11,0.01041790853681517
32,binance-futures/SOLUSDT - binance/SOLUSDT,12,0.006799293382226562
33,binance-futures/SOLUSDT - binance/SOLUSDT,13,-0.016750917636675224
34,binance-futures/SOLUSDT - binance/SOLUSDT,14,0.0070742332569537205
35,binance-futures/SOLUSDT - binance/SOLUSDT,15,0.010775253400395113
36,binance-futures/SOLUSDT - binance/SOLUSDT,16,0.0031179458857150035
37,binance-futures/SOLUSDT - binance/SOLUSDT,17,0.00639973795859814
38,binance-futures/SOLUSDT - binance/SOLUSDT,18,-0.002341240649462165
39,binance-futures/SOLUSDT - binance/SOLUSDT,19,-0.01020135625955536
40,binance-futures/SOLUSDT - binance/SOLUSDT,20,-0.0006767064362854783
41,binance-futures/SOLUSDT - bitstamp/SOLUSD,-20,-0.02035004730975884
42,binance-futures/SOLUSDT - bitstamp/SOLUSD,-19,0.017961418930188017
43,binance-futures/SOLUSDT - bitstamp/SOLUSD,-18,0.0023203550074891895
44,binance-futures/SOLUSDT - bitstamp/SOLUSD,-17,0.016798103408783575
45,binance-futures/SOLUSDT - bitstamp/SOLUSD,-16,-0.009901755307360956
46,binance-futures/SOLUSDT - bitstamp/SOLUSD,-15,0.0010496423249729914
47,binance-futures/SOLUSDT - bitstamp/SOLUSD,-14,0.011642765237537791
48,binance-futures/SOLUSDT - bitstamp/SOLUSD,-13,0.008197499094488142
49,binance-futures/SOLUSDT - bitstamp/SOLUSD,-12,-0.015140257549810526
50,binance-futures/SOLUSDT - bitstamp/SOLUSD,-11,-0.0036622111363636533
51,binance-futures/SOLUSDT - bitstamp/SOLUSD,-10,0.008129652767665602
52,binance-futures/SOLUSDT - bitstamp/SOLUSD,-9,0.0073929346488154045
53,binance-futures/SOLUSDT - bitstamp/SOLUSD,-8,-0.014258367943456654
54,binance-futures/SOLUSDT - bitstamp/SOLUSD,-7,-0.011245046636431189
55,binance-futures/SOLUSDT - bitstamp/SOLUSD,-6,-0.020766856607452804
56,binance-futures/SOLUSDT - bitstamp/SOLUSD,-5,0.001954909094088333
57,binance-futures/SOLUSDT - bitstamp/SOLUSD,-4,0.014393584875286915
58,binance-futures/SOLUSDT - bitstamp/SOLUSD,-3,-1.7147269676559614e-05
59,binance-futures/SOLUSDT - bitstamp/SOLUSD,-2,-0.03410049073566644
60,binance-futures/SOLUSDT - bitstamp/SOLUSD,-1,0.08690250541346818
61,binance-futures/SOLUSDT - bitstamp/SOLUSD,0,0.21509470148002363
62,binance-futures/SOLUSDT - bitstamp/SOLUSD,1,0.09334702061950333
63,binance-futures/SOLUSDT - bitstamp/SOLUSD,2,-0.015607250584844667
64,binance-futures/SOLUSDT - bitstamp/SOLUSD,3,0.03193330511682441
65,binance-futures/SOLUSDT - bitstamp/SOLUSD,4,0.010941104027986108
66,binance-futures/SOLUSDT - bitstamp/SOLUSD,5,-0.010973562664973548
67,binance-futures/SOLUSDT - bitstamp/SOLUSD,6,0.008887991927432492
68,binance-futures/SOLUSDT - bitstamp/SOLUSD,7,-0.03459062760011222
69,binance-futures/SOLUSDT - bitstamp/SOLUSD,8,-0.0015879118802458298
70,binance-futures/SOLUSDT - bitstamp/SOLUSD,9,-0.014782286896834054
71,binance-futures/SOLUSDT - bitstamp/SOLUSD,10,0.01357196620722921
72,binance-futures/SOLUSDT - bitstamp/SOLUSD,11,-0.00651384167948918
73,binance-futures/SOLUSDT - bitstamp/SOLUSD,12,0.01822418336246816
74,binance-futures/SOLUSDT - bitstamp/SOLUSD,13,0.0067571736806762
75,binance-futures/SOLUSDT - bitstamp/SOLUSD,14,-0.03407084329006962
76,binance-futures/SOLUSDT - bitstamp/SOLUSD,15,0.011237201451915198
77,binance-futures/SOLUSDT - bitstamp/SOLUSD,16,0.0011561464354472013
78,binance-futures/SOLUSDT - bitstamp/SOLUSD,17,0.027454750652055708
79,binance-futures/SOLUSDT - bitstamp/SOLUSD,18,-0.03811230609715749
80,binance-futures/SOLUSDT - bitstamp/SOLUSD,19,-0.006652610950272402
81,binance-futures/SOLUSDT - bitstamp/SOLUSD,20,-0.0067163344451451985
82,binance-futures/SOLUSDT - ftx/SOL-PERP,-20,0.004833839792418286
83,binance-futures/SOLUSDT - ftx/SOL-PERP,-19,-0.014461027717910371
84,binance-futures/SOLUSDT - ftx/SOL-PERP,-18,-0.019680061545229548
85,binance-futures/SOLUSDT - ftx/SOL-PERP,-17,0.01602011537661606
86,binance-futures/SOLUSDT - ftx/SOL-PERP,-16,0.00911018291003529
87,binance-futures/SOLUSDT - ftx/SOL-PERP,-15,0.014810321656870675
88,binance-futures/SOLUSDT - ftx/SOL-PERP,-14,0.010534473716474462
89,binance-futures/SOLUSDT - ftx/SOL-PERP,-13,-0.030698725288328763
90,binance-futures/SOLUSDT - ftx/SOL-PERP,-12,0.0030991621605894622
91,binance-futures/SOLUSDT - ftx/SOL-PERP,-11,0.004240058717807357
92,binance-futures/SOLUSDT - ftx/SOL-PERP,-10,0.007396966993294504
93,binance-futures/SOLUSDT - ftx/SOL-PERP,-9,-0.00061976896449247
94,binance-futures/SOLUSDT - ftx/SOL-PERP,-8,-0.03787301460118755
95,binance-futures/SOLUSDT - ftx/SOL-PERP,-7,-0.028942045935087746
96,binance-futures/SOLUSDT - ftx/SOL-PERP,-6,-0.0321091645457182
97,binance-futures/SOLUSDT - ftx/SOL-PERP,-5,0.023671397703988115
98,binance-futures/SOLUSDT - ftx/SOL-PERP,-4,-0.0032146671712853544
99,binance-futures/SOLUSDT - ftx/SOL-PERP,-3,-0.014221349588017712
100,binance-futures/SOLUSDT - ftx/SOL-PERP,-2,-0.038408163021292914
101,binance-futures/SOLUSDT - ftx/SOL-PERP,-1,0.10578723396188701
102,binance-futures/SOLUSDT - ftx/SOL-PERP,0,0.6843592902074223
103,binance-futures/SOLUSDT - ftx/SOL-PERP,1,0.19747892279922455
104,binance-futures/SOLUSDT - ftx/SOL-PERP,2,0.0018360770448579563
105,binance-futures/SOLUSDT - ftx/SOL-PERP,3,0.0026001178934864956
106,binance-futures/SOLUSDT - ftx/SOL-PERP,4,0.030970970453639803
107,binance-futures/SOLUSDT - ftx/SOL-PERP,5,0.013456771017301326
