,market_comparison,statistic,value
0,bitstamp/BTCUSD - ftx/BTC-PERP,count,28799.0
1,bitstamp/BTCUSD - ftx/BTC-PERP,mean,-2.256593463212695e-09
2,bitstamp/BTCUSD - ftx/BTC-PERP,std,0.000919524393517076
3,bitstamp/BTCUSD - ftx/BTC-PERP,min,-0.032514400989894554
4,bitstamp/BTCUSD - ftx/BTC-PERP,25%,-3.214300284781757e-05
5,bitstamp/BTCUSD - ftx/BTC-PERP,50%,0.0
6,bitstamp/BTCUSD - ftx/BTC-PERP,75%,2.5679146719248536e-05
7,bitstamp/BTCUSD - ftx/BTC-PERP,max,0.02570967391555712
8,bitstamp/BTCUSD - ftx/BTC/USD,count,28799.0
9,bitstamp/BTCUSD - ftx/BTC/USD,mean,-9.791024128715872e-09
10,bitstamp/BTCUSD - ftx/BTC/USD,std,0.0010707167765107183
11,bitstamp/BTCUSD - ftx/BTC/USD,min,-0.039944192337467044
12,bitstamp/BTCUSD - ftx/BTC/USD,25%,-3.181204261704096e-05
13,bitstamp/BTCUSD - ftx/BTC/USD,50%,0.0
14,bitstamp/BTCUSD - ftx/BTC/USD,75%,2.849382898872932e-05
15,bitstamp/BTCUSD - ftx/BTC/USD,max,0.03300293243810515
16,bitstamp/BTCUSD - gate-io/BTC_USDT,count,28799.0
17,bitstamp/BTCUSD - gate-io/BTC_USDT,mean,-1.0769908331906201e-08
18,bitstamp/BTCUSD - gate-io/BTC_USDT,std,0.0006904214865668811
19,bitstamp/BTCUSD - gate-io/BTC_USDT,min,-0.03443800479557346
20,bitstamp/BTCUSD - gate-io/BTC_USDT,25%,-0.0001500706923858175
21,bitstamp/BTCUSD - gate-io/BTC_USDT,50%,0.0
22,bitstamp/BTCUSD - gate-io/BTC_USDT,75%,0.00014680860991855837
23,bitstamp/BTCUSD - gate-io/BTC_USDT,max,0.03684314084320839
24,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,count,28799.0
25,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,mean,-1.5362233315227216e-08
26,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,std,0.000594304509440646
27,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,min,-0.019758531463304863
28,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,25%,-0.00015738131086973084
29,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,50%,0.0
30,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,75%,0.0001558430497352603
31,bitstamp/BTCUSD - okex-swap/BTC-USDT-SWAP,max,0.02078794802006101
32,bitstamp/BTCUSD - okex/BTC-USDT,count,28799.0
33,bitstamp/BTCUSD - okex/BTC-USDT,mean,-1.7541687654002052e-08
34,bitstamp/BTCUSD - okex/BTC-USDT,std,0.0006278038426565261
35,bitstamp/BTCUSD - okex/BTC-USDT,min,-0.019669008649666253
36,bitstamp/BTCUSD - okex/BTC-USDT,25%,-0.0001737928280087786
37,bitstamp/BTCUSD - okex/BTC-USDT,50%,4.033593690166981e-07
38,bitstamp/BTCUSD - okex/BTC-USDT,75%,0.0001744023818366358
39,bitstamp/BTCUSD - okex/BTC-USDT,max,0.02154714528957591
40,ftx/BTC-PERP - bitstamp/BTCUSD,count,28799.0
41,ftx/BTC-PERP - bitstamp/BTCUSD,mean,2.256593463212695e-09
42,ftx/BTC-PERP - bitstamp/BTCUSD,std,0.000919524393517076
43,ftx/BTC-PERP - bitstamp/BTCUSD,min,-0.02570967391555712
44,ftx/BTC-PERP - bitstamp/BTCUSD,25%,-2.5679146719248536e-05
45,ftx/BTC-PERP - bitstamp/BTCUSD,50%,0.0
46,ftx/BTC-PERP - bitstamp/BTCUSD,75%,3.214300284781757e-05
47,ftx/BTC-PERP - bitstamp/BTCUSD,max,0.032514400989894554
48,ftx/BTC-PERP - ftx/BTC/USD,count,28799.0
49,ftx/BTC-PERP - ftx/BTC/USD,mean,-7.534430665503177e-09
50,ftx/BTC-PERP - ftx/BTC/USD,std,0.0011910823386019407
51,ftx/BTC-PERP - ftx/BTC/USD,min,-0.04150684413354533
52,ftx/BTC-PERP - ftx/BTC/USD,25%,-1.6963826714011532e-05
53,ftx/BTC-PERP - ftx/BTC/USD,50%,0.0
54,ftx/BTC-PERP - ftx/BTC/USD,75%,1.828678909632231e-05
55,ftx/BTC-PERP - ftx/BTC/USD,max,0.03516379104461187
56,ftx/BTC-PERP - gate-io/BTC_USDT,count,28799.0
57,ftx/BTC-PERP - gate-io/BTC_USDT,mean,-8.513314868693506e-09
58,ftx/BTC-PERP - gate-io/BTC_USDT,std,0.0009380924599784805
59,ftx/BTC-PERP - gate-io/BTC_USDT,min,-0.031183789377513094
60,ftx/BTC-PERP - gate-io/BTC_USDT,25%,-0.00012075601276428927
61,ftx/BTC-PERP - gate-io/BTC_USDT,50%,0.0
62,ftx/BTC-PERP - gate-io/BTC_USDT,75%,0.00012148631045416636
63,ftx/BTC-PERP - gate-io/BTC_USDT,max,0.038914795788029366
64,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,count,28799.0
65,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,mean,-1.310563985201452e-08
66,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,std,0.0008739435775295546
67,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,min,-0.025843967526434142
68,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,25%,-0.00012268563885431405
69,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,50%,0.0
70,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,75%,0.00012475579820137028
71,ftx/BTC-PERP - okex-swap/BTC-USDT-SWAP,max,0.031139457375372714
72,ftx/BTC-PERP - okex/BTC-USDT,count,28799.0
73,ftx/BTC-PERP - okex/BTC-USDT,mean,-1.5285094190789355e-08
74,ftx/BTC-PERP - okex/BTC-USDT,std,0.0008894014471080135
75,ftx/BTC-PERP - okex/BTC-USDT,min,-0.025523500173532554
76,ftx/BTC-PERP - okex/BTC-USDT,25%,-0.00014583591932293416
77,ftx/BTC-PERP - okex/BTC-USDT,50%,1.1295296999946913e-06
78,ftx/BTC-PERP - okex/BTC-USDT,75%,0.00014852265069098536
79,ftx/BTC-PERP - okex/BTC-USDT,max,0.030570207865132204
80,ftx/BTC/USD - bitstamp/BTCUSD,count,28799.0
