,market_comparison,statistic,value
0,binance-futures/ETHUSDT - binance/ETHUSDT,count,28799.0
1,binance-futures/ETHUSDT - binance/ETHUSDT,mean,-7.007894734235342e-09
2,binance-futures/ETHUSDT - binance/ETHUSDT,std,0.00027813924284809987
3,binance-futures/ETHUSDT - binance/ETHUSDT,min,-0.009527425017911817
4,binance-futures/ETHUSDT - binance/ETHUSDT,25%,-0.00010080659696898309
5,binance-futures/ETHUSDT - binance/ETHUSDT,50%,-6.905554972291839e-07
6,binance-futures/ETHUSDT - binance/ETHUSDT,75%,0.00010169783113056496
7,binance-futures/ETHUSDT - binance/ETHUSDT,max,0.01267551112596621
8,binance-futures/ETHUSDT - bitstamp/ETHUSD,count,28799.0
9,binance-futures/ETHUSDT - bitstamp/ETHUSD,mean,-9.25859395734203e-09
10,binance-futures/ETHUSDT - bitstamp/ETHUSD,std,0.0007999770728093188
11,binance-futures/ETHUSDT - bitstamp/ETHUSD,min,-0.017340634011121736
12,binance-futures/ETHUSDT - bitstamp/ETHUSD,25%,-0.00025123290165662837
13,binance-futures/ETHUSDT - bitstamp/ETHUSD,50%,-1.9946858387243083e-07
14,binance-futures/ETHUSDT - bitstamp/ETHUSD,75%,0.00024968699474881006
15,binance-futures/ETHUSDT - bitstamp/ETHUSD,max,0.018463923177219677
16,binance-futures/ETHUSDT - ftx/ETH-PERP,count,28799.0
17,binance-futures/ETHUSDT - ftx/ETH-PERP,mean,-2.2153897519470948e-08
18,binance-futures/ETHUSDT - ftx/ETH-PERP,std,0.0014665604534615279
19,binance-futures/ETHUSDT - ftx/ETH-PERP,min,-0.04222114190208259
20,binance-futures/ETHUSDT - ftx/ETH-PERP,25%,-0.00017779793961381074
21,binance-futures/ETHUSDT - ftx/ETH-PERP,50%,1.7018228346543651e-06
22,binance-futures/ETHUSDT - ftx/ETH-PERP,75%,0.00017944029161043318
23,binance-futures/ETHUSDT - ftx/ETH-PERP,max,0.040787323555000476
24,binance-futures/ETHUSDT - ftx/ETH/USD,count,28799.0
25,binance-futures/ETHUSDT - ftx/ETH/USD,mean,-6.131299131558405e-09
26,binance-futures/ETHUSDT - ftx/ETH/USD,std,0.006563621475643878
27,binance-futures/ETHUSDT - ftx/ETH/USD,min,-0.17353090733469578
28,binance-futures/ETHUSDT - ftx/ETH/USD,25%,-0.0002004683335279367
29,binance-futures/ETHUSDT - ftx/ETH/USD,50%,8.231977401962354e-07
30,binance-futures/ETHUSDT - ftx/ETH/USD,75%,0.0002043488113687708
31,binance-futures/ETHUSDT - ftx/ETH/USD,max,0.17720908916018896
32,binance-futures/ETHUSDT - gate-io/ETH_USDT,count,28799.0
33,binance-futures/ETHUSDT - gate-io/ETH_USDT,mean,4.236532711889644e-09
34,binance-futures/ETHUSDT - gate-io/ETH_USDT,std,0.001237968426247832
35,binance-futures/ETHUSDT - gate-io/ETH_USDT,min,-0.08018630703317164
36,binance-futures/ETHUSDT - gate-io/ETH_USDT,25%,-0.00015807574119808265
37,binance-futures/ETHUSDT - gate-io/ETH_USDT,50%,3.7569006128279625e-07
38,binance-futures/ETHUSDT - gate-io/ETH_USDT,75%,0.00015542628793330238
39,binance-futures/ETHUSDT - gate-io/ETH_USDT,max,0.07985872585279097
40,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,count,28799.0
41,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,mean,-8.838769470428121e-09
42,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,std,0.00022324676318466103
43,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,min,-0.004786440387745117
44,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,25%,-9.902456585164643e-05
45,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,50%,2.0761968322347002e-07
46,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,75%,9.851706008534578e-05
47,binance-futures/ETHUSDT - okex-swap/ETH-USDT-SWAP,max,0.006686915858542974
48,binance-futures/ETHUSDT - okex/ETH-USDT,count,28799.0
49,binance-futures/ETHUSDT - okex/ETH-USDT,mean,-1.218539957974532e-08
50,binance-futures/ETHUSDT - okex/ETH-USDT,std,0.00035233228172473936
51,binance-futures/ETHUSDT - okex/ETH-USDT,min,-0.005038772147951676
52,binance-futures/ETHUSDT - okex/ETH-USDT,25%,-0.0001536267831654392
53,binance-futures/ETHUSDT - okex/ETH-USDT,50%,8.7004028692661e-07
54,binance-futures/ETHUSDT - okex/ETH-USDT,75%,0.00015351806097108067
55,binance-futures/ETHUSDT - okex/ETH-USDT,max,0.00637067358823451
56,binance/ETHUSDT - binance-futures/ETHUSDT,count,28799.0
57,binance/ETHUSDT - binance-futures/ETHUSDT,mean,7.007894734235342e-09
58,binance/ETHUSDT - binance-futures/ETHUSDT,std,0.00027813924284809987
59,binance/ETHUSDT - binance-futures/ETHUSDT,min,-0.01267551112596621
60,binance/ETHUSDT - binance-futures/ETHUSDT,25%,-0.00010169783113056496
61,binance/ETHUSDT - binance-futures/ETHUSDT,50%,6.905554972291839e-07
62,binance/ETHUSDT - binance-futures/ETHUSDT,75%,0.00010080659696898309
63,binance/ETHUSDT - binance-futures/ETHUSDT,max,0.009527425017911817
64,binance/ETHUSDT - bitstamp/ETHUSD,count,28799.0
65,binance/ETHUSDT - bitstamp/ETHUSD,mean,-2.2506992231066864e-09
66,binance/ETHUSDT - bitstamp/ETHUSD,std,0.0007864345957504579
67,binance/ETHUSDT - bitstamp/ETHUSD,min,-0.01642550889664207
68,binance/ETHUSDT - bitstamp/ETHUSD,25%,-0.00023979799006612623
69,binance/ETHUSDT - bitstamp/ETHUSD,50%,0.0
70,binance/ETHUSDT - bitstamp/ETHUSD,75%,0.000237199227178575
71,binance/ETHUSDT - bitstamp/ETHUSD,max,0.018827009063087097
72,binance/ETHUSDT - ftx/ETH-PERP,count,28799.0
73,binance/ETHUSDT - ftx/ETH-PERP,mean,-1.5146002785235607e-08
74,binance/ETHUSDT - ftx/ETH-PERP,std,0.0014594091925688672
75,binance/ETHUSDT - ftx/ETH-PERP,min,-0.042236058679375965
76,binance/ETHUSDT - ftx/ETH-PERP,25%,-0.00017734343111275308
77,binance/ETHUSDT - ftx/ETH-PERP,50%,0.0
78,binance/ETHUSDT - ftx/ETH-PERP,75%,0.00017717408434503312
79,binance/ETHUSDT - ftx/ETH-PERP,max,0.04079826905819495
80,binance/ETHUSDT - ftx/ETH/USD,count,28799.0
81,binance/ETHUSDT - ftx/ETH/USD,mean,8.765956026769375e-10
82,binance/ETHUSDT - ftx/ETH/USD,std,0.006561184937825237
83,binance/ETHUSDT - ftx/ETH/USD,min,-0.17349824738036368
84,binance/ETHUSDT - ftx/ETH/USD,25%,-0.0001934259824407647
85,binance/ETHUSDT - ftx/ETH/USD,50%,0.0
86,binance/ETHUSDT - ftx/ETH/USD,75%,0.0001946534935273192
87,binance/ETHUSDT - ftx/ETH/USD,max,0.17726028989910514
88,binance/ETHUSDT - gate-io/ETH_USDT,count,28799.0
89,binance/ETHUSDT - gate-io/ETH_USDT,mean,1.1244427446124987e-08
90,binance/ETHUSDT - gate-io/ETH_USDT,std,0.0012151217857632832
91,binance/ETHUSDT - gate-io/ETH_USDT,min,-0.08005494102882516
92,binance/ETHUSDT - gate-io/ETH_USDT,25%,-0.00013915127686514595
93,binance/ETHUSDT - gate-io/ETH_USDT,50%,0.0
94,binance/ETHUSDT - gate-io/ETH_USDT,75%,0.00013926629825755654
95,binance/ETHUSDT - gate-io/ETH_USDT,max,0.07958029459504345
