,market_comparison,statistic,value
0,binance-futures/FTTUSDT - binance/FTTUSDT,count,18878.0
1,binance-futures/FTTUSDT - binance/FTTUSDT,mean,-1.951384680971537e-06
2,binance-futures/FTTUSDT - binance/FTTUSDT,std,0.003447920688454024
3,binance-futures/FTTUSDT - binance/FTTUSDT,min,-0.05862617337441178
4,binance-futures/FTTUSDT - binance/FTTUSDT,25%,-0.0004594466207009651
5,binance-futures/FTTUSDT - binance/FTTUSDT,50%,0.0
6,binance-futures/FTTUSDT - binance/FTTUSDT,75%,0.00044839691593334674
7,binance-futures/FTTUSDT - binance/FTTUSDT,max,0.12696734585641922
8,binance-futures/FTTUSDT - bitstamp/FTTUSD,count,18878.0
9,binance-futures/FTTUSDT - bitstamp/FTTUSD,mean,-1.951384680971572e-06
10,binance-futures/FTTUSDT - bitstamp/FTTUSD,std,0.02294075986667257
11,binance-futures/FTTUSDT - bitstamp/FTTUSD,min,-0.7779431765451159
12,binance-futures/FTTUSDT - bitstamp/FTTUSD,25%,-0.0004813118046870235
13,binance-futures/FTTUSDT - bitstamp/FTTUSD,50%,0.0
14,binance-futures/FTTUSDT - bitstamp/FTTUSD,75%,0.0004619806015874195
15,binance-futures/FTTUSDT - bitstamp/FTTUSD,max,0.786587991946055
16,binance-futures/FTTUSDT - ftx/FTT-PERP,count,18878.0
17,binance-futures/FTTUSDT - ftx/FTT-PERP,mean,-1.725438225463767e-06
18,binance-futures/FTTUSDT - ftx/FTT-PERP,std,0.009212038550900836
19,binance-futures/FTTUSDT - ftx/FTT-PERP,min,-0.36368584533245485
20,binance-futures/FTTUSDT - ftx/FTT-PERP,25%,-0.00043867327342872464
21,binance-futures/FTTUSDT - ftx/FTT-PERP,50%,-2.018986768881348e-07
22,binance-futures/FTTUSDT - ftx/FTT-PERP,75%,0.00044164381450295664
23,binance-futures/FTTUSDT - ftx/FTT-PERP,max,0.36641030085419013
24,binance-futures/FTTUSDT - ftx/FTT/USD,count,18878.0
25,binance-futures/FTTUSDT - ftx/FTT/USD,mean,-1.7908072093307175e-06
26,binance-futures/FTTUSDT - ftx/FTT/USD,std,0.010642774419386384
27,binance-futures/FTTUSDT - ftx/FTT/USD,min,-0.36368584533245485
28,binance-futures/FTTUSDT - ftx/FTT/USD,25%,-0.0005035608510322032
29,binance-futures/FTTUSDT - ftx/FTT/USD,50%,-1.5148676268950112e-06
30,binance-futures/FTTUSDT - ftx/FTT/USD,75%,0.0004927947106871389
31,binance-futures/FTTUSDT - ftx/FTT/USD,max,0.36641030085419013
