,market_comparison,statistic,value
0,binance-futures/SOLUSDT - binance/SOLUSDT,count,28799.0
1,binance-futures/SOLUSDT - binance/SOLUSDT,mean,4.658292608786384e-09
2,binance-futures/SOLUSDT - binance/SOLUSDT,std,0.0021241074916804156
3,binance-futures/SOLUSDT - binance/SOLUSDT,min,-0.04968357540891155
4,binance-futures/SOLUSDT - binance/SOLUSDT,25%,-0.00025766361011902994
5,binance-futures/SOLUSDT - binance/SOLUSDT,50%,2.3465989729132275e-07
6,binance-futures/SOLUSDT - binance/SOLUSDT,75%,0.00025784789757454796
7,binance-futures/SOLUSDT - binance/SOLUSDT,max,0.0653666643685038
8,binance-futures/SOLUSDT - bitstamp/SOLUSD,count,28799.0
9,binance-futures/SOLUSDT - bitstamp/SOLUSD,mean,4.658292608786384e-09
10,binance-futures/SOLUSDT - bitstamp/SOLUSD,std,0.009387669913081376
11,binance-futures/SOLUSDT - bitstamp/SOLUSD,min,-0.29081185901015205
12,binance-futures/SOLUSDT - bitstamp/SOLUSD,25%,-0.0002840252756883821
13,binance-futures/SOLUSDT - bitstamp/SOLUSD,50%,1.5410649067959525e-07
14,binance-futures/SOLUSDT - bitstamp/SOLUSD,75%,0.00028653627526376013
15,binance-futures/SOLUSDT - bitstamp/SOLUSD,max,0.28695936389414056
16,binance-futures/SOLUSDT - ftx/SOL-PERP,count,28799.0
17,binance-futures/SOLUSDT - ftx/SOL-PERP,mean,-6.114741400713116e-09
18,binance-futures/SOLUSDT - ftx/SOL-PERP,std,0.0032750942156112364
19,binance-futures/SOLUSDT - ftx/SOL-PERP,min,-0.06955375642666795
20,binance-futures/SOLUSDT - ftx/SOL-PERP,25%,-0.0002765846051717702
21,binance-futures/SOLUSDT - ftx/SOL-PERP,50%,5.350561269601428e-07
22,binance-futures/SOLUSDT - ftx/SOL-PERP,75%,0.0002763735164883485
23,binance-futures/SOLUSDT - ftx/SOL-PERP,max,0.06262167741782765
24,binance-futures/SOLUSDT - ftx/SOL/USD,count,28799.0
25,binance-futures/SOLUSDT - ftx/SOL/USD,mean,-1.2705397962204503e-08
26,binance-futures/SOLUSDT - ftx/SOL/USD,std,0.014439769302846508
27,binance-futures/SOLUSDT - ftx/SOL/USD,min,-0.27774835941282516
28,binance-futures/SOLUSDT - ftx/SOL/USD,25%,-0.00029943153241962506
29,binance-futures/SOLUSDT - ftx/SOL/USD,50%,-2.6304157390022453e-06
30,binance-futures/SOLUSDT - ftx/SOL/USD,75%,0.00028582808205124266
31,binance-futures/SOLUSDT - ftx/SOL/USD,max,0.2783294484571255
32,binance-futures/SOLUSDT - gate-io/SOL_USDT,count,28799.0
33,binance-futures/SOLUSDT - gate-io/SOL_USDT,mean,-9.302285005767717e-10
34,binance-futures/SOLUSDT - gate-io/SOL_USDT,std,0.002786980390556634
35,binance-futures/SOLUSDT - gate-io/SOL_USDT,min,-0.18197946588593394
36,binance-futures/SOLUSDT - gate-io/SOL_USDT,25%,-0.00037984962092041386
37,binance-futures/SOLUSDT - gate-io/SOL_USDT,50%,-4.287376254019648e-07
38,binance-futures/SOLUSDT - gate-io/SOL_USDT,75%,0.00037686412991999596
39,binance-futures/SOLUSDT - gate-io/SOL_USDT,max,0.1824902972631044
40,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,count,28799.0
41,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,mean,-3.0736173831099645e-09
42,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,std,0.0015198714747554774
43,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,min,-0.10373804539064047
44,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,25%,-0.0002676565565375988
45,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,50%,-4.415718972694549e-07
46,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,75%,0.00026387963746965504
47,binance-futures/SOLUSDT - okex-swap/SOL-USDT-SWAP,max,0.10535659577354162
48,binance-futures/SOLUSDT - okex/SOL-USDT,count,28799.0
49,binance-futures/SOLUSDT - okex/SOL-USDT,mean,-1.0305473252856473e-08
50,binance-futures/SOLUSDT - okex/SOL-USDT,std,0.002115776171776019
51,binance-futures/SOLUSDT - okex/SOL-USDT,min,-0.04184977266315082
52,binance-futures/SOLUSDT - okex/SOL-USDT,25%,-0.000367729109671755
53,binance-futures/SOLUSDT - okex/SOL-USDT,50%,-5.504752455198769e-06
54,binance-futures/SOLUSDT - okex/SOL-USDT,75%,0.00036640397228038246
55,binance-futures/SOLUSDT - okex/SOL-USDT,max,0.06275033602378066
56,binance/SOLUSDT - binance-futures/SOLUSDT,count,28799.0
57,binance/SOLUSDT - binance-futures/SOLUSDT,mean,-4.658292608786384e-09
58,binance/SOLUSDT - binance-futures/SOLUSDT,std,0.0021241074916804156
59,binance/SOLUSDT - binance-futures/SOLUSDT,min,-0.0653666643685038
60,binance/SOLUSDT - binance-futures/SOLUSDT,25%,-0.00025784789757454796
61,binance/SOLUSDT - binance-futures/SOLUSDT,50%,-2.3465989729132275e-07
62,binance/SOLUSDT - binance-futures/SOLUSDT,75%,0.00025766361011902994
63,binance/SOLUSDT - binance-futures/SOLUSDT,max,0.04968357540891155
64,binance/SOLUSDT - bitstamp/SOLUSD,count,28799.0
65,binance/SOLUSDT - bitstamp/SOLUSD,mean,0.0
66,binance/SOLUSDT - bitstamp/SOLUSD,std,0.00910481742054831
67,binance/SOLUSDT - bitstamp/SOLUSD,min,-0.28563183205563103
68,binance/SOLUSDT - bitstamp/SOLUSD,25%,0.0
69,binance/SOLUSDT - bitstamp/SOLUSD,50%,0.0
70,binance/SOLUSDT - bitstamp/SOLUSD,75%,0.0
71,binance/SOLUSDT - bitstamp/SOLUSD,max,0.28563183205563103
72,binance/SOLUSDT - ftx/SOL-PERP,count,28799.0
73,binance/SOLUSDT - ftx/SOL-PERP,mean,-1.07730340094995e-08
74,binance/SOLUSDT - ftx/SOL-PERP,std,0.003036146587572375
75,binance/SOLUSDT - ftx/SOL-PERP,min,-0.06917213831115321
76,binance/SOLUSDT - ftx/SOL-PERP,25%,-8.512626573731197e-05
77,binance/SOLUSDT - ftx/SOL-PERP,50%,0.0
78,binance/SOLUSDT - ftx/SOL-PERP,75%,8.714724730296552e-05
79,binance/SOLUSDT - ftx/SOL-PERP,max,0.0621115708002824
80,binance/SOLUSDT - ftx/SOL/USD,count,28799.0
81,binance/SOLUSDT - ftx/SOL/USD,mean,-1.7363690570990888e-08
82,binance/SOLUSDT - ftx/SOL/USD,std,0.014357835294052983
83,binance/SOLUSDT - ftx/SOL/USD,min,-0.2775238952718211
84,binance/SOLUSDT - ftx/SOL/USD,25%,-9.6172841473674e-05
85,binance/SOLUSDT - ftx/SOL/USD,50%,0.0
86,binance/SOLUSDT - ftx/SOL/USD,75%,8.29285550176806e-05
87,binance/SOLUSDT - ftx/SOL/USD,max,0.2781988388565728
88,binance/SOLUSDT - gate-io/SOL_USDT,count,28799.0
89,binance/SOLUSDT - gate-io/SOL_USDT,mean,-5.588521109363156e-09
90,binance/SOLUSDT - gate-io/SOL_USDT,std,0.002023514789032675
91,binance/SOLUSDT - gate-io/SOL_USDT,min,-0.18099255438051376
92,binance/SOLUSDT - gate-io/SOL_USDT,25%,-0.00036154261360454854
93,binance/SOLUSDT - gate-io/SOL_USDT,50%,0.0
94,binance/SOLUSDT - gate-io/SOL_USDT,75%,0.00036029392777181535
95,binance/SOLUSDT - gate-io/SOL_USDT,max,0.18224220796708845
96,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,count,28799.0
97,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,mean,-7.731909991896349e-09
98,binance/SOLUSDT - okex-swap/SOL-USDT-SWAP,std,0.0024151997605375546
