id,time,top_bid,top_ask,amount_bid_10,amount_bid_25,amount_ask_10,amount_ask_25,spread,total_bid_volume,total_ask_volume,volume_imbalance,average_price,amount,volume,number_trades,amount_buy,volume_buy,number_trades_buy,price_diff,rolling_mean_price,rolling_volume,vwap,amihud,ask_amount,ask_price,bid_price,bid_amount,ask_bid_ratio,T5YIE,T10YIE,DGS2,DGS5,DGS10,DGS30,VIXCLS,sp_open,sp_high,sp_low,sp_close,sp_volume,cmi_value,cmi_volume,timestamp,symbol,exchange,market
1,2022-11-01 00:29:30.000000000,32.64733333333333,32.657333333333334,5808.309311533333,11947.089722066668,6115.464197333334,10671.349541566666,0.009999999999999657,17755.399033600002,16786.8137389,968.5852947000004,32.65233333333334,284.09908633333333,9276.136756856666,40.333333333333336,130.67318156666664,4266.300859025333,23.933333333333334,0.36446223333332833,273.1187365397973,47349.84043441446,32.654272068408986,8.165063265902813e-06,,,,,,,,,,,,,,,,,,81.5096,0.0,1,SOL-USDT,okex,okex/SOL-USDT
2,2022-11-01 01:29:30.000000000,32.773833333333336,32.783833333333334,5745.5879306,10854.506446766667,6237.340658116666,11733.277704133334,0.009999999999999657,16600.094377366666,17970.61836225,-1370.5239848833337,32.77883333333333,138.86824257692308,4549.14005175077,22.153846153846153,65.57638376923076,2147.881731901923,14.307692307692308,3.547924692307693,143.85179158441267,23554.130482568,32.771686412303445,2.1255532602196194e-06,,,,,,,,,,,,,,,,,,81.5096,0.0,2,SOL-USDT,okex,okex/SOL-USDT
3,2022-11-01 02:29:30.000000000,32.836666666666666,32.84683333333333,6141.722352066668,11612.733892983331,6099.6799759666665,11357.5685777,0.010166666666666409,17754.45624505,17457.248553666668,297.20769138333344,32.84175,261.32620773584904,8584.633352329813,23.88679245283019,153.7375491698113,5047.963177472454,17.471698113207548,-4.159355169811331,263.75499478470294,43315.197834011924,32.84432800967592,1.1312130298463152e-05,,,,,,,,,,,,,,,,,,81.5096,0.0,3,SOL-USDT,okex,okex/SOL-USDT
4,2022-11-01 03:29:30.000000000,32.774166666666666,32.784166666666664,5727.405473549999,12279.728391616667,6660.945745683333,11163.594151266669,0.010000000000000012,18007.133865166667,17824.539896950002,182.59396821666581,32.77916666666667,157.8619705614035,5171.058987258596,22.526315789473685,51.03991628070175,1672.084288454035,10.105263157894736,5.1219246666666605,145.08600729102534,23779.77099739996,32.785851967326394,1.4843259153441311e-05,,,,,,,,,,,,,,,,,,81.5096,0.0,4,SOL-USDT,okex,okex/SOL-USDT
5,2022-11-01 04:29:30.000000000,32.64733333333333,32.657333333333334,5711.900352533334,11771.107324216666,6257.652232416667,11586.582147416666,0.009999999999999776,17483.00767675,17844.234379833335,-361.22670308333414,32.65233333333334,223.20503129824561,7288.468815224562,26.31578947368421,108.10582049122807,3530.0831973550876,14.807017543859649,-2.587221964912275,233.84074089804287,38175.959287035395,32.6523989357219,8.062653986247677e-07,,,,,,,,,,,,,,,,,,81.5096,0.0,5,SOL-USDT,okex,okex/SOL-USDT
6,2022-11-01 05:29:30.000000000,32.779666666666664,32.78966666666666,5350.822374566666,11315.499446666667,6141.52957935,11277.285492066667,0.009999999999998236,16666.321821233334,17418.815071416666,-752.4932501833326,32.784666666666666,98.61440292857142,3231.7193740310713,20.357142857142858,62.73058510714286,2055.7748666264283,13.75,-2.586464999999997,105.19667385694024,17233.098777059284,32.78110197105768,6.048934052258149e-07,,,,,,,,,,,,,,,,,,81.5096,0.0,6,SOL-USDT,okex,okex/SOL-USDT
7,2022-11-01 06:29:30.000000000,33.00866666666666,33.01883333333333,5725.185030516667,11467.590507399998,5613.2222179499995,10994.03588955,0.010166666666666409,17192.775537916667,16607.258107499998,585.517430416666,33.01375,351.6696286785714,11608.93746289607,40.714285714285715,219.88881535714285,7254.196796085001,28.392857142857142,-0.08765585714286393,350.9858438783688,57929.44425640716,33.011124901573595,1.452042847757828e-06,,,,,,,,,,,,,,,,,,81.5096,0.0,7,SOL-USDT,okex,okex/SOL-USDT
8,2022-11-01 07:29:30.000000000,33.051833333333335,33.06183333333333,5752.61594365,12127.362018166667,6106.958361716666,11691.553903883334,0.009999999999999894,17879.977961816665,17798.5122656,81.46569621666548,33.05683333333334,286.2293160727273,9459.042705329453,33.236363636363635,130.00502094545456,4296.91627773309,17.963636363636365,0.032964290909087444,287.5767369670701,47518.979018097896,33.058796589312756,5.450738852339543e-07,,,,,,,,,,,,,,,,,,81.5096,0.0,8,SOL-USDT,okex,okex/SOL-USDT
9,2022-11-01 08:29:30.000000000,32.963166666666666,32.97316666666667,6007.998197149999,12842.695181366667,5786.3760004999995,10730.905512166668,0.009999999999999776,18850.693378516666,16517.281512666665,2333.4118658499997,32.96816666666667,157.8575494716981,5203.675877877358,22.9811320754717,70.61538471698113,2328.2399697509436,12.075471698113208,0.11485452830188735,150.60693698092942,24825.348241077954,32.97350194027911,1.3142393450988906e-06,,,,,,,,,,,,,,,,,,81.5096,0.0,9,SOL-USDT,okex,okex/SOL-USDT
10,2022-11-01 09:29:30.000000000,32.9135,32.923500000000004,6060.966031883333,12268.9566055,5842.390567966667,11458.4191486,0.010000000000000484,18329.922637383333,17300.809716566666,1029.1129208166656,32.9185,229.51916179310345,7560.707857587931,30.551724137931036,146.903452,4839.53065136931,18.344827586206897,-0.16783803448274648,235.24734282738353,38746.04234301921,32.91807030308533,1.6160575842261577e-05,,,,,,,,,,,,,390.14,390.39,387.74,388.04,7459033.0,81.5096,0.0,10,SOL-USDT,okex,okex/SOL-USDT
11,2022-11-01 10:29:30.000000000,33.112,33.122166666666665,6067.460767766666,11717.066344933331,5675.413351,11071.463442183334,0.010166666666666881,17784.527112699998,16746.876793183335,1037.6503195166656,33.11708333333333,323.11178056140346,10737.596812682104,38.8421052631579,157.3117585614035,5227.993526461755,23.82456140350877,3.2677992982456074,301.1585644980429,50038.98337913259,33.11241605651074,6.746434817542199e-07,,,,,,,,,,,,,388.12,388.4,383.58,384.01,14288966.0,81.5096,0.0,11,SOL-USDT,okex,okex/SOL-USDT
12,2022-11-01 11:29:30.000000000,32.98383333333333,32.993833333333335,5889.303400066667,13108.589222600001,5882.5680671166665,11400.103517550002,0.010000000000000012,18997.892622666666,17282.671584666667,1715.2210380000001,32.98883333333333,230.0546991,7586.842138476,39.86666666666667,118.07274583333331,3893.3648528673334,20.566666666666666,-2.9448521999999997,247.07762168646383,40770.22420558478,32.98981798892399,4.093227514861614e-07,,,,,,,,,,,,,384.01,384.82,383.29,384.54,7807397.0,81.5096,0.0,12,SOL-USDT,okex,okex/SOL-USDT
13,2022-11-01 12:29:30.000000000,32.979,32.989,6274.3377251,12379.903854666665,5793.5782797,12500.82551205,0.01000000000000084,18654.24157976667,18294.403791750003,359.8377880166665,32.984,232.45522813333335,7662.295628318334,34.766666666666666,120.3346237,3966.378081903667,21.133333333333333,-0.015010466666666507,229.5016985264638,37821.52012487645,32.983430581539146,1.8066389426735914e-05,,,,,,2.65,2.51,4.54,4.27,4.07,4.14,25.81,384.53,386.02,383.97,384.73,6861108.0,81.5096,0.0,13,SOL-USDT,okex,okex/SOL-USDT
14,2022-11-01 13:29:30.000000000,32.842166666666664,32.852333333333334,5937.372287783333,11963.126064066666,5758.890020966666,10778.640249816668,0.010166666666666647,17900.49835185,16537.530270783333,1362.9680810666657,32.84725,407.09521938983056,13323.90277254102,58.50847457627118,174.48977728813557,5712.571154285085,28.06779661016949,5.749752949152557,408.5129636336955,66864.78766139409,32.846301209694936,7.925835037850802e-07,,,,,,2.65125,2.5108333333333333,4.542916666666667,4.271249999999999,4.07125,4.140416666666666,25.812083333333334,384.73,385.45,384.27,385.09,4554927.0,81.5096,0.0,14,SOL-USDT,okex,okex/SOL-USDT
15,2022-11-01 14:29:30.000000000,32.45666666666667,32.46666666666667,6114.770691883333,12693.364614833332,5536.697988666667,10870.398175483333,0.009999999999998947,18808.135306716667,16407.09616415,2401.0391425666667,32.461666666666666,520.7524736610171,16925.365229422372,65.35593220338983,284.07625342372893,9236.859056468136,35.898305084745765,-4.417498610169507,524.7843552065768,85289.06644729986,32.46010822625149,5.691089252377852e-07,,,,,,2.6525,2.5116666666666663,4.545833333333333,4.2725,4.0725,4.140833333333333,25.814166666666665,385.08,385.55,384.27,385.39,5303630.0,81.5096,0.0,15,SOL-USDT,okex,okex/SOL-USDT
16,2022-11-01 15:29:30.000000000,32.45616666666667,32.466166666666666,5961.084377099999,12053.017351949999,5273.9211893500005,11013.895609283332,0.01000000000000013,18014.10172905,16287.816798633334,1726.284930416666,32.46116666666667,211.51430816666667,6868.8079426389995,32.3,123.04951943333334,3996.977544622,18.166666666666668,-1.3686334999999967,212.3412678264636,34477.38438309547,32.460052539110755,4.6237951315374905e-07,,,,,,2.65375,2.5124999999999997,4.54875,4.27375,4.07375,4.141249999999999,25.81625,385.39,385.8,384.48,384.54,13527636.0,81.5096,0.0,16,SOL-USDT,okex,okex/SOL-USDT
17,2022-11-01 16:29:30.000000000,32.39566666666666,32.40566666666667,5780.7094652999995,12880.927534666667,5144.790642683333,10263.310001450001,0.010000000000000012,18661.636999966668,15408.100644133334,3253.5363558333333,32.400666666666666,220.96147010526317,7149.828566824561,39.01754385964912,99.77402298245615,3225.243152989474,20.350877192982455,4.340888140350888,217.64038804891976,35213.410489367016,32.4043395896938,3.0536837656471716e-07,,,,,,2.655,2.513333333333333,4.551666666666667,4.2749999999999995,4.075,4.141666666666667,25.81833333333333,385.3072222222222,385.7033333333333,384.365,384.42333333333335,13007947.5,81.5096,0.0,17,SOL-USDT,okex,okex/SOL-USDT
18,2022-11-01 17:29:30.000000000,32.339666666666666,32.349666666666664,6384.305147766668,13069.390240866667,5953.4233669,11112.9123982,0.010000000000000012,19453.695388633336,17066.3357651,2387.359623533334,32.34466666666667,200.74590520754717,6482.192854015093,28.264150943396228,77.58919086792453,2507.2299357849056,14.830188679245284,8.483317094339622,175.3576461960234,28325.010294978372,32.34484070184045,8.960848750060346e-07,,,,,,2.65625,2.5141666666666667,4.554583333333333,4.276249999999999,4.07625,4.142083333333333,25.820416666666667,385.22444444444443,385.6066666666667,384.25,384.3066666666667,12488259.0,81.5096,0.0,18,SOL-USDT,okex,okex/SOL-USDT
19,2022-11-01 18:29:30.000000000,32.281666666666666,32.29183333333334,6412.13191765,12851.614980516666,5597.565809366667,11602.008757266665,0.010166666666667119,19263.746898166668,17199.574566633335,2064.1723315333334,32.28675,162.10797730909096,5234.209386021092,23.345454545454544,102.61159567272728,3314.062314677454,15.272727272727273,-9.56879141818183,187.26155575979703,30218.55820205358,32.28656420839402,8.267746366263684e-07,,,,,,2.6574999999999998,2.5149999999999997,4.5575,4.2775,4.077500000000001,4.1425,25.822499999999998,385.14166666666665,385.51,384.135,384.19,11968570.5,81.5096,0.0,19,SOL-USDT,okex,okex/SOL-USDT
20,2022-11-01 19:29:30.000000000,32.35216666666667,32.36216666666667,6291.615674383333,14197.806454950001,6043.592255383333,11883.774388916667,0.00999999999999942,20489.422129333332,17927.3666443,2562.0554850333338,32.357166666666664,186.6200479642857,6038.691712085357,28.642857142857142,81.79978371428571,2647.971719425357,15.75,6.734118749999994,180.283030599797,29176.92153646899,32.3579608178309,6.420891079905113e-07,,,,,,2.65875,2.515833333333333,4.560416666666667,4.27875,4.07875,4.142916666666666,25.824583333333333,385.0588888888889,385.41333333333336,384.02000000000004,384.0733333333333,11448882.0,81.5096,0.0,20,SOL-USDT,okex,okex/SOL-USDT
21,2022-11-01 20:29:30.000000000,32.28033333333333,32.290333333333336,6686.063740133333,14805.223971866666,6265.904523666667,12836.836253983334,0.010000000000000012,21491.287712,19102.74077765,2388.546934350001,32.285333333333334,299.541221122807,9664.437832465966,30.105263157894736,200.30608080701754,6462.755053328423,19.087719298245613,-8.719824842105261,306.67771237874433,49468.79493528843,32.28133211146146,1.3451959736297856e-05,,,,,,2.66,2.5166666666666666,4.5633333333333335,4.279999999999999,4.08,4.1433333333333335,25.826666666666664,384.9761111111111,385.31666666666666,383.90500000000003,383.9566666666667,10929193.5,81.5096,0.0,21,SOL-USDT,okex,okex/SOL-USDT
22,2022-11-01 21:29:30.000000000,32.36966666666667,32.379666666666665,6388.37548265,14340.244690516667,5547.5493904,11995.26505225,0.009999999999999303,20728.62017316667,17542.81444265,3185.8057305166662,32.37466666666667,89.66770278431375,2900.4362017113726,18.07843137254902,38.78679188235294,1255.112150728235,10.627450980392156,1.3733912941176483,90.91373515273816,14704.560648292178,32.3730848332563,5.988012969496332e-06,,,,,,2.66125,2.5174999999999996,4.56625,4.28125,4.08125,4.14375,25.82875,384.8933333333333,385.22,383.79,383.84000000000003,10409505.0,81.5096,0.0,22,SOL-USDT,okex,okex/SOL-USDT
23,2022-11-01 22:29:30.000000000,32.30883333333333,32.31883333333334,6804.93169375,14258.883782133335,5566.2323433,12146.499474266668,0.010000000000000012,21063.815475883333,17712.731817566666,3351.0836583166665,32.313833333333335,151.5377897090909,4897.631040866182,28.69090909090909,66.3663694909091,2145.039287798182,17.01818181818182,-1.797897018181818,148.61252875616057,24014.12390449031,32.314866319948415,1.1755571565887754e-05,,,,,,2.6625,2.518333333333333,4.569166666666667,4.2825,4.0825,4.144166666666667,25.83083333333333,384.81055555555554,385.12333333333333,383.675,383.72333333333336,9889816.5,81.5096,0.0,23,SOL-USDT,okex,okex/SOL-USDT
24,2022-11-01 23:29:30.000000000,32.298833333333334,32.30883333333333,6911.922785283333,15625.452392933334,5635.949080733333,11317.647394183334,0.009999999999999183,22537.375178216666,16953.596474916667,5583.7787032999995,32.30383333333334,242.5437615185185,7834.772188502593,28.444444444444443,86.45247814814813,2793.428755091482,16.11111111111111,-0.3932820740740805,247.92992648868585,40045.48995574131,32.305898542604844,5.206345259698101e-07,,,,,,2.66375,2.5191666666666666,4.5720833333333335,4.2837499999999995,4.08375,4.144583333333333,25.832916666666666,384.72777777777776,385.0266666666667,383.56,383.6066666666667,9370128.0,81.5096,0.0,24,SOL-USDT,okex,okex/SOL-USDT
25,2022-11-02 00:29:30.000000000,32.147666666666666,32.157666666666664,6757.465444483333,13547.563890016667,6008.31958675,11273.631674350001,0.01000000000000072,20305.029334500003,17281.9512611,3023.0780734,32.15266666666666,146.94309313793102,4715.410051580172,26.29310344827586,74.25362731034483,2383.54844585569,14.10344827586207,-0.013275724137929844,145.9070649480728,23410.12328303718,32.15025460735446,4.429785724376009e-07,,,,,,2.665,2.5199999999999996,4.575,4.285,4.085,4.145,25.835,384.645,384.93,383.44500000000005,383.49,8850439.5,81.5096,4.00458795544,25,SOL-USDT,okex,okex/SOL-USDT
26,2022-11-02 01:29:30.000000000,32.20516666666666,32.215333333333334,6918.0362959,13584.519888600002,6218.5657081,12192.775395933333,0.010166666666666409,20502.5561845,18411.341104033334,2091.2150804666685,32.21025,67.12363964814814,2162.4523293837037,9.5,35.59524322222222,1146.5985329231482,5.5,-0.06864070370370383,66.20073105535252,10664.259165231306,32.21368965764436,2.8376193594773232e-05,,,,,,2.6662500000000002,2.520833333333333,4.577916666666667,4.28625,4.08625,4.145416666666667,25.837083333333332,384.5622222222222,384.8333333333333,383.33000000000004,383.37333333333333,8330751.0,81.5096,4.00458795544,26,SOL-USDT,okex,okex/SOL-USDT
